44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:51:21.0 (121875)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:51:21.0 (180478)|EXECUTION_STARTED
16:51:21.0 (198039)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:51:21.0 (720846)|HEAP_ALLOCATE|[95]|Bytes:3
16:51:21.0 (790069)|HEAP_ALLOCATE|[100]|Bytes:152
16:51:21.0 (804850)|HEAP_ALLOCATE|[417]|Bytes:408
16:51:21.0 (817150)|HEAP_ALLOCATE|[430]|Bytes:408
16:51:21.0 (839791)|HEAP_ALLOCATE|[317]|Bytes:6
16:51:21.0 (862192)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:51:21.0 (867273)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:51:21.0 (870513)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:51:21.0 (882393)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:51:21.0 (888325)|STATEMENT_EXECUTE|[1]
16:51:21.0 (892385)|STATEMENT_EXECUTE|[1]
16:51:21.0 (911995)|HEAP_ALLOCATE|[68]|Bytes:5
16:51:21.0 (934257)|HEAP_ALLOCATE|[74]|Bytes:5
16:51:21.0 (943967)|HEAP_ALLOCATE|[82]|Bytes:7
16:51:21.0 (954028)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:51:21.0 (965098)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:51:21.0 (970189)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:21.0 (978579)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:51:21.0 (984869)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:51:21.0 (988220)|STATEMENT_EXECUTE|[15]
16:51:21.0 (993990)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:51:21.0 (997879)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:51:21.0 (1020251)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:21.0 (1026212)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:51:21.0 (1077314)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x113619b5"}|0x101007a7
16:51:21.0 (1082014)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:51:21.0 (1198430)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x1c1561ab
16:51:21.0 (1203790)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:51:21.0 (1543306)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:31:44.000Z","Account":{"Id":"0012t00000aqcfcAAA","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVMKRAA5","AccountId":"0012t00000aqcfcAAA"}]|0x79d1f210
16:51:21.0 (1557387)|HEAP_ALLOCATE|[20]|Bytes:5
16:51:21.0 (1562128)|STATEMENT_EXECUTE|[19]
16:51:21.0 (1564478)|STATEMENT_EXECUTE|[20]
16:51:21.0 (1567539)|HEAP_ALLOCATE|[20]|Bytes:18
16:51:21.0 (1608291)|HEAP_ALLOCATE|[20]|Bytes:1
16:51:21.0 (1624572)|HEAP_ALLOCATE|[20]|Bytes:19
16:51:21.0 (1645563)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:51:21.0 (1654752)|STATEMENT_EXECUTE|[21]
16:51:21.0 (1665924)|HEAP_ALLOCATE|[21]|Bytes:4
16:51:21.0 (1705216)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x101007a7
16:51:21.0 (1734987)|HEAP_ALLOCATE|[22]|Bytes:5
16:51:21.0 (1769238)|HEAP_ALLOCATE|[22]|Bytes:20
16:51:21.0 (1778739)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:51:21.0 (1845663)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T10:31:44.000Z","Account":{"Id":"0012t00000aqcfcAAA","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVMKRAA5","AccountId":"0012t00000aqcfcAAA"}|0x1a55daba
16:51:21.0 (1852553)|STATEMENT_EXECUTE|[22]
16:51:21.0 (1854783)|STATEMENT_EXECUTE|[23]
