60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:25:29.0 (142414)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:25:29.0 (188195)|EXECUTION_STARTED
16:25:29.0 (215645)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:25:29.0 (785009)|HEAP_ALLOCATE|[95]|Bytes:3
16:25:29.0 (856371)|HEAP_ALLOCATE|[100]|Bytes:152
16:25:29.0 (871671)|HEAP_ALLOCATE|[417]|Bytes:408
16:25:29.0 (884451)|HEAP_ALLOCATE|[430]|Bytes:408
16:25:29.0 (906722)|HEAP_ALLOCATE|[317]|Bytes:6
16:25:29.0 (927852)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:25:29.0 (933432)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:25:29.0 (936603)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:25:29.0 (944193)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:25:29.0 (948822)|STATEMENT_EXECUTE|[1]
16:25:29.0 (954782)|STATEMENT_EXECUTE|[1]
16:25:29.0 (975653)|HEAP_ALLOCATE|[68]|Bytes:5
16:25:29.0 (1001014)|HEAP_ALLOCATE|[74]|Bytes:5
16:25:29.0 (1010143)|HEAP_ALLOCATE|[82]|Bytes:7
16:25:29.0 (1019644)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:25:29.0 (1059304)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:25:29.0 (1065696)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:25:29.0 (1074976)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:25:29.0 (1080945)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:25:29.0 (1084176)|STATEMENT_EXECUTE|[15]
16:25:29.0 (1106927)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:25:29.0 (1111817)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:25:29.0 (1140746)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:25:29.0 (1146967)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:25:29.0 (1205369)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0xc4e1503"}|0x427f84f1
16:25:29.0 (1210209)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:25:29.0 (1315541)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6a9d3c50
16:25:29.0 (1321802)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:25:29.0 (1742320)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001bjITkQAM","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjITkQAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006HnqZAAS","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006HnqZAAS"},"CreatedDate":"2025-10-03T12:10:47.000Z","Id":"801e2000008HwzAAAS","RMD_ECC_Order_ID__c":"6691222870"}]|0x72d5740c
16:25:29.0 (1761902)|HEAP_ALLOCATE|[17]|Bytes:5
16:25:29.0 (1768182)|STATEMENT_EXECUTE|[16]
16:25:29.0 (1770502)|STATEMENT_EXECUTE|[17]
16:25:29.0 (1773982)|HEAP_ALLOCATE|[17]|Bytes:18
16:25:29.0 (1821713)|HEAP_ALLOCATE|[17]|Bytes:1
16:25:29.0 (1835954)|HEAP_ALLOCATE|[17]|Bytes:19
16:25:29.0 (1857834)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:25:29.0 (1867434)|STATEMENT_EXECUTE|[18]
16:25:29.0 (1877935)|HEAP_ALLOCATE|[18]|Bytes:4
16:25:29.0 (1918906)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x427f84f1
16:25:29.0 (1951866)|HEAP_ALLOCATE|[19]|Bytes:5
16:25:29.0 (1985057)|HEAP_ALLOCATE|[19]|Bytes:40
16:25:29.0 (1996037)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:25:29.0 (2183571)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0017F00001bjITkQAM","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjITkQAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006HnqZAAS","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006HnqZAAS"},"CreatedDate":"2025-10-03T12:10:47.000Z","Id":"801e2000008HwzAAAS","RMD_ECC_Order_ID__c":"6691222870"}|0x6e7316be
16:25:29.0 (2195262)|STATEMENT_EXECUTE|[19]
16:25:29.0 (2197622)|STATEMENT_EXECUTE|[20]
16:25:29.0 (2224003)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:25:29.0 (2246393)|HEAP_ALLOCATE|[19]|Bytes:5
16:25:29.0 (2265613)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:25:29.0 (2272354)|STATEMENT_EXECUTE|[23]
16:25:29.0 (2276604)|HEAP_ALLOCATE|[23]|Bytes:13
16:25:29.0 (2308545)|HEAP_ALLOCATE|[23]|Bytes:1
16:25:29.0 (2325745)|HEAP_ALLOCATE|[23]|Bytes:14
16:25:29.0 (2340695)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:25:29.0 (2351396)|STATEMENT_EXECUTE|[24]
16:25:29.0 (2376366)|HEAP_ALLOCATE|[24]|Bytes:20
16:25:29.0 (2394127)|HEAP_ALLOCATE|[24]|Bytes:33
16:25:29.0 (2408907)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008HwzAAAS}
16:25:29.0 (2432468)|STATEMENT_EXECUTE|[25]
16:25:29.0 (2435657)|STATEMENT_EXECUTE|[26]
16:25:29.0 (2452697)|HEAP_ALLOCATE|[26]|Bytes:122
16:25:29.0 (2460908)|HEAP_ALLOCATE|[26]|Bytes:24
16:25:29.0 (2465808)|HEAP_ALLOCATE|[26]|Bytes:187
16:25:29.0 (2475769)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:25:29.0 (2481389)|STATEMENT_EXECUTE|[1]
16:25:29.0 (2485989)|STATEMENT_EXECUTE|[1]
16:25:29.0 (2496889)|HEAP_ALLOCATE|[26]|Bytes:5
16:25:29.0 (2502689)|STATEMENT_EXECUTE|[998]
16:25:29.0 (2505639)|STATEMENT_EXECUTE|[1015]
16:25:29.0 (2508760)|STATEMENT_EXECUTE|[1036]
16:25:29.0 (2517910)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:25:29.0 (2529659)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:25:29.0 (2536870)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:25:29.0 (2552391)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000008HwzAAAS"]|0x2bed0d11
16:25:29.0 (2563940)|HEAP_ALLOCATE|[59]|Bytes:5
16:25:29.0 (2570771)|STATEMENT_EXECUTE|[57]
16:25:29.0 (2573721)|STATEMENT_EXECUTE|[59]
16:25:29.0 (2579281)|HEAP_ALLOCATE|[59]|Bytes:27
16:25:29.0 (2620032)|HEAP_ALLOCATE|[59]|Bytes:96
16:25:29.0 (2627232)|HEAP_ALLOCATE|[59]|Bytes:69
16:25:29.0 (2698194)|HEAP_ALLOCATE|[59]|Bytes:33
16:25:29.0 (2707004)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:25:29.0 (2719634)|STATEMENT_EXECUTE|[1]
16:25:29.0 (2725304)|SYSTEM_METHOD_EXIT|[1]|Type
16:25:29.0 (2730515)|HEAP_ALLOCATE|[59]|Bytes:8
16:25:29.0 (2743275)|HEAP_ALLOCATE|[59]|Bytes:8
16:25:29.0 (2748165)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:25:29.0 (2767156)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x39b8c571
16:25:29.0 (2772566)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:25:29.0 (2832797)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x50f12efe
16:25:29.0 (4630000)|HEAP_ALLOCATE|[59]|Bytes:8
16:25:29.0 (4648189)|HEAP_ALLOCATE|[59]|Bytes:24
16:25:29.0 (4656120)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:25:29.0 (4659789)|STATEMENT_EXECUTE|[1]
16:25:29.0 (4665140)|SYSTEM_METHOD_EXIT|[1]|JSON
16:25:29.0 (4673701)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:25:29.0 (5083490)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:25:29.0 (5096711)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:25:29.0 (5125471)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0xccefb7b
16:25:29.0 (5133691)|HEAP_ALLOCATE|[60]|Bytes:9
16:25:29.0 (5160372)|STATEMENT_EXECUTE|[60]
16:25:29.0 (5163401)|STATEMENT_EXECUTE|[67]
16:25:29.0 (5166032)|STATEMENT_EXECUTE|[67]
16:25:29.0 (5168902)|STATEMENT_EXECUTE|[68]
16:25:29.0 (5207193)|HEAP_ALLOCATE|[68]|Bytes:4
16:25:29.0 (5244174)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:25:29.0 (5260083)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x495c4d79
16:25:29.0 (5266215)|STATEMENT_EXECUTE|[70]
16:25:29.0 (5279915)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:25:29.0 (5287315)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
