60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:21:57.0 (150393)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:21:57.0 (181564)|EXECUTION_STARTED
16:21:57.0 (194434)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:21:57.0 (584353)|HEAP_ALLOCATE|[95]|Bytes:3
16:21:57.0 (663705)|HEAP_ALLOCATE|[100]|Bytes:152
16:21:57.0 (679425)|HEAP_ALLOCATE|[417]|Bytes:408
16:21:57.0 (693566)|HEAP_ALLOCATE|[430]|Bytes:408
16:21:57.0 (718956)|HEAP_ALLOCATE|[317]|Bytes:6
16:21:57.0 (741018)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:21:57.0 (746357)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:21:57.0 (749467)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:21:57.0 (757287)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:21:57.0 (761997)|STATEMENT_EXECUTE|[1]
16:21:57.0 (767607)|STATEMENT_EXECUTE|[1]
16:21:57.0 (795348)|HEAP_ALLOCATE|[68]|Bytes:5
16:21:57.0 (822060)|HEAP_ALLOCATE|[74]|Bytes:5
16:21:57.0 (832359)|HEAP_ALLOCATE|[82]|Bytes:7
16:21:57.0 (843780)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:21:57.0 (854529)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:21:57.0 (859109)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:57.0 (866990)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:21:57.0 (872440)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:21:57.0 (876030)|STATEMENT_EXECUTE|[15]
16:21:57.0 (882570)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:21:57.0 (886610)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:21:57.0 (915211)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:57.0 (920951)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:21:57.0 (981143)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2086dbf8"}|0x110fe3d2
16:21:57.0 (986332)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:21:57.0 (1097706)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x9aeede
16:21:57.0 (1103795)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:21:57.0 (1323440)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t00000O1xyfAAB","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000O1xyfAAB","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005yyxjAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005yyxjAAA"},"CreatedDate":"2025-09-29T06:06:02.000Z","Id":"801e2000007wQcRAAU","RMD_ECC_Order_ID__c":"6691206709"}]|0x501cda4d
16:21:57.0 (1342561)|HEAP_ALLOCATE|[17]|Bytes:5
16:21:57.0 (1348241)|STATEMENT_EXECUTE|[16]
16:21:57.0 (1350681)|STATEMENT_EXECUTE|[17]
16:21:57.0 (1354072)|HEAP_ALLOCATE|[17]|Bytes:18
16:21:57.0 (1404762)|HEAP_ALLOCATE|[17]|Bytes:1
16:21:57.0 (1420103)|HEAP_ALLOCATE|[17]|Bytes:19
16:21:57.0 (1443703)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:21:57.0 (1451754)|STATEMENT_EXECUTE|[18]
16:21:57.0 (1464515)|HEAP_ALLOCATE|[18]|Bytes:4
16:21:57.0 (1503956)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x110fe3d2
16:21:57.0 (1537345)|HEAP_ALLOCATE|[19]|Bytes:5
16:21:57.0 (1575166)|HEAP_ALLOCATE|[19]|Bytes:40
16:21:57.0 (1587066)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:21:57.0 (1696099)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0012t00000O1xyfAAB","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000O1xyfAAB","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005yyxjAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005yyxjAAA"},"CreatedDate":"2025-09-29T06:06:02.000Z","Id":"801e2000007wQcRAAU","RMD_ECC_Order_ID__c":"6691206709"}|0x7dce4fbf
16:21:57.0 (1705360)|STATEMENT_EXECUTE|[19]
16:21:57.0 (1707789)|STATEMENT_EXECUTE|[20]
16:21:57.0 (1734230)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:21:57.0 (1749161)|HEAP_ALLOCATE|[19]|Bytes:5
16:21:57.0 (1761331)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:21:57.0 (1766381)|STATEMENT_EXECUTE|[23]
16:21:57.0 (1769251)|HEAP_ALLOCATE|[23]|Bytes:13
16:21:57.0 (1791371)|HEAP_ALLOCATE|[23]|Bytes:1
16:21:57.0 (1802182)|HEAP_ALLOCATE|[23]|Bytes:14
16:21:57.0 (1811992)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:21:57.0 (1819462)|STATEMENT_EXECUTE|[24]
16:21:57.0 (1834803)|HEAP_ALLOCATE|[24]|Bytes:20
16:21:57.0 (1845973)|HEAP_ALLOCATE|[24]|Bytes:33
16:21:57.0 (1855324)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007wQcRAAU}
16:21:57.0 (1872293)|STATEMENT_EXECUTE|[25]
16:21:57.0 (1874513)|STATEMENT_EXECUTE|[26]
16:21:57.0 (1884164)|HEAP_ALLOCATE|[26]|Bytes:122
16:21:57.0 (1888834)|HEAP_ALLOCATE|[26]|Bytes:24
16:21:57.0 (1891974)|HEAP_ALLOCATE|[26]|Bytes:187
16:21:57.0 (1898634)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:21:57.0 (1904104)|STATEMENT_EXECUTE|[1]
16:21:57.0 (1907245)|STATEMENT_EXECUTE|[1]
16:21:57.0 (1912565)|HEAP_ALLOCATE|[26]|Bytes:5
16:21:57.0 (1916974)|STATEMENT_EXECUTE|[998]
16:21:57.0 (1919214)|STATEMENT_EXECUTE|[1015]
16:21:57.0 (1921605)|STATEMENT_EXECUTE|[1036]
16:21:57.0 (1928465)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:21:57.0 (1936475)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:21:57.0 (1942305)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:21:57.0 (1953745)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007wQcRAAU"]|0x398bd7b3
16:21:57.0 (1961995)|HEAP_ALLOCATE|[59]|Bytes:5
16:21:57.0 (1966295)|STATEMENT_EXECUTE|[57]
16:21:57.0 (1968305)|STATEMENT_EXECUTE|[59]
16:21:57.0 (1971956)|HEAP_ALLOCATE|[59]|Bytes:27
16:21:57.0 (2001236)|HEAP_ALLOCATE|[59]|Bytes:96
16:21:57.0 (2007196)|HEAP_ALLOCATE|[59]|Bytes:69
16:21:57.0 (2058478)|HEAP_ALLOCATE|[59]|Bytes:33
16:21:57.0 (2066148)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:21:57.0 (2069468)|STATEMENT_EXECUTE|[1]
16:21:57.0 (2075358)|SYSTEM_METHOD_EXIT|[1]|Type
16:21:57.0 (2080498)|HEAP_ALLOCATE|[59]|Bytes:8
16:21:57.0 (2094049)|HEAP_ALLOCATE|[59]|Bytes:8
16:21:57.0 (2098770)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:21:57.0 (2114709)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x714e6a52
16:21:57.0 (2119139)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:21:57.0 (2172180)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x50f12efe
16:21:57.0 (3425390)|HEAP_ALLOCATE|[59]|Bytes:8
16:21:57.0 (3442700)|HEAP_ALLOCATE|[59]|Bytes:24
16:21:57.0 (3449321)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:21:57.0 (3452710)|STATEMENT_EXECUTE|[1]
16:21:57.0 (3457860)|SYSTEM_METHOD_EXIT|[1]|JSON
16:21:57.0 (3466591)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:21:57.0 (3766948)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:21:57.0 (3776449)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:21:57.0 (3803019)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x63bdcc6a
16:21:57.0 (3809959)|HEAP_ALLOCATE|[60]|Bytes:9
16:21:57.0 (3833739)|STATEMENT_EXECUTE|[60]
16:21:57.0 (3836389)|STATEMENT_EXECUTE|[67]
16:21:57.0 (3838519)|STATEMENT_EXECUTE|[67]
16:21:57.0 (3840690)|STATEMENT_EXECUTE|[68]
16:21:57.0 (3870720)|HEAP_ALLOCATE|[68]|Bytes:4
16:21:57.0 (3900871)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:21:57.0 (3924671)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x61a326b5
16:21:57.0 (3928991)|STATEMENT_EXECUTE|[70]
16:21:57.0 (3940512)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:21:57.0 (3945442)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:21:57.0 (3949882)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:21:57.0 (3955122)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:21:57.0 (3959982)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:21:57.0 (3964442)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:21:57.0 (3972334)|HEAP_ALLOCATE|[70]|Bytes:150
16:21:57.0 (3977263)|HEAP_ALLOCATE|[70]|Bytes:51
16:21:57.0 (3981003)|HEAP_ALLOCATE|[70]|Bytes:13
16:21:57.0 (3996403)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:21:57.0 (4001374)|HEAP_ALLOCATE|[70]|Bytes:7
16:21:57.0 (4009263)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:21:57.0 (4042944)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:21:57.0 (4047575)|STATEMENT_EXECUTE|[6]
16:21:57.0 (4050964)|STATEMENT_EXECUTE|[6]
16:21:57.0 (4676599)|SYSTEM_MODE_ENTER|false
16:21:57.0 (4686529)|HEAP_ALLOCATE|[7]|Bytes:5
16:21:57.0 (4691559)|STATEMENT_EXECUTE|[7]
16:21:57.0 (4696260)|HEAP_ALLOCATE|[7]|Bytes:12
16:21:57.0 (4724631)|HEAP_ALLOCATE|[7]|Bytes:68
16:21:57.0 (4744101)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:21:57.0 (4748741)|STATEMENT_EXECUTE|[9]
16:21:57.0 (4754081)|HEAP_ALLOCATE|[9]|Bytes:5
16:21:57.0 (4762051)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:21:57.0 (4765841)|STATEMENT_EXECUTE|[12]
16:21:57.0 (4777451)|HEAP_ALLOCATE|[12]|Bytes:53
16:21:57.0 (4784662)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:21:57.0 (4788612)|STATEMENT_EXECUTE|[1]
16:21:57.0 (4791582)|STATEMENT_EXECUTE|[1]
16:21:57.0 (4795593)|METHOD_EXIT|[1]|RMDSelectorUser
16:21:57.0 (4803942)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:21:57.0 (4810862)|STATEMENT_EXECUTE|[124]
16:21:57.0 (4813242)|STATEMENT_EXECUTE|[125]
16:21:57.0 (4816212)|HEAP_ALLOCATE|[125]|Bytes:99
