60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:10:44.0 (162204)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:10:44.0 (208075)|EXECUTION_STARTED
17:10:44.0 (220746)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:10:44.0 (618855)|HEAP_ALLOCATE|[95]|Bytes:3
17:10:44.0 (702637)|HEAP_ALLOCATE|[100]|Bytes:152
17:10:44.0 (719127)|HEAP_ALLOCATE|[417]|Bytes:408
17:10:44.0 (735638)|HEAP_ALLOCATE|[430]|Bytes:408
17:10:44.0 (761158)|HEAP_ALLOCATE|[317]|Bytes:6
17:10:44.0 (786019)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:10:44.0 (791639)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:10:44.0 (794819)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:10:44.0 (803269)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:10:44.0 (808300)|STATEMENT_EXECUTE|[1]
17:10:44.0 (813400)|STATEMENT_EXECUTE|[1]
17:10:44.0 (841930)|HEAP_ALLOCATE|[68]|Bytes:5
17:10:44.0 (868681)|HEAP_ALLOCATE|[74]|Bytes:5
17:10:44.0 (879081)|HEAP_ALLOCATE|[82]|Bytes:7
17:10:44.0 (890151)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:10:44.0 (901632)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:10:44.0 (906492)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:10:44.0 (915742)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:10:44.0 (921802)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:10:44.0 (925142)|STATEMENT_EXECUTE|[15]
17:10:44.0 (931732)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:10:44.0 (935723)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:10:44.0 (963753)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:10:44.0 (968863)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:10:44.0 (1041345)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2c866c32"}|0x587076c7
17:10:44.0 (1047165)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:10:44.0 (1161798)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x7f0cb8ad
17:10:44.0 (1167218)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:10:44.0 (1403194)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"001Ie000002RHd8IAG","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RHd8IAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e200000860GrAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e200000860GrAAI"},"CreatedDate":"2025-10-28T10:13:39.000Z","Id":"801e200000ADXutAAH","RMD_ECC_Order_ID__c":"6691320186"}]|0x28ce0387
17:10:44.0 (1420874)|HEAP_ALLOCATE|[17]|Bytes:5
17:10:44.0 (1425954)|STATEMENT_EXECUTE|[16]
17:10:44.0 (1428314)|STATEMENT_EXECUTE|[17]
17:10:44.0 (1431564)|HEAP_ALLOCATE|[17]|Bytes:18
17:10:44.0 (1482415)|HEAP_ALLOCATE|[17]|Bytes:1
17:10:44.0 (1498766)|HEAP_ALLOCATE|[17]|Bytes:19
17:10:44.0 (1523266)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:10:44.0 (1532157)|STATEMENT_EXECUTE|[18]
17:10:44.0 (1542797)|HEAP_ALLOCATE|[18]|Bytes:4
17:10:44.0 (1585028)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x587076c7
17:10:44.0 (1619889)|HEAP_ALLOCATE|[19]|Bytes:5
17:10:44.0 (1655940)|HEAP_ALLOCATE|[19]|Bytes:40
17:10:44.0 (1667060)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:10:44.0 (1764902)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"001Ie000002RHd8IAG","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RHd8IAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e200000860GrAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e200000860GrAAI"},"CreatedDate":"2025-10-28T10:13:39.000Z","Id":"801e200000ADXutAAH","RMD_ECC_Order_ID__c":"6691320186"}|0x6b7e3211
17:10:44.0 (1773502)|STATEMENT_EXECUTE|[19]
17:10:44.0 (1775802)|STATEMENT_EXECUTE|[20]
17:10:44.0 (1801433)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:10:44.0 (1817513)|HEAP_ALLOCATE|[19]|Bytes:5
17:10:44.0 (1830034)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:10:44.0 (1834894)|STATEMENT_EXECUTE|[23]
17:10:44.0 (1837794)|HEAP_ALLOCATE|[23]|Bytes:13
17:10:44.0 (1863454)|HEAP_ALLOCATE|[23]|Bytes:1
17:10:44.0 (1880345)|HEAP_ALLOCATE|[23]|Bytes:14
17:10:44.0 (1894695)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:10:44.0 (1905035)|STATEMENT_EXECUTE|[24]
17:10:44.0 (1922186)|HEAP_ALLOCATE|[24]|Bytes:20
17:10:44.0 (1933246)|HEAP_ALLOCATE|[24]|Bytes:33
17:10:44.0 (1942996)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e200000ADXutAAH}
17:10:44.0 (1961467)|STATEMENT_EXECUTE|[25]
17:10:44.0 (1964027)|STATEMENT_EXECUTE|[26]
17:10:44.0 (1975397)|HEAP_ALLOCATE|[26]|Bytes:122
17:10:44.0 (1979937)|HEAP_ALLOCATE|[26]|Bytes:24
17:10:44.0 (1983107)|HEAP_ALLOCATE|[26]|Bytes:187
17:10:44.0 (1989957)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:10:44.0 (1994008)|STATEMENT_EXECUTE|[1]
17:10:44.0 (1997068)|STATEMENT_EXECUTE|[1]
17:10:44.0 (2003458)|HEAP_ALLOCATE|[26]|Bytes:5
17:10:44.0 (2007898)|STATEMENT_EXECUTE|[998]
17:10:44.0 (2010348)|STATEMENT_EXECUTE|[1015]
17:10:44.0 (2012588)|STATEMENT_EXECUTE|[1036]
17:10:44.0 (2018848)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:10:44.0 (2027188)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:10:44.0 (2032338)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:10:44.0 (2042709)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000ADXutAAH"]|0x1fe77de2
17:10:44.0 (2050939)|HEAP_ALLOCATE|[59]|Bytes:5
17:10:44.0 (2056739)|STATEMENT_EXECUTE|[57]
17:10:44.0 (2058949)|STATEMENT_EXECUTE|[59]
17:10:44.0 (2062599)|HEAP_ALLOCATE|[59]|Bytes:27
17:10:44.0 (2092840)|HEAP_ALLOCATE|[59]|Bytes:96
17:10:44.0 (2098600)|HEAP_ALLOCATE|[59]|Bytes:69
17:10:44.0 (2150391)|HEAP_ALLOCATE|[59]|Bytes:33
17:10:44.0 (2158271)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:10:44.0 (2161551)|STATEMENT_EXECUTE|[1]
17:10:44.0 (2167622)|SYSTEM_METHOD_EXIT|[1]|Type
17:10:44.0 (2172782)|HEAP_ALLOCATE|[59]|Bytes:8
17:10:44.0 (2186532)|HEAP_ALLOCATE|[59]|Bytes:8
17:10:44.0 (2190492)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:10:44.0 (2206923)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x6cb6fff8
17:10:44.0 (2211203)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:10:44.0 (2262844)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x50f12efe
17:10:44.0 (4554518)|HEAP_ALLOCATE|[59]|Bytes:8
17:10:44.0 (4573438)|HEAP_ALLOCATE|[59]|Bytes:24
17:10:44.0 (4581628)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:10:44.0 (4585918)|STATEMENT_EXECUTE|[1]
17:10:44.0 (4592629)|SYSTEM_METHOD_EXIT|[1]|JSON
17:10:44.0 (4603639)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:10:44.0 (4944397)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:10:44.0 (4955227)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:10:44.0 (4980438)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x52eecd82
17:10:44.0 (4987728)|HEAP_ALLOCATE|[60]|Bytes:9
17:10:44.0 (5013028)|STATEMENT_EXECUTE|[60]
17:10:44.0 (5016549)|STATEMENT_EXECUTE|[67]
17:10:44.0 (5019159)|STATEMENT_EXECUTE|[67]
17:10:44.0 (5021739)|STATEMENT_EXECUTE|[68]
17:10:44.0 (5054739)|HEAP_ALLOCATE|[68]|Bytes:4
17:10:44.0 (5087290)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:10:44.0 (5100541)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x6007584
17:10:44.0 (5105801)|STATEMENT_EXECUTE|[70]
17:10:44.0 (5117711)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
17:10:44.0 (5123881)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
17:10:44.0 (5129611)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
17:10:44.0 (5135681)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
17:10:44.0 (5141391)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
17:10:44.0 (5147532)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
