60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:22:55.0 (136323)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:22:55.0 (167284)|EXECUTION_STARTED
16:22:55.0 (179524)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:22:55.0 (550833)|HEAP_ALLOCATE|[95]|Bytes:3
16:22:55.0 (621695)|HEAP_ALLOCATE|[100]|Bytes:152
16:22:55.0 (639415)|HEAP_ALLOCATE|[417]|Bytes:408
16:22:55.0 (653305)|HEAP_ALLOCATE|[430]|Bytes:408
16:22:55.0 (678746)|HEAP_ALLOCATE|[317]|Bytes:6
16:22:55.0 (701887)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:22:55.0 (707177)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:22:55.0 (710347)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:22:55.0 (718317)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:22:55.0 (723287)|STATEMENT_EXECUTE|[1]
16:22:55.0 (729257)|STATEMENT_EXECUTE|[1]
16:22:55.0 (758918)|HEAP_ALLOCATE|[68]|Bytes:5
16:22:55.0 (785549)|HEAP_ALLOCATE|[74]|Bytes:5
16:22:55.0 (795809)|HEAP_ALLOCATE|[82]|Bytes:7
16:22:55.0 (806089)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:22:55.0 (817959)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:22:55.0 (823119)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:55.0 (830850)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:22:55.0 (836280)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:22:55.0 (839680)|STATEMENT_EXECUTE|[15]
16:22:55.0 (845770)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:22:55.0 (849640)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:22:55.0 (876271)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:55.0 (882411)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:22:55.0 (963833)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6c4ca3f2"}|0x110fe3d2
16:22:55.0 (972633)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:22:55.0 (1153797)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x9aeede
16:22:55.0 (1160407)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:22:55.0 (1417453)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b92IIQAY","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b92IIQAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005zXDtAAM","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005zXDtAAM"},"CreatedDate":"2025-09-29T07:05:26.000Z","Id":"801e2000007x1k1AAA","RMD_ECC_Order_ID__c":"6691207433"}]|0x7d7b65b8
16:22:55.0 (1437424)|HEAP_ALLOCATE|[17]|Bytes:5
16:22:55.0 (1442754)|STATEMENT_EXECUTE|[16]
16:22:55.0 (1445224)|STATEMENT_EXECUTE|[17]
16:22:55.0 (1449654)|HEAP_ALLOCATE|[17]|Bytes:18
16:22:55.0 (1501725)|HEAP_ALLOCATE|[17]|Bytes:1
16:22:55.0 (1517846)|HEAP_ALLOCATE|[17]|Bytes:19
16:22:55.0 (1542176)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:22:55.0 (1550586)|STATEMENT_EXECUTE|[18]
16:22:55.0 (1563257)|HEAP_ALLOCATE|[18]|Bytes:4
16:22:55.0 (1606028)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x110fe3d2
16:22:55.0 (1640489)|HEAP_ALLOCATE|[19]|Bytes:5
16:22:55.0 (1679790)|HEAP_ALLOCATE|[19]|Bytes:40
16:22:55.0 (1691790)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:22:55.0 (1797522)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001b92IIQAY","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b92IIQAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005zXDtAAM","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005zXDtAAM"},"CreatedDate":"2025-09-29T07:05:26.000Z","Id":"801e2000007x1k1AAA","RMD_ECC_Order_ID__c":"6691207433"}|0x1b80af8c
16:22:55.0 (1807303)|STATEMENT_EXECUTE|[19]
16:22:55.0 (1809463)|STATEMENT_EXECUTE|[20]
16:22:55.0 (1834913)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:22:55.0 (1852014)|HEAP_ALLOCATE|[19]|Bytes:5
16:22:55.0 (1864814)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:22:55.0 (1869554)|STATEMENT_EXECUTE|[23]
16:22:55.0 (1872394)|HEAP_ALLOCATE|[23]|Bytes:13
16:22:55.0 (1894145)|HEAP_ALLOCATE|[23]|Bytes:1
16:22:55.0 (1905275)|HEAP_ALLOCATE|[23]|Bytes:14
16:22:55.0 (1915725)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:22:55.0 (1923555)|STATEMENT_EXECUTE|[24]
16:22:55.0 (1938456)|HEAP_ALLOCATE|[24]|Bytes:20
16:22:55.0 (1950116)|HEAP_ALLOCATE|[24]|Bytes:33
16:22:55.0 (1959406)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007x1k1AAA}
16:22:55.0 (1976236)|STATEMENT_EXECUTE|[25]
16:22:55.0 (1978497)|STATEMENT_EXECUTE|[26]
16:22:55.0 (1987767)|HEAP_ALLOCATE|[26]|Bytes:122
16:22:55.0 (1992177)|HEAP_ALLOCATE|[26]|Bytes:24
16:22:55.0 (1995597)|HEAP_ALLOCATE|[26]|Bytes:187
16:22:55.0 (2002247)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:22:55.0 (2006787)|STATEMENT_EXECUTE|[1]
16:22:55.0 (2010487)|STATEMENT_EXECUTE|[1]
16:22:55.0 (2016287)|HEAP_ALLOCATE|[26]|Bytes:5
16:22:55.0 (2020538)|STATEMENT_EXECUTE|[998]
16:22:55.0 (2022968)|STATEMENT_EXECUTE|[1015]
16:22:55.0 (2025458)|STATEMENT_EXECUTE|[1036]
16:22:55.0 (2031588)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:22:55.0 (2038908)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:22:55.0 (2045108)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:22:55.0 (2056328)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007x1k1AAA"]|0x59adb062
16:22:55.0 (2064819)|HEAP_ALLOCATE|[59]|Bytes:5
16:22:55.0 (2069649)|STATEMENT_EXECUTE|[57]
16:22:55.0 (2071699)|STATEMENT_EXECUTE|[59]
16:22:55.0 (2076049)|HEAP_ALLOCATE|[59]|Bytes:27
16:22:55.0 (2105860)|HEAP_ALLOCATE|[59]|Bytes:96
16:22:55.0 (2112620)|HEAP_ALLOCATE|[59]|Bytes:69
16:22:55.0 (2164191)|HEAP_ALLOCATE|[59]|Bytes:33
16:22:55.0 (2172041)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:22:55.0 (2175361)|STATEMENT_EXECUTE|[1]
16:22:55.0 (2181021)|SYSTEM_METHOD_EXIT|[1]|Type
16:22:55.0 (2186931)|HEAP_ALLOCATE|[59]|Bytes:8
16:22:55.0 (2200582)|HEAP_ALLOCATE|[59]|Bytes:8
16:22:55.0 (2205262)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:22:55.0 (2221972)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x48036
16:22:55.0 (2226432)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:22:55.0 (2274763)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x50f12efe
16:22:55.0 (3424761)|HEAP_ALLOCATE|[59]|Bytes:8
16:22:55.0 (3442901)|HEAP_ALLOCATE|[59]|Bytes:24
16:22:55.0 (3451501)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:22:55.0 (3456131)|STATEMENT_EXECUTE|[1]
16:22:55.0 (3462861)|SYSTEM_METHOD_EXIT|[1]|JSON
16:22:55.0 (3472332)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:22:55.0 (3780799)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:22:55.0 (3790029)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:22:55.0 (3813410)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x2afc3e6b
16:22:55.0 (3819670)|HEAP_ALLOCATE|[60]|Bytes:9
