60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:42:22.0 (163045)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:42:22.0 (195606)|EXECUTION_STARTED
16:42:22.0 (204846)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:42:22.0 (1552448)|HEAP_ALLOCATE|[95]|Bytes:3
16:42:22.0 (1632271)|HEAP_ALLOCATE|[100]|Bytes:152
16:42:22.0 (1651371)|HEAP_ALLOCATE|[417]|Bytes:408
16:42:22.0 (1667422)|HEAP_ALLOCATE|[430]|Bytes:408
16:42:22.0 (1694732)|HEAP_ALLOCATE|[317]|Bytes:6
16:42:22.0 (1720953)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:42:22.0 (1726253)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:42:22.0 (1729554)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:42:22.0 (1737323)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:42:22.0 (1743304)|STATEMENT_EXECUTE|[1]
16:42:22.0 (1747574)|STATEMENT_EXECUTE|[1]
16:42:22.0 (1774375)|HEAP_ALLOCATE|[68]|Bytes:5
16:42:22.0 (1798306)|HEAP_ALLOCATE|[74]|Bytes:5
16:42:22.0 (1807306)|HEAP_ALLOCATE|[82]|Bytes:7
16:42:22.0 (1819125)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:42:22.0 (1830427)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:42:22.0 (1835427)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:22.0 (1844217)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:42:22.0 (1850467)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:42:22.0 (1853837)|STATEMENT_EXECUTE|[15]
16:42:22.0 (1860307)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:42:22.0 (1864338)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:42:22.0 (1899248)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:22.0 (1905899)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:42:22.0 (1970271)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x5f33ee41"}|0x121d8d58
16:42:22.0 (1975731)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:42:22.0 (2116815)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6bccb6ac
16:42:22.0 (2123655)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:42:22.0 (2376023)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t000002ZoSCAA0","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000002ZoSCAA0","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000075ZHHAA2","Opportunity":{"StageName":"Closed Lost","Id":"006e20000075ZHHAA2"},"CreatedDate":"2025-10-14T07:10:28.000Z","Id":"801e20000098LLTAA2","RMD_ECC_Order_ID__c":"6691271433"}]|0x6f5729ef
16:42:22.0 (2394114)|HEAP_ALLOCATE|[17]|Bytes:5
16:42:22.0 (2399244)|STATEMENT_EXECUTE|[16]
16:42:22.0 (2401514)|STATEMENT_EXECUTE|[17]
16:42:22.0 (2404744)|HEAP_ALLOCATE|[17]|Bytes:18
16:42:22.0 (2457486)|HEAP_ALLOCATE|[17]|Bytes:1
16:42:22.0 (2475196)|HEAP_ALLOCATE|[17]|Bytes:19
16:42:22.0 (2500427)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:42:22.0 (2510787)|STATEMENT_EXECUTE|[18]
16:42:22.0 (2523528)|HEAP_ALLOCATE|[18]|Bytes:4
16:42:22.0 (2564849)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x121d8d58
16:42:22.0 (2599600)|HEAP_ALLOCATE|[19]|Bytes:5
16:42:22.0 (2631851)|HEAP_ALLOCATE|[19]|Bytes:40
16:42:22.0 (2644131)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:42:22.0 (2752324)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0012t000002ZoSCAA0","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000002ZoSCAA0","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000075ZHHAA2","Opportunity":{"StageName":"Closed Lost","Id":"006e20000075ZHHAA2"},"CreatedDate":"2025-10-14T07:10:28.000Z","Id":"801e20000098LLTAA2","RMD_ECC_Order_ID__c":"6691271433"}|0x71b208d8
16:42:22.0 (2762755)|STATEMENT_EXECUTE|[19]
16:42:22.0 (2765025)|STATEMENT_EXECUTE|[20]
16:42:22.0 (2783535)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:42:22.0 (2799756)|HEAP_ALLOCATE|[19]|Bytes:5
16:42:22.0 (2812336)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:42:22.0 (2818056)|STATEMENT_EXECUTE|[23]
16:42:22.0 (2820837)|HEAP_ALLOCATE|[23]|Bytes:13
16:42:22.0 (2844227)|HEAP_ALLOCATE|[23]|Bytes:1
16:42:22.0 (2857378)|HEAP_ALLOCATE|[23]|Bytes:14
16:42:22.0 (2869628)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:42:22.0 (2878488)|STATEMENT_EXECUTE|[24]
16:42:22.0 (2892679)|HEAP_ALLOCATE|[24]|Bytes:20
16:42:22.0 (2904789)|HEAP_ALLOCATE|[24]|Bytes:33
16:42:22.0 (2914369)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000098LLTAA2}
16:42:22.0 (2931150)|STATEMENT_EXECUTE|[25]
16:42:22.0 (2933450)|STATEMENT_EXECUTE|[26]
16:42:22.0 (2944750)|HEAP_ALLOCATE|[26]|Bytes:122
16:42:22.0 (2950801)|HEAP_ALLOCATE|[26]|Bytes:24
16:42:22.0 (2954091)|HEAP_ALLOCATE|[26]|Bytes:187
16:42:22.0 (2960591)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:42:22.0 (2964781)|STATEMENT_EXECUTE|[1]
16:42:22.0 (2968531)|STATEMENT_EXECUTE|[1]
16:42:22.0 (2973101)|HEAP_ALLOCATE|[26]|Bytes:5
