60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:35:18.0 (221145)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:35:18.0 (270686)|EXECUTION_STARTED
17:35:18.0 (460711)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:35:18.0 (1775583)|HEAP_ALLOCATE|[95]|Bytes:3
17:35:18.0 (1907696)|HEAP_ALLOCATE|[100]|Bytes:152
17:35:18.0 (1931386)|HEAP_ALLOCATE|[417]|Bytes:408
17:35:18.0 (1946947)|HEAP_ALLOCATE|[430]|Bytes:408
17:35:18.0 (1971647)|HEAP_ALLOCATE|[317]|Bytes:6
17:35:18.0 (1996238)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:35:18.0 (2001818)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:35:18.0 (2005408)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:35:18.0 (2017378)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:35:18.0 (2024359)|STATEMENT_EXECUTE|[1]
17:35:18.0 (2030759)|STATEMENT_EXECUTE|[1]
17:35:18.0 (2061019)|HEAP_ALLOCATE|[68]|Bytes:5
17:35:18.0 (2086810)|HEAP_ALLOCATE|[74]|Bytes:5
17:35:18.0 (2095460)|HEAP_ALLOCATE|[82]|Bytes:7
17:35:18.0 (2105291)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:35:18.0 (2118851)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
