60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:27:47.0 (213917)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:27:47.0 (324099)|EXECUTION_STARTED
16:27:47.0 (338360)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:27:47.0 (1238292)|HEAP_ALLOCATE|[95]|Bytes:3
16:27:47.0 (1334826)|HEAP_ALLOCATE|[100]|Bytes:152
16:27:47.0 (1352735)|HEAP_ALLOCATE|[417]|Bytes:408
16:27:47.0 (1378487)|HEAP_ALLOCATE|[430]|Bytes:408
16:27:47.0 (1404928)|HEAP_ALLOCATE|[317]|Bytes:6
16:27:47.0 (1427988)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:27:47.0 (1433959)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:27:47.0 (1437639)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:27:47.0 (1452418)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:27:47.0 (1457329)|STATEMENT_EXECUTE|[1]
16:27:47.0 (1463239)|STATEMENT_EXECUTE|[1]
16:27:47.0 (1496630)|HEAP_ALLOCATE|[68]|Bytes:5
16:27:47.0 (1544980)|HEAP_ALLOCATE|[74]|Bytes:5
16:27:47.0 (1555701)|HEAP_ALLOCATE|[82]|Bytes:7
16:27:47.0 (1568512)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:27:47.0 (1580882)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:27:47.0 (1586792)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:27:47.0 (1595793)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:27:47.0 (1601803)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:27:47.0 (1605403)|STATEMENT_EXECUTE|[15]
16:27:47.0 (1611453)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:27:47.0 (1615683)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:27:47.0 (1650504)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:27:47.0 (1657294)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:27:47.0 (1731496)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x7a50db64"}|0x161dfdae
16:27:47.0 (1737116)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:27:47.0 (1892840)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x2410eaac
16:27:47.0 (1900251)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:27:47.0 (2154307)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F000024B2yOQAS","RMD_Sync_with_SAP__c":true},"AccountId":"0017F000024B2yOQAS","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006J8MeAAK","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006J8MeAAK"},"CreatedDate":"2025-10-03T12:25:33.000Z","Id":"801e2000008J7xQAAS","RMD_ECC_Order_ID__c":"6691222102"}]|0x2cbf9a81
16:27:47.0 (2192248)|HEAP_ALLOCATE|[17]|Bytes:5
16:27:47.0 (2198098)|STATEMENT_EXECUTE|[16]
16:27:47.0 (2200458)|STATEMENT_EXECUTE|[17]
16:27:47.0 (2203919)|HEAP_ALLOCATE|[17]|Bytes:18
16:27:47.0 (2262670)|HEAP_ALLOCATE|[17]|Bytes:1
16:27:47.0 (2280250)|HEAP_ALLOCATE|[17]|Bytes:19
16:27:47.0 (2312221)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:27:47.0 (2326182)|STATEMENT_EXECUTE|[18]
16:27:47.0 (2343742)|HEAP_ALLOCATE|[18]|Bytes:4
16:27:47.0 (2393423)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x161dfdae
16:27:47.0 (2434485)|HEAP_ALLOCATE|[19]|Bytes:5
16:27:47.0 (2476216)|HEAP_ALLOCATE|[19]|Bytes:40
16:27:47.0 (2490526)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:27:47.0 (2619229)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F000024B2yOQAS","RMD_Sync_with_SAP__c":true},"AccountId":"0017F000024B2yOQAS","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006J8MeAAK","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006J8MeAAK"},"CreatedDate":"2025-10-03T12:25:33.000Z","Id":"801e2000008J7xQAAS","RMD_ECC_Order_ID__c":"6691222102"}|0x21694f5d
16:27:47.0 (2629290)|STATEMENT_EXECUTE|[19]
16:27:47.0 (2632070)|STATEMENT_EXECUTE|[20]
16:27:47.0 (2657410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:27:47.0 (2673911)|HEAP_ALLOCATE|[19]|Bytes:5
16:27:47.0 (2688121)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:27:47.0 (2694351)|STATEMENT_EXECUTE|[23]
16:27:47.0 (2697391)|HEAP_ALLOCATE|[23]|Bytes:13
16:27:47.0 (2724932)|HEAP_ALLOCATE|[23]|Bytes:1
16:27:47.0 (2738152)|HEAP_ALLOCATE|[23]|Bytes:14
16:27:47.0 (2750363)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:27:47.0 (2757943)|STATEMENT_EXECUTE|[24]
16:27:47.0 (2775424)|HEAP_ALLOCATE|[24]|Bytes:20
16:27:47.0 (2790414)|HEAP_ALLOCATE|[24]|Bytes:33
16:27:47.0 (2800494)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008J7xQAAS}
16:27:47.0 (2818214)|STATEMENT_EXECUTE|[25]
16:27:47.0 (2820555)|STATEMENT_EXECUTE|[26]
16:27:47.0 (2832445)|HEAP_ALLOCATE|[26]|Bytes:122
16:27:47.0 (2837666)|HEAP_ALLOCATE|[26]|Bytes:24
16:27:47.0 (2840995)|HEAP_ALLOCATE|[26]|Bytes:187
16:27:47.0 (2850055)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:27:47.0 (2857005)|STATEMENT_EXECUTE|[1]
16:27:47.0 (2861347)|STATEMENT_EXECUTE|[1]
16:27:47.0 (2869036)|HEAP_ALLOCATE|[26]|Bytes:5
16:27:47.0 (2884156)|STATEMENT_EXECUTE|[998]
16:27:47.0 (2887156)|STATEMENT_EXECUTE|[1015]
16:27:47.0 (2889707)|STATEMENT_EXECUTE|[1036]
16:27:47.0 (2899357)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:27:47.0 (2911167)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:27:47.0 (2920087)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:27:47.0 (2936058)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000008J7xQAAS"]|0x7194363c
16:27:47.0 (2950418)|HEAP_ALLOCATE|[59]|Bytes:5
