60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:29:01.0 (152143)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:29:01.0 (215114)|EXECUTION_STARTED
16:29:01.0 (225686)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:29:01.0 (914343)|HEAP_ALLOCATE|[95]|Bytes:3
16:29:01.0 (986894)|HEAP_ALLOCATE|[100]|Bytes:152
16:29:01.0 (1003415)|HEAP_ALLOCATE|[417]|Bytes:408
16:29:01.0 (1017346)|HEAP_ALLOCATE|[430]|Bytes:408
16:29:01.0 (1040936)|HEAP_ALLOCATE|[317]|Bytes:6
16:29:01.0 (1064456)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:29:01.0 (1069967)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:29:01.0 (1073257)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:29:01.0 (1081158)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:29:01.0 (1086348)|STATEMENT_EXECUTE|[1]
16:29:01.0 (1091518)|STATEMENT_EXECUTE|[1]
16:29:01.0 (1118319)|HEAP_ALLOCATE|[68]|Bytes:5
16:29:01.0 (1143349)|HEAP_ALLOCATE|[74]|Bytes:5
16:29:01.0 (1152230)|HEAP_ALLOCATE|[82]|Bytes:7
16:29:01.0 (1164000)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:29:01.0 (1175830)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:29:01.0 (1181210)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:29:01.0 (1188831)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:29:01.0 (1194151)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:29:01.0 (1197481)|STATEMENT_EXECUTE|[15]
16:29:01.0 (1203131)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:29:01.0 (1207180)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:29:01.0 (1234421)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:29:01.0 (1241442)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:29:01.0 (1297523)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x3b208b72"}|0x161dfdae
16:29:01.0 (1303182)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:29:01.0 (1408696)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x2410eaac
16:29:01.0 (1415046)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:29:01.0 (1684193)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002RV7hIAG","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RV7hIAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006J7ryAAC","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006J7ryAAC"},"CreatedDate":"2025-10-03T11:36:57.000Z","Id":"801e2000008JHTaAAO","RMD_ECC_Order_ID__c":"6691221346"}]|0x54546e8d
16:29:01.0 (1703054)|HEAP_ALLOCATE|[17]|Bytes:5
16:29:01.0 (1709394)|STATEMENT_EXECUTE|[16]
16:29:01.0 (1711804)|STATEMENT_EXECUTE|[17]
16:29:01.0 (1715294)|HEAP_ALLOCATE|[17]|Bytes:18
16:29:01.0 (1788326)|HEAP_ALLOCATE|[17]|Bytes:1
16:29:01.0 (1805596)|HEAP_ALLOCATE|[17]|Bytes:19
16:29:01.0 (1830277)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:29:01.0 (1838907)|STATEMENT_EXECUTE|[18]
16:29:01.0 (1852598)|HEAP_ALLOCATE|[18]|Bytes:4
16:29:01.0 (1893539)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x161dfdae
16:29:01.0 (1927190)|HEAP_ALLOCATE|[19]|Bytes:5
16:29:01.0 (1964891)|HEAP_ALLOCATE|[19]|Bytes:40
16:29:01.0 (1976541)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:29:01.0 (2089794)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie000002RV7hIAG","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RV7hIAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006J7ryAAC","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006J7ryAAC"},"CreatedDate":"2025-10-03T11:36:57.000Z","Id":"801e2000008JHTaAAO","RMD_ECC_Order_ID__c":"6691221346"}|0xf64e8d9
16:29:01.0 (2099224)|STATEMENT_EXECUTE|[19]
16:29:01.0 (2101684)|STATEMENT_EXECUTE|[20]
16:29:01.0 (2125365)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:29:01.0 (2140505)|HEAP_ALLOCATE|[19]|Bytes:5
16:29:01.0 (2152995)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:29:01.0 (2157606)|STATEMENT_EXECUTE|[23]
16:29:01.0 (2160466)|HEAP_ALLOCATE|[23]|Bytes:13
16:29:01.0 (2183816)|HEAP_ALLOCATE|[23]|Bytes:1
