60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:15:16.0 (194654)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:15:16.0 (242156)|EXECUTION_STARTED
16:15:16.0 (259695)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:15:16.0 (1511435)|HEAP_ALLOCATE|[95]|Bytes:3
16:15:16.0 (1618886)|HEAP_ALLOCATE|[100]|Bytes:152
16:15:16.0 (1639198)|HEAP_ALLOCATE|[417]|Bytes:408
16:15:16.0 (1659847)|HEAP_ALLOCATE|[430]|Bytes:408
16:15:16.0 (1694199)|HEAP_ALLOCATE|[317]|Bytes:6
16:15:16.0 (1723569)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:15:16.0 (1731150)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:15:16.0 (1736270)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:15:16.0 (1748190)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:15:16.0 (1756230)|STATEMENT_EXECUTE|[1]
16:15:16.0 (1761821)|STATEMENT_EXECUTE|[1]
16:15:16.0 (1787930)|HEAP_ALLOCATE|[68]|Bytes:5
16:15:16.0 (1813302)|HEAP_ALLOCATE|[74]|Bytes:5
16:15:16.0 (1824542)|HEAP_ALLOCATE|[82]|Bytes:7
16:15:16.0 (1836651)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:15:16.0 (1846713)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:15:16.0 (1853343)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:16.0 (1865252)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:15:16.0 (1874393)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:15:16.0 (1879892)|STATEMENT_EXECUTE|[15]
16:15:16.0 (1887963)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:15:16.0 (1894104)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:15:16.0 (1918514)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:16.0 (1926834)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:15:16.0 (2008876)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x4938fad5"}|0x7c4f7bc8
16:15:16.0 (2018455)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:15:16.0 (2201300)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x7fa9afcd
16:15:16.0 (2210431)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:15:16.0 (2491197)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"0017F00001uWQyvQAG","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001uWQyvQAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mSX1AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mSX1AAM"},"CreatedDate":"2025-09-26T06:21:31.000Z","Id":"801e2000007j9HgAAI","RMD_ECC_Order_ID__c":"6691194477"}]|0x3a7bbeb6
16:15:16.0 (2511667)|HEAP_ALLOCATE|[17]|Bytes:5
16:15:16.0 (2518427)|STATEMENT_EXECUTE|[16]
16:15:16.0 (2521267)|STATEMENT_EXECUTE|[17]
16:15:16.0 (2524938)|HEAP_ALLOCATE|[17]|Bytes:18
16:15:16.0 (2583619)|HEAP_ALLOCATE|[17]|Bytes:1
16:15:16.0 (2604130)|HEAP_ALLOCATE|[17]|Bytes:19
16:15:16.0 (2635430)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:15:16.0 (2647371)|STATEMENT_EXECUTE|[18]
16:15:16.0 (2665731)|HEAP_ALLOCATE|[18]|Bytes:4
16:15:16.0 (2715263)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7c4f7bc8
16:15:16.0 (2754023)|HEAP_ALLOCATE|[19]|Bytes:5
16:15:16.0 (2796614)|HEAP_ALLOCATE|[19]|Bytes:40
16:15:16.0 (2811234)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:15:16.0 (2947917)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"0017F00001uWQyvQAG","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001uWQyvQAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mSX1AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mSX1AAM"},"CreatedDate":"2025-09-26T06:21:31.000Z","Id":"801e2000007j9HgAAI","RMD_ECC_Order_ID__c":"6691194477"}|0x512cfc96
16:15:16.0 (2957237)|STATEMENT_EXECUTE|[19]
16:15:16.0 (2959548)|STATEMENT_EXECUTE|[20]
16:15:16.0 (2981659)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:15:16.0 (2998598)|HEAP_ALLOCATE|[19]|Bytes:5
16:15:16.0 (3011619)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:15:16.0 (3017209)|STATEMENT_EXECUTE|[23]
16:15:16.0 (3020250)|HEAP_ALLOCATE|[23]|Bytes:13
16:15:16.0 (3044479)|HEAP_ALLOCATE|[23]|Bytes:1
16:15:16.0 (3056460)|HEAP_ALLOCATE|[23]|Bytes:14
16:15:16.0 (3067171)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:15:16.0 (3074221)|STATEMENT_EXECUTE|[24]
16:15:16.0 (3090731)|HEAP_ALLOCATE|[24]|Bytes:20
16:15:16.0 (3101551)|HEAP_ALLOCATE|[24]|Bytes:33
16:15:16.0 (3109252)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007j9HgAAI}
16:15:16.0 (3125441)|STATEMENT_EXECUTE|[25]
16:15:16.0 (3127532)|STATEMENT_EXECUTE|[26]
16:15:16.0 (3138782)|HEAP_ALLOCATE|[26]|Bytes:122
16:15:16.0 (3143372)|HEAP_ALLOCATE|[26]|Bytes:24
16:15:16.0 (3146681)|HEAP_ALLOCATE|[26]|Bytes:187
16:15:16.0 (3155143)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:15:16.0 (3159773)|STATEMENT_EXECUTE|[1]
16:15:16.0 (3163313)|STATEMENT_EXECUTE|[1]
16:15:16.0 (3169633)|HEAP_ALLOCATE|[26]|Bytes:5
16:15:16.0 (3173703)|STATEMENT_EXECUTE|[998]
16:15:16.0 (3176322)|STATEMENT_EXECUTE|[1015]
16:15:16.0 (3178593)|STATEMENT_EXECUTE|[1036]
16:15:16.0 (3184183)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:15:16.0 (3191973)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:15:16.0 (3197304)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:15:16.0 (3210234)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007j9HgAAI"]|0x60a639e
16:15:16.0 (3218434)|HEAP_ALLOCATE|[59]|Bytes:5
16:15:16.0 (3222994)|STATEMENT_EXECUTE|[57]
16:15:16.0 (3225163)|STATEMENT_EXECUTE|[59]
16:15:16.0 (3228894)|HEAP_ALLOCATE|[59]|Bytes:27
16:15:16.0 (3256785)|HEAP_ALLOCATE|[59]|Bytes:96
16:15:16.0 (3262164)|HEAP_ALLOCATE|[59]|Bytes:69
16:15:16.0 (3331197)|HEAP_ALLOCATE|[59]|Bytes:33
16:15:16.0 (3339797)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:15:16.0 (3343526)|STATEMENT_EXECUTE|[1]
16:15:16.0 (3349157)|SYSTEM_METHOD_EXIT|[1]|Type
16:15:16.0 (3355587)|HEAP_ALLOCATE|[59]|Bytes:8
16:15:16.0 (3370718)|HEAP_ALLOCATE|[59]|Bytes:8
16:15:16.0 (3377498)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:15:16.0 (3402498)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4e9d2096
16:15:16.0 (3442799)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:15:16.0 (3505410)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6be33015
16:15:16.0 (5743162)|HEAP_ALLOCATE|[59]|Bytes:8
16:15:16.0 (5784433)|HEAP_ALLOCATE|[59]|Bytes:24
16:15:16.0 (5799553)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:15:16.0 (5805873)|STATEMENT_EXECUTE|[1]
16:15:16.0 (5814294)|SYSTEM_METHOD_EXIT|[1]|JSON
16:15:16.0 (5830244)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:15:16.0 (6232653)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
