44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:07:31.0 (198216)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
17:07:31.0 (233587)|EXECUTION_STARTED
17:07:31.0 (244987)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
17:07:31.0 (1146773)|HEAP_ALLOCATE|[95]|Bytes:3
17:07:31.0 (1244227)|HEAP_ALLOCATE|[100]|Bytes:152
17:07:31.0 (1261996)|HEAP_ALLOCATE|[417]|Bytes:408
17:07:31.0 (1277537)|HEAP_ALLOCATE|[430]|Bytes:408
17:07:31.0 (1304509)|HEAP_ALLOCATE|[317]|Bytes:6
17:07:31.0 (1330269)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:07:31.0 (1335689)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:07:31.0 (1338999)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:07:31.0 (1350559)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
17:07:31.0 (1355419)|STATEMENT_EXECUTE|[1]
17:07:31.0 (1360759)|STATEMENT_EXECUTE|[1]
17:07:31.0 (1393120)|HEAP_ALLOCATE|[68]|Bytes:5
17:07:31.0 (1416801)|HEAP_ALLOCATE|[74]|Bytes:5
17:07:31.0 (1425051)|HEAP_ALLOCATE|[82]|Bytes:7
17:07:31.0 (1436051)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:07:31.0 (1446542)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
17:07:31.0 (1451812)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:31.0 (1460762)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:07:31.0 (1466862)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:07:31.0 (1470442)|STATEMENT_EXECUTE|[15]
17:07:31.0 (1477194)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:07:31.0 (1481003)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:07:31.0 (1512484)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:31.0 (1517875)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
17:07:31.0 (1629827)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x191c8f13"}|0x3c6bc9c9
17:07:31.0 (1636627)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
17:07:31.0 (1808472)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x1a33eec5
17:07:31.0 (1816403)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
17:07:31.0 (2191014)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T09:59:02.000Z","Account":{"Id":"0012t0000075ysCAAQ","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVQj1AAH","AccountId":"0012t0000075ysCAAQ"}]|0x6e89b32f
17:07:31.0 (2212305)|HEAP_ALLOCATE|[20]|Bytes:5
17:07:31.0 (2219015)|STATEMENT_EXECUTE|[19]
17:07:31.0 (2221545)|STATEMENT_EXECUTE|[20]
17:07:31.0 (2225135)|HEAP_ALLOCATE|[20]|Bytes:18
17:07:31.0 (2281317)|HEAP_ALLOCATE|[20]|Bytes:1
17:07:31.0 (2297686)|HEAP_ALLOCATE|[20]|Bytes:19
17:07:31.0 (2323628)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
17:07:31.0 (2334628)|STATEMENT_EXECUTE|[21]
17:07:31.0 (2351079)|HEAP_ALLOCATE|[21]|Bytes:4
17:07:31.0 (2397040)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x3c6bc9c9
17:07:31.0 (2435450)|HEAP_ALLOCATE|[22]|Bytes:5
17:07:31.0 (2474012)|HEAP_ALLOCATE|[22]|Bytes:20
17:07:31.0 (2485063)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
17:07:31.0 (2555094)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T09:59:02.000Z","Account":{"Id":"0012t0000075ysCAAQ","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVQj1AAH","AccountId":"0012t0000075ysCAAQ"}|0x3e640db0
17:07:31.0 (2564334)|STATEMENT_EXECUTE|[22]
17:07:31.0 (2566534)|STATEMENT_EXECUTE|[23]
17:07:31.0 (2591366)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:07:31.0 (2609206)|HEAP_ALLOCATE|[22]|Bytes:5
17:07:31.0 (2623867)|VARIABLE_ASSIGNMENT|[22]|obj|null|
17:07:31.0 (2629967)|STATEMENT_EXECUTE|[26]
17:07:31.0 (2633347)|HEAP_ALLOCATE|[26]|Bytes:13
17:07:31.0 (2655748)|HEAP_ALLOCATE|[26]|Bytes:1
17:07:31.0 (2667198)|HEAP_ALLOCATE|[26]|Bytes:14
17:07:31.0 (2676977)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
17:07:31.0 (2685329)|STATEMENT_EXECUTE|[27]
17:07:31.0 (2700399)|HEAP_ALLOCATE|[27]|Bytes:20
17:07:31.0 (2711609)|HEAP_ALLOCATE|[27]|Bytes:33
17:07:31.0 (2719950)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVQj1AAH}
17:07:31.0 (2737060)|STATEMENT_EXECUTE|[28]
17:07:31.0 (2739190)|STATEMENT_EXECUTE|[29]
17:07:31.0 (2750801)|HEAP_ALLOCATE|[29]|Bytes:122
17:07:31.0 (2756611)|HEAP_ALLOCATE|[29]|Bytes:24
17:07:31.0 (2759931)|HEAP_ALLOCATE|[29]|Bytes:187
17:07:31.0 (2769141)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:07:31.0 (2773551)|STATEMENT_EXECUTE|[1]
17:07:31.0 (2777011)|STATEMENT_EXECUTE|[1]
17:07:31.0 (2782481)|HEAP_ALLOCATE|[29]|Bytes:5
17:07:31.0 (2786942)|STATEMENT_EXECUTE|[998]
17:07:31.0 (2789662)|STATEMENT_EXECUTE|[1015]
17:07:31.0 (2791912)|STATEMENT_EXECUTE|[1036]
17:07:31.0 (2799372)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:07:31.0 (2806692)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:07:31.0 (2812142)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
