60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:18:40.0 (163434)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:18:40.0 (196965)|EXECUTION_STARTED
16:18:40.0 (208695)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:18:40.0 (675557)|HEAP_ALLOCATE|[95]|Bytes:3
16:18:40.0 (760289)|HEAP_ALLOCATE|[100]|Bytes:152
16:18:40.0 (778629)|HEAP_ALLOCATE|[417]|Bytes:408
16:18:40.0 (794860)|HEAP_ALLOCATE|[430]|Bytes:408
16:18:40.0 (821250)|HEAP_ALLOCATE|[317]|Bytes:6
16:18:40.0 (845051)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:18:40.0 (850281)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:18:40.0 (853651)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:18:40.0 (864041)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:18:40.0 (870012)|STATEMENT_EXECUTE|[1]
16:18:40.0 (876092)|STATEMENT_EXECUTE|[1]
16:18:40.0 (906162)|HEAP_ALLOCATE|[68]|Bytes:5
16:18:40.0 (933093)|HEAP_ALLOCATE|[74]|Bytes:5
16:18:40.0 (942303)|HEAP_ALLOCATE|[82]|Bytes:7
16:18:40.0 (958724)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:18:40.0 (973614)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:18:40.0 (980344)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:18:40.0 (992645)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:18:40.0 (1001495)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:18:40.0 (1006945)|STATEMENT_EXECUTE|[15]
16:18:40.0 (1015215)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:18:40.0 (1021105)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:18:40.0 (1063126)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:18:40.0 (1070917)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:18:40.0 (1150839)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x518ee303"}|0x7175f86f
16:18:40.0 (1158179)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:18:40.0 (1343353)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x20063df3
16:18:40.0 (1353194)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:18:40.0 (1609610)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t000006ZSN8AAO","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000006ZSN8AAO","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005msrFAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005msrFAAQ"},"CreatedDate":"2025-09-26T06:26:58.000Z","Id":"801e2000007jbc5AAA","RMD_ECC_Order_ID__c":"6691194573"}]|0x2f0169b5
16:18:40.0 (1633931)|HEAP_ALLOCATE|[17]|Bytes:5
16:18:40.0 (1639251)|STATEMENT_EXECUTE|[16]
16:18:40.0 (1641731)|STATEMENT_EXECUTE|[17]
16:18:40.0 (1645281)|HEAP_ALLOCATE|[17]|Bytes:18
16:18:40.0 (1703382)|HEAP_ALLOCATE|[17]|Bytes:1
16:18:40.0 (1722023)|HEAP_ALLOCATE|[17]|Bytes:19
16:18:40.0 (1747204)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:18:40.0 (1756694)|STATEMENT_EXECUTE|[18]
16:18:40.0 (1772534)|HEAP_ALLOCATE|[18]|Bytes:4
16:18:40.0 (1817295)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7175f86f
16:18:40.0 (1853136)|HEAP_ALLOCATE|[19]|Bytes:5
16:18:40.0 (1891007)|HEAP_ALLOCATE|[19]|Bytes:40
16:18:40.0 (1902977)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:18:40.0 (2023270)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0012t000006ZSN8AAO","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000006ZSN8AAO","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005msrFAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005msrFAAQ"},"CreatedDate":"2025-09-26T06:26:58.000Z","Id":"801e2000007jbc5AAA","RMD_ECC_Order_ID__c":"6691194573"}|0x7dc79fbc
16:18:40.0 (2033861)|STATEMENT_EXECUTE|[19]
16:18:40.0 (2036161)|STATEMENT_EXECUTE|[20]
16:18:40.0 (2063481)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:18:40.0 (2080082)|HEAP_ALLOCATE|[19]|Bytes:5
16:18:40.0 (2093982)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:18:40.0 (2100632)|STATEMENT_EXECUTE|[23]
16:18:40.0 (2104492)|HEAP_ALLOCATE|[23]|Bytes:13
16:18:40.0 (2135413)|HEAP_ALLOCATE|[23]|Bytes:1
16:18:40.0 (2152694)|HEAP_ALLOCATE|[23]|Bytes:14
16:18:40.0 (2166164)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:18:40.0 (2177064)|STATEMENT_EXECUTE|[24]
16:18:40.0 (2197055)|HEAP_ALLOCATE|[24]|Bytes:20
16:18:40.0 (2212495)|HEAP_ALLOCATE|[24]|Bytes:33
16:18:40.0 (2224645)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007jbc5AAA}
16:18:40.0 (2249326)|STATEMENT_EXECUTE|[25]
16:18:40.0 (2252616)|STATEMENT_EXECUTE|[26]
16:18:40.0 (2266147)|HEAP_ALLOCATE|[26]|Bytes:122
16:18:40.0 (2271667)|HEAP_ALLOCATE|[26]|Bytes:24
16:18:40.0 (2274997)|HEAP_ALLOCATE|[26]|Bytes:187
16:18:40.0 (2282577)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:18:40.0 (2286957)|STATEMENT_EXECUTE|[1]
16:18:40.0 (2292167)|STATEMENT_EXECUTE|[1]
16:18:40.0 (2298337)|HEAP_ALLOCATE|[26]|Bytes:5
16:18:40.0 (2302847)|STATEMENT_EXECUTE|[998]
16:18:40.0 (2305558)|STATEMENT_EXECUTE|[1015]
16:18:40.0 (2307798)|STATEMENT_EXECUTE|[1036]
16:18:40.0 (2315248)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:18:40.0 (2323358)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:18:40.0 (2330798)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:18:40.0 (2384009)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007jbc5AAA"]|0x2350f138
16:18:40.0 (2400860)|HEAP_ALLOCATE|[59]|Bytes:5
16:18:40.0 (2407170)|STATEMENT_EXECUTE|[57]
16:18:40.0 (2409370)|STATEMENT_EXECUTE|[59]
16:18:40.0 (2413160)|HEAP_ALLOCATE|[59]|Bytes:27
16:18:40.0 (2450911)|HEAP_ALLOCATE|[59]|Bytes:96
16:18:40.0 (2457761)|HEAP_ALLOCATE|[59]|Bytes:69
16:18:40.0 (2530533)|HEAP_ALLOCATE|[59]|Bytes:33
16:18:40.0 (2544593)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:18:40.0 (2550014)|STATEMENT_EXECUTE|[1]
16:18:40.0 (2558324)|SYSTEM_METHOD_EXIT|[1]|Type
16:18:40.0 (2566514)|HEAP_ALLOCATE|[59]|Bytes:8
