60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:09:58.0 (271958)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:09:58.0 (362661)|EXECUTION_STARTED
17:09:58.0 (379461)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:09:58.0 (1702711)|HEAP_ALLOCATE|[95]|Bytes:3
17:09:58.0 (1829325)|HEAP_ALLOCATE|[100]|Bytes:152
17:09:58.0 (1851635)|HEAP_ALLOCATE|[417]|Bytes:408
17:09:58.0 (1892646)|HEAP_ALLOCATE|[430]|Bytes:408
17:09:58.0 (1943078)|HEAP_ALLOCATE|[317]|Bytes:6
17:09:58.0 (2028080)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:09:58.0 (2037121)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:09:58.0 (2043031)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:09:58.0 (2055701)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:09:58.0 (2063491)|STATEMENT_EXECUTE|[1]
17:09:58.0 (2068932)|STATEMENT_EXECUTE|[1]
17:09:58.0 (2097442)|HEAP_ALLOCATE|[68]|Bytes:5
17:09:58.0 (2138074)|HEAP_ALLOCATE|[74]|Bytes:5
17:09:58.0 (2151304)|HEAP_ALLOCATE|[82]|Bytes:7
17:09:58.0 (2208926)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:09:58.0 (2262277)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:09:58.0 (2272167)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:58.0 (2288118)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:09:58.0 (2297988)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:09:58.0 (2303138)|STATEMENT_EXECUTE|[15]
17:09:58.0 (2311839)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:09:58.0 (2317489)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:09:58.0 (2344670)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:58.0 (2353500)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:09:58.0 (2421842)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x5c4125cc"}|0x6582ac98
17:09:58.0 (2428232)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:09:58.0 (2567266)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0xa7052eb
17:09:58.0 (2573366)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:09:58.0 (3167964)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002RCBEIA4","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RCBEIA4","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003Ha9hIAC","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003Ha9hIAC"},"CreatedDate":"2025-01-27T09:05:36.000Z","Coupon_Type__c":"P","Id":"801Ie000001ICsTIAW","RMD_ECC_Order_ID__c":"Akhil1641"}]|0x576bf575
17:09:58.0 (3190304)|HEAP_ALLOCATE|[17]|Bytes:5
17:09:58.0 (3195744)|STATEMENT_EXECUTE|[16]
17:09:58.0 (3197975)|STATEMENT_EXECUTE|[17]
17:09:58.0 (3201565)|HEAP_ALLOCATE|[17]|Bytes:18
17:09:58.0 (3282757)|HEAP_ALLOCATE|[17]|Bytes:1
17:09:58.0 (3303579)|HEAP_ALLOCATE|[17]|Bytes:19
17:09:58.0 (3322848)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:09:58.0 (3331699)|STATEMENT_EXECUTE|[18]
17:09:58.0 (3343289)|HEAP_ALLOCATE|[18]|Bytes:4
17:09:58.0 (3381760)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x6582ac98
17:09:58.0 (3416902)|HEAP_ALLOCATE|[19]|Bytes:5
17:09:58.0 (3466153)|HEAP_ALLOCATE|[19]|Bytes:44
17:09:58.0 (3477714)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:09:58.0 (3720611)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie000002RCBEIA4","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RCBEIA4","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003Ha9hIAC","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003Ha9hIAC"},"CreatedDate":"2025-01-27T09:05:36.000Z","Coupon_Type__c":"P","Id":"801Ie000001ICsTIAW","RMD_ECC_Order_ID__c":"Akhil1641"}|0x345b7885
17:09:58.0 (3732211)|STATEMENT_EXECUTE|[19]
17:09:58.0 (3734491)|STATEMENT_EXECUTE|[20]
17:09:58.0 (3757052)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:09:58.0 (3808173)|HEAP_ALLOCATE|[19]|Bytes:5
17:09:58.0 (3825244)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:09:58.0 (3830334)|STATEMENT_EXECUTE|[23]
17:09:58.0 (3833484)|HEAP_ALLOCATE|[23]|Bytes:13
17:09:58.0 (3917327)|HEAP_ALLOCATE|[23]|Bytes:1
17:09:58.0 (3932927)|HEAP_ALLOCATE|[23]|Bytes:14
17:09:58.0 (3943527)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:09:58.0 (3950717)|STATEMENT_EXECUTE|[24]
17:09:58.0 (3964498)|HEAP_ALLOCATE|[24]|Bytes:20
17:09:58.0 (3976278)|HEAP_ALLOCATE|[24]|Bytes:33
17:09:58.0 (3984347)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001ICsTIAW}
17:09:58.0 (4002179)|STATEMENT_EXECUTE|[25]
17:09:58.0 (4004668)|STATEMENT_EXECUTE|[26]
17:09:58.0 (4016979)|HEAP_ALLOCATE|[26]|Bytes:122
17:09:58.0 (4022589)|HEAP_ALLOCATE|[26]|Bytes:24
17:09:58.0 (4026000)|HEAP_ALLOCATE|[26]|Bytes:187
17:09:58.0 (4033890)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:09:58.0 (4038840)|STATEMENT_EXECUTE|[1]
17:09:58.0 (4042200)|STATEMENT_EXECUTE|[1]
17:09:58.0 (4047860)|HEAP_ALLOCATE|[26]|Bytes:5
17:09:58.0 (4051890)|STATEMENT_EXECUTE|[998]
17:09:58.0 (4054280)|STATEMENT_EXECUTE|[1015]
17:09:58.0 (4056281)|STATEMENT_EXECUTE|[1036]
17:09:58.0 (4087081)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:09:58.0 (4095372)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:09:58.0 (4100871)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:09:58.0 (4113802)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001ICsTIAW"]|0x7361e1c0
17:09:58.0 (4122843)|HEAP_ALLOCATE|[59]|Bytes:5
17:09:58.0 (4127832)|STATEMENT_EXECUTE|[57]
17:09:58.0 (4130083)|STATEMENT_EXECUTE|[59]
17:09:58.0 (4133763)|HEAP_ALLOCATE|[59]|Bytes:27
17:09:58.0 (4167944)|HEAP_ALLOCATE|[59]|Bytes:96
17:09:58.0 (4174444)|HEAP_ALLOCATE|[59]|Bytes:69
17:09:58.0 (4222075)|HEAP_ALLOCATE|[59]|Bytes:33
17:09:58.0 (4231126)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:09:58.0 (4234936)|STATEMENT_EXECUTE|[1]
17:09:58.0 (4286767)|SYSTEM_METHOD_EXIT|[1]|Type
17:09:58.0 (4293087)|HEAP_ALLOCATE|[59]|Bytes:8
17:09:58.0 (4304488)|HEAP_ALLOCATE|[59]|Bytes:8
17:09:58.0 (4309418)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:09:58.0 (4331169)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x685fe9c5
