60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:19:53.0 (177565)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:19:53.0 (214975)|EXECUTION_STARTED
16:19:53.0 (228606)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:19:53.0 (665507)|HEAP_ALLOCATE|[95]|Bytes:3
16:19:53.0 (756419)|HEAP_ALLOCATE|[100]|Bytes:152
16:19:53.0 (775320)|HEAP_ALLOCATE|[417]|Bytes:408
16:19:53.0 (793220)|HEAP_ALLOCATE|[430]|Bytes:408
16:19:53.0 (824221)|HEAP_ALLOCATE|[317]|Bytes:6
16:19:53.0 (851351)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:19:53.0 (857901)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:19:53.0 (862163)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:19:53.0 (873723)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:19:53.0 (880432)|STATEMENT_EXECUTE|[1]
16:19:53.0 (887312)|STATEMENT_EXECUTE|[1]
16:19:53.0 (919423)|HEAP_ALLOCATE|[68]|Bytes:5
16:19:53.0 (945845)|HEAP_ALLOCATE|[74]|Bytes:5
16:19:53.0 (955974)|HEAP_ALLOCATE|[82]|Bytes:7
16:19:53.0 (967454)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:19:53.0 (980145)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:19:53.0 (986126)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:19:53.0 (995865)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
