44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:36:08.0 (186182)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:36:08.0 (230423)|EXECUTION_STARTED
16:36:08.0 (244703)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:36:08.0 (1468775)|HEAP_ALLOCATE|[95]|Bytes:3
16:36:08.0 (1566927)|HEAP_ALLOCATE|[100]|Bytes:152
16:36:08.0 (1586427)|HEAP_ALLOCATE|[417]|Bytes:408
16:36:08.0 (1603637)|HEAP_ALLOCATE|[430]|Bytes:408
16:36:08.0 (1630328)|HEAP_ALLOCATE|[317]|Bytes:6
16:36:08.0 (1655928)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:36:08.0 (1661739)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:36:08.0 (1665460)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:36:08.0 (1675189)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:36:08.0 (1681049)|STATEMENT_EXECUTE|[1]
16:36:08.0 (1687079)|STATEMENT_EXECUTE|[1]
16:36:08.0 (1716940)|HEAP_ALLOCATE|[68]|Bytes:5
16:36:08.0 (1741750)|HEAP_ALLOCATE|[74]|Bytes:5
16:36:08.0 (1750501)|HEAP_ALLOCATE|[82]|Bytes:7
16:36:08.0 (1762410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:08.0 (1774470)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:36:08.0 (1780431)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:08.0 (1789691)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:36:08.0 (1795881)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:36:08.0 (1799191)|STATEMENT_EXECUTE|[15]
16:36:08.0 (1805891)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:36:08.0 (1810041)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:36:08.0 (1841472)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:08.0 (1847663)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:36:08.0 (1901733)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x3b2a237b"}|0x4ba5a860
16:36:08.0 (1907193)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:36:08.0 (2060796)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x4bd4abad
16:36:08.0 (2067747)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:36:08.0 (2299071)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T09:47:57.000Z","Account":{"Id":"0012t0000074ls4AAA","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVZRJAA5","AccountId":"0012t0000074ls4AAA"}]|0x51327bb0
16:36:08.0 (2318370)|HEAP_ALLOCATE|[20]|Bytes:5
16:36:08.0 (2324071)|STATEMENT_EXECUTE|[19]
16:36:08.0 (2326580)|STATEMENT_EXECUTE|[20]
16:36:08.0 (2330001)|HEAP_ALLOCATE|[20]|Bytes:18
16:36:08.0 (2382352)|HEAP_ALLOCATE|[20]|Bytes:1
