60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:42:44.0 (316960)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:42:44.0 (378892)|EXECUTION_STARTED
16:42:44.0 (396792)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:42:44.0 (1657920)|HEAP_ALLOCATE|[95]|Bytes:3
16:42:44.0 (1768724)|HEAP_ALLOCATE|[100]|Bytes:152
16:42:44.0 (1787105)|HEAP_ALLOCATE|[417]|Bytes:408
16:42:44.0 (1800075)|HEAP_ALLOCATE|[430]|Bytes:408
16:42:44.0 (1828106)|HEAP_ALLOCATE|[317]|Bytes:6
16:42:44.0 (1858436)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:42:44.0 (1864447)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:42:44.0 (1867658)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:42:44.0 (1877637)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:42:44.0 (1884557)|STATEMENT_EXECUTE|[1]
16:42:44.0 (1890148)|STATEMENT_EXECUTE|[1]
16:42:44.0 (1920859)|HEAP_ALLOCATE|[68]|Bytes:5
16:42:44.0 (1954809)|HEAP_ALLOCATE|[74]|Bytes:5
16:42:44.0 (1967621)|HEAP_ALLOCATE|[82]|Bytes:7
16:42:44.0 (1981890)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:42:44.0 (1996982)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:42:44.0 (2004761)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:44.0 (2018472)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:42:44.0 (2027642)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:42:44.0 (2032812)|STATEMENT_EXECUTE|[15]
16:42:44.0 (2042772)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:42:44.0 (2048583)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:42:44.0 (2094164)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:44.0 (2100694)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:42:44.0 (2181157)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x45a47b16"}|0x121d8d58
