60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:27:11.0 (162044)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:27:11.0 (238535)|EXECUTION_STARTED
16:27:11.0 (254265)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:27:11.0 (1121349)|HEAP_ALLOCATE|[95]|Bytes:3
16:27:11.0 (1271173)|HEAP_ALLOCATE|[100]|Bytes:152
16:27:11.0 (1288373)|HEAP_ALLOCATE|[417]|Bytes:408
16:27:11.0 (1301783)|HEAP_ALLOCATE|[430]|Bytes:408
16:27:11.0 (1339595)|HEAP_ALLOCATE|[317]|Bytes:6
16:27:11.0 (1367245)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:27:11.0 (1373104)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:27:11.0 (1376316)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:27:11.0 (1386046)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:27:11.0 (1392086)|STATEMENT_EXECUTE|[1]
16:27:11.0 (1397616)|STATEMENT_EXECUTE|[1]
16:27:11.0 (1426877)|HEAP_ALLOCATE|[68]|Bytes:5
16:27:11.0 (1453058)|HEAP_ALLOCATE|[74]|Bytes:5
16:27:11.0 (1461968)|HEAP_ALLOCATE|[82]|Bytes:7
16:27:11.0 (1473528)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:27:11.0 (1485798)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:27:11.0 (1491269)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:27:11.0 (1499549)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:27:11.0 (1505359)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:27:11.0 (1508779)|STATEMENT_EXECUTE|[15]
16:27:11.0 (1514549)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:27:11.0 (1518389)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:27:11.0 (1554760)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:27:11.0 (1560730)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:27:11.0 (1629312)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x232bc2ed"}|0x161dfdae
16:27:11.0 (1635032)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:27:11.0 (1767666)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x2410eaac
16:27:11.0 (1773456)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:27:11.0 (2004642)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b8f7SQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8f7SQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006IvysAAC","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006IvysAAC"},"CreatedDate":"2025-10-03T11:51:34.000Z","Id":"801e2000008Izy8AAC","RMD_ECC_Order_ID__c":"6691221766"}]|0x46fb643d
16:27:11.0 (2027342)|HEAP_ALLOCATE|[17]|Bytes:5
16:27:11.0 (2033093)|STATEMENT_EXECUTE|[16]
16:27:11.0 (2035473)|STATEMENT_EXECUTE|[17]
16:27:11.0 (2038943)|HEAP_ALLOCATE|[17]|Bytes:18
16:27:11.0 (2095904)|HEAP_ALLOCATE|[17]|Bytes:1
16:27:11.0 (2113255)|HEAP_ALLOCATE|[17]|Bytes:19
16:27:11.0 (2139475)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:27:11.0 (2148986)|STATEMENT_EXECUTE|[18]
16:27:11.0 (2163126)|HEAP_ALLOCATE|[18]|Bytes:4
16:27:11.0 (2245468)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x161dfdae
16:27:11.0 (2284639)|HEAP_ALLOCATE|[19]|Bytes:5
16:27:11.0 (2326560)|HEAP_ALLOCATE|[19]|Bytes:40
16:27:11.0 (2339201)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:27:11.0 (2474574)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001b8f7SQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8f7SQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006IvysAAC","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006IvysAAC"},"CreatedDate":"2025-10-03T11:51:34.000Z","Id":"801e2000008Izy8AAC","RMD_ECC_Order_ID__c":"6691221766"}|0x18f998eb
16:27:11.0 (2484654)|STATEMENT_EXECUTE|[19]
16:27:11.0 (2487094)|STATEMENT_EXECUTE|[20]
16:27:11.0 (2511245)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:27:11.0 (2530106)|HEAP_ALLOCATE|[19]|Bytes:5
16:27:11.0 (2544556)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:27:11.0 (2550466)|STATEMENT_EXECUTE|[23]
16:27:11.0 (2553396)|HEAP_ALLOCATE|[23]|Bytes:13
16:27:11.0 (2580137)|HEAP_ALLOCATE|[23]|Bytes:1
16:27:11.0 (2592807)|HEAP_ALLOCATE|[23]|Bytes:14
16:27:11.0 (2605447)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:27:11.0 (2613418)|STATEMENT_EXECUTE|[24]
16:27:11.0 (2629618)|HEAP_ALLOCATE|[24]|Bytes:20
16:27:11.0 (2640358)|HEAP_ALLOCATE|[24]|Bytes:33
16:27:11.0 (2648769)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008Izy8AAC}
16:27:11.0 (2666129)|STATEMENT_EXECUTE|[25]
16:27:11.0 (2668219)|STATEMENT_EXECUTE|[26]
16:27:11.0 (2678659)|HEAP_ALLOCATE|[26]|Bytes:122
16:27:11.0 (2683791)|HEAP_ALLOCATE|[26]|Bytes:24
