60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:28:02.0 (173824)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:28:02.0 (241176)|EXECUTION_STARTED
16:28:02.0 (253957)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:28:02.0 (976826)|HEAP_ALLOCATE|[95]|Bytes:3
16:28:02.0 (1054708)|HEAP_ALLOCATE|[100]|Bytes:152
16:28:02.0 (1072598)|HEAP_ALLOCATE|[417]|Bytes:408
16:28:02.0 (1086479)|HEAP_ALLOCATE|[430]|Bytes:408
16:28:02.0 (1177321)|HEAP_ALLOCATE|[317]|Bytes:6
16:28:02.0 (1203642)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:28:02.0 (1209762)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:28:02.0 (1215742)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:28:02.0 (1227402)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:28:02.0 (1234772)|STATEMENT_EXECUTE|[1]
16:28:02.0 (1242292)|STATEMENT_EXECUTE|[1]
16:28:02.0 (1281253)|HEAP_ALLOCATE|[68]|Bytes:5
16:28:02.0 (1315414)|HEAP_ALLOCATE|[74]|Bytes:5
16:28:02.0 (1328115)|HEAP_ALLOCATE|[82]|Bytes:7
16:28:02.0 (1342875)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:28:02.0 (1357746)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:28:02.0 (1363556)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:28:02.0 (1372846)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:28:02.0 (1378895)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:28:02.0 (1382036)|STATEMENT_EXECUTE|[15]
16:28:02.0 (1388056)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:28:02.0 (1392037)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:28:02.0 (1429708)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:28:02.0 (1440348)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:28:02.0 (1523410)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x61a15572"}|0x161dfdae
16:28:02.0 (1532090)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:28:02.0 (1701625)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x2410eaac
16:28:02.0 (1709275)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:28:02.0 (2035213)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjp3XQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjp3XQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006Ivu2AAC","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006Ivu2AAC"},"CreatedDate":"2025-10-03T11:11:54.000Z","Id":"801e2000008J99RAAS","RMD_ECC_Order_ID__c":"6691220644"}]|0x111619d0
16:28:02.0 (2063674)|HEAP_ALLOCATE|[17]|Bytes:5
16:28:02.0 (2071534)|STATEMENT_EXECUTE|[16]
16:28:02.0 (2074974)|STATEMENT_EXECUTE|[17]
16:28:02.0 (2079545)|HEAP_ALLOCATE|[17]|Bytes:18
16:28:02.0 (2150506)|HEAP_ALLOCATE|[17]|Bytes:1
16:28:02.0 (2176077)|HEAP_ALLOCATE|[17]|Bytes:19
16:28:02.0 (2214838)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:28:02.0 (2229749)|STATEMENT_EXECUTE|[18]
16:28:02.0 (2248109)|HEAP_ALLOCATE|[18]|Bytes:4
16:28:02.0 (2304230)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x161dfdae
16:28:02.0 (2346662)|HEAP_ALLOCATE|[19]|Bytes:5
16:28:02.0 (2387653)|HEAP_ALLOCATE|[19]|Bytes:40
16:28:02.0 (2401053)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:28:02.0 (2543507)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001bjp3XQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjp3XQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006Ivu2AAC","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006Ivu2AAC"},"CreatedDate":"2025-10-03T11:11:54.000Z","Id":"801e2000008J99RAAS","RMD_ECC_Order_ID__c":"6691220644"}|0x6561efbe
16:28:02.0 (2557937)|STATEMENT_EXECUTE|[19]
16:28:02.0 (2560777)|STATEMENT_EXECUTE|[20]
16:28:02.0 (2593188)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:28:02.0 (2611588)|HEAP_ALLOCATE|[19]|Bytes:5
16:28:02.0 (2625449)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:28:02.0 (2630239)|STATEMENT_EXECUTE|[23]
16:28:02.0 (2633619)|HEAP_ALLOCATE|[23]|Bytes:13
16:28:02.0 (2658280)|HEAP_ALLOCATE|[23]|Bytes:1
16:28:02.0 (2670360)|HEAP_ALLOCATE|[23]|Bytes:14
16:28:02.0 (2681030)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:28:02.0 (2690831)|STATEMENT_EXECUTE|[24]
16:28:02.0 (2710531)|HEAP_ALLOCATE|[24]|Bytes:20
16:28:02.0 (2722401)|HEAP_ALLOCATE|[24]|Bytes:33
16:28:02.0 (2733503)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008J99RAAS}
16:28:02.0 (2753732)|STATEMENT_EXECUTE|[25]
16:28:02.0 (2756052)|STATEMENT_EXECUTE|[26]
16:28:02.0 (2769893)|HEAP_ALLOCATE|[26]|Bytes:122
16:28:02.0 (2778653)|HEAP_ALLOCATE|[26]|Bytes:24
16:28:02.0 (2784093)|HEAP_ALLOCATE|[26]|Bytes:187
16:28:02.0 (2794344)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:28:02.0 (2800184)|STATEMENT_EXECUTE|[1]
16:28:02.0 (2804133)|STATEMENT_EXECUTE|[1]
16:28:02.0 (2810534)|HEAP_ALLOCATE|[26]|Bytes:5
16:28:02.0 (2814594)|STATEMENT_EXECUTE|[998]
16:28:02.0 (2817054)|STATEMENT_EXECUTE|[1015]
