60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:28:53.0 (150254)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:28:53.0 (207446)|EXECUTION_STARTED
16:28:53.0 (219265)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:28:53.0 (988426)|HEAP_ALLOCATE|[95]|Bytes:3
16:28:53.0 (1073738)|HEAP_ALLOCATE|[100]|Bytes:152
16:28:53.0 (1090039)|HEAP_ALLOCATE|[417]|Bytes:408
16:28:53.0 (1105789)|HEAP_ALLOCATE|[430]|Bytes:408
16:28:53.0 (1130900)|HEAP_ALLOCATE|[317]|Bytes:6
16:28:53.0 (1152720)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:28:53.0 (1158270)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:28:53.0 (1161470)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:28:53.0 (1170641)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:28:53.0 (1176011)|STATEMENT_EXECUTE|[1]
16:28:53.0 (1180961)|STATEMENT_EXECUTE|[1]
16:28:53.0 (1211142)|HEAP_ALLOCATE|[68]|Bytes:5
16:28:53.0 (1237042)|HEAP_ALLOCATE|[74]|Bytes:5
16:28:53.0 (1245753)|HEAP_ALLOCATE|[82]|Bytes:7
16:28:53.0 (1257113)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:28:53.0 (1269093)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:28:53.0 (1274153)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:28:53.0 (1282634)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:28:53.0 (1288354)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:28:53.0 (1291564)|STATEMENT_EXECUTE|[15]
16:28:53.0 (1297694)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:28:53.0 (1301574)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:28:53.0 (1329145)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:28:53.0 (1335055)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:28:53.0 (1390056)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x5014d4fd"}|0x161dfdae
16:28:53.0 (1396446)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
