60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:29:24.0 (159812)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:29:24.0 (195063)|EXECUTION_STARTED
16:29:24.0 (208413)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:29:24.0 (1744231)|HEAP_ALLOCATE|[95]|Bytes:3
16:29:24.0 (1823921)|HEAP_ALLOCATE|[100]|Bytes:152
16:29:24.0 (1841452)|HEAP_ALLOCATE|[417]|Bytes:408
16:29:24.0 (1856922)|HEAP_ALLOCATE|[430]|Bytes:408
16:29:24.0 (1881663)|HEAP_ALLOCATE|[317]|Bytes:6
16:29:24.0 (1904363)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:29:24.0 (1909664)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:29:24.0 (1913214)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:29:24.0 (1923104)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:29:24.0 (1929723)|STATEMENT_EXECUTE|[1]
16:29:24.0 (1934504)|STATEMENT_EXECUTE|[1]
16:29:24.0 (1962705)|HEAP_ALLOCATE|[68]|Bytes:5
16:29:24.0 (1986465)|HEAP_ALLOCATE|[74]|Bytes:5
16:29:24.0 (1996135)|HEAP_ALLOCATE|[82]|Bytes:7
16:29:24.0 (2006675)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:29:24.0 (2018376)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:29:24.0 (2023786)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:29:24.0 (2032106)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:29:24.0 (2038506)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:29:24.0 (2042476)|STATEMENT_EXECUTE|[15]
16:29:24.0 (2048346)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:29:24.0 (2052396)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:29:24.0 (2082357)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:29:24.0 (2088507)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
