60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:08:50.0 (147053)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:08:50.0 (178373)|EXECUTION_STARTED
17:08:50.0 (192045)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:08:50.0 (1392523)|HEAP_ALLOCATE|[95]|Bytes:3
17:08:50.0 (1468135)|HEAP_ALLOCATE|[100]|Bytes:152
17:08:50.0 (1485095)|HEAP_ALLOCATE|[417]|Bytes:408
17:08:50.0 (1499775)|HEAP_ALLOCATE|[430]|Bytes:408
17:08:50.0 (1524486)|HEAP_ALLOCATE|[317]|Bytes:6
17:08:50.0 (1546496)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:08:50.0 (1551878)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:08:50.0 (1555047)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:08:50.0 (1564187)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:08:50.0 (1569827)|STATEMENT_EXECUTE|[1]
17:08:50.0 (1574907)|STATEMENT_EXECUTE|[1]
17:08:50.0 (1598628)|HEAP_ALLOCATE|[68]|Bytes:5
17:08:50.0 (1623298)|HEAP_ALLOCATE|[74]|Bytes:5
17:08:50.0 (1631668)|HEAP_ALLOCATE|[82]|Bytes:7
17:08:50.0 (1641649)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:08:50.0 (1653160)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:08:50.0 (1658040)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:50.0 (1665960)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:08:50.0 (1672389)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:08:50.0 (1675730)|STATEMENT_EXECUTE|[15]
17:08:50.0 (1681610)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:08:50.0 (1685230)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:08:50.0 (1709850)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:50.0 (1715270)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:08:50.0 (1776712)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x67a17e17"}|0x726104f7
17:08:50.0 (1782403)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:08:50.0 (1896455)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x73396b42
17:08:50.0 (1902225)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:08:50.0 (2360586)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"0012t000005ZV0GAAW","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000005ZV0GAAW","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003H0iYIAS","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003H0iYIAS"},"CreatedDate":"2025-01-11T11:51:49.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrWkIAK","RMD_ECC_Order_ID__c":"Akhil1639"}]|0x24badd5a
17:08:50.0 (2380806)|HEAP_ALLOCATE|[17]|Bytes:5
17:08:50.0 (2386387)|STATEMENT_EXECUTE|[16]
17:08:50.0 (2388867)|STATEMENT_EXECUTE|[17]
17:08:50.0 (2392567)|HEAP_ALLOCATE|[17]|Bytes:18
17:08:50.0 (2445188)|HEAP_ALLOCATE|[17]|Bytes:1
17:08:50.0 (2462828)|HEAP_ALLOCATE|[17]|Bytes:19
17:08:50.0 (2487089)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:08:50.0 (2496909)|STATEMENT_EXECUTE|[18]
17:08:50.0 (2509341)|HEAP_ALLOCATE|[18]|Bytes:4
17:08:50.0 (2550071)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x726104f7
17:08:50.0 (2584411)|HEAP_ALLOCATE|[19]|Bytes:5
17:08:50.0 (2622202)|HEAP_ALLOCATE|[19]|Bytes:44
17:08:50.0 (2634653)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:08:50.0 (2748586)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"0012t000005ZV0GAAW","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000005ZV0GAAW","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003H0iYIAS","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003H0iYIAS"},"CreatedDate":"2025-01-11T11:51:49.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrWkIAK","RMD_ECC_Order_ID__c":"Akhil1639"}|0x445165d6
17:08:50.0 (2759246)|STATEMENT_EXECUTE|[19]
17:08:50.0 (2761627)|STATEMENT_EXECUTE|[20]
17:08:50.0 (2786446)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:08:50.0 (2804057)|HEAP_ALLOCATE|[19]|Bytes:5
17:08:50.0 (2818177)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:08:50.0 (2823717)|STATEMENT_EXECUTE|[23]
17:08:50.0 (2826497)|HEAP_ALLOCATE|[23]|Bytes:13
17:08:50.0 (2847978)|HEAP_ALLOCATE|[23]|Bytes:1
17:08:50.0 (2859218)|HEAP_ALLOCATE|[23]|Bytes:14
17:08:50.0 (2868598)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:08:50.0 (2875808)|STATEMENT_EXECUTE|[24]
17:08:50.0 (2891649)|HEAP_ALLOCATE|[24]|Bytes:20
17:08:50.0 (2902779)|HEAP_ALLOCATE|[24]|Bytes:33
17:08:50.0 (2911379)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001HrWkIAK}
17:08:50.0 (2929130)|STATEMENT_EXECUTE|[25]
17:08:50.0 (2931380)|STATEMENT_EXECUTE|[26]
17:08:50.0 (2941770)|HEAP_ALLOCATE|[26]|Bytes:122
17:08:50.0 (2946640)|HEAP_ALLOCATE|[26]|Bytes:24
17:08:50.0 (2949960)|HEAP_ALLOCATE|[26]|Bytes:187
17:08:50.0 (2956640)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:08:50.0 (2960440)|STATEMENT_EXECUTE|[1]
17:08:50.0 (2963441)|STATEMENT_EXECUTE|[1]
17:08:50.0 (2968632)|HEAP_ALLOCATE|[26]|Bytes:5
17:08:50.0 (2972621)|STATEMENT_EXECUTE|[998]
17:08:50.0 (2975032)|STATEMENT_EXECUTE|[1015]
17:08:50.0 (2977091)|STATEMENT_EXECUTE|[1036]
17:08:50.0 (2998601)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:08:50.0 (3006582)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:08:50.0 (3012002)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:08:50.0 (3023482)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001HrWkIAK"]|0x7aecca82
17:08:50.0 (3031913)|HEAP_ALLOCATE|[59]|Bytes:5
17:08:50.0 (3036822)|STATEMENT_EXECUTE|[57]
17:08:50.0 (3038982)|STATEMENT_EXECUTE|[59]
17:08:50.0 (3042722)|HEAP_ALLOCATE|[59]|Bytes:27
17:08:50.0 (3073943)|HEAP_ALLOCATE|[59]|Bytes:96
17:08:50.0 (3081173)|HEAP_ALLOCATE|[59]|Bytes:69
17:08:50.0 (3135185)|HEAP_ALLOCATE|[59]|Bytes:33
17:08:50.0 (3142735)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:08:50.0 (3146076)|STATEMENT_EXECUTE|[1]
17:08:50.0 (3151676)|SYSTEM_METHOD_EXIT|[1]|Type
17:08:50.0 (3158156)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:50.0 (3169605)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:50.0 (3173906)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:08:50.0 (3190326)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4108bf9
17:08:50.0 (3194926)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:08:50.0 (3239857)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6bba821a
17:08:50.0 (5405749)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:50.0 (5423200)|HEAP_ALLOCATE|[59]|Bytes:24
17:08:50.0 (5432180)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:08:50.0 (5436571)|STATEMENT_EXECUTE|[1]
17:08:50.0 (5442300)|SYSTEM_METHOD_EXIT|[1]|JSON
17:08:50.0 (5452000)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:08:50.0 (5783108)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:08:50.0 (5794119)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:08:50.0 (5823489)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x57044a44
17:08:50.0 (5830309)|HEAP_ALLOCATE|[60]|Bytes:9
17:08:50.0 (5853690)|STATEMENT_EXECUTE|[60]
17:08:50.0 (5856781)|STATEMENT_EXECUTE|[67]
17:08:50.0 (5859400)|STATEMENT_EXECUTE|[67]
17:08:50.0 (5861990)|STATEMENT_EXECUTE|[68]
17:08:50.0 (5892601)|HEAP_ALLOCATE|[68]|Bytes:4
17:08:50.0 (5926303)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:08:50.0 (5940652)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x379529c4
