60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:35:04.0 (161023)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:35:04.0 (199413)|EXECUTION_STARTED
17:35:04.0 (213544)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:35:04.0 (1452374)|HEAP_ALLOCATE|[95]|Bytes:3
17:35:04.0 (1546517)|HEAP_ALLOCATE|[100]|Bytes:152
17:35:04.0 (1567226)|HEAP_ALLOCATE|[417]|Bytes:408
17:35:04.0 (1582737)|HEAP_ALLOCATE|[430]|Bytes:408
17:35:04.0 (1612537)|HEAP_ALLOCATE|[317]|Bytes:6
17:35:04.0 (1641888)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:35:04.0 (1665469)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:35:04.0 (1671269)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:35:04.0 (1682979)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:35:04.0 (1689299)|STATEMENT_EXECUTE|[1]
17:35:04.0 (1696379)|STATEMENT_EXECUTE|[1]
17:35:04.0 (1729601)|HEAP_ALLOCATE|[68]|Bytes:5
17:35:04.0 (1759871)|HEAP_ALLOCATE|[74]|Bytes:5
17:35:04.0 (1768002)|HEAP_ALLOCATE|[82]|Bytes:7
17:35:04.0 (1778951)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:35:04.0 (1792772)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:35:04.0 (1798872)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:35:04.0 (1808412)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:35:04.0 (1815603)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:35:04.0 (1818843)|STATEMENT_EXECUTE|[15]
17:35:04.0 (1826293)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:35:04.0 (1830063)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:35:04.0 (1870765)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:35:04.0 (1877134)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:35:04.0 (1954756)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2ca40c7e"}|0xbef81e1
17:35:04.0 (1960696)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:35:04.0 (2120550)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x1c3f0620
17:35:04.0 (2128860)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:35:04.0 (2634922)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie00000955QaIAI","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955QaIAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCdSIAU","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCdSIAU"},"CreatedDate":"2025-05-26T10:37:47.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx8yIAC","RMD_ECC_Order_ID__c":"Akhil1859"}]|0x22213896
17:35:04.0 (2665224)|HEAP_ALLOCATE|[17]|Bytes:5
17:35:04.0 (2671893)|STATEMENT_EXECUTE|[16]
17:35:04.0 (2674363)|STATEMENT_EXECUTE|[17]
17:35:04.0 (2679093)|HEAP_ALLOCATE|[17]|Bytes:18
17:35:04.0 (2739666)|HEAP_ALLOCATE|[17]|Bytes:1
17:35:04.0 (2759405)|HEAP_ALLOCATE|[17]|Bytes:19
17:35:04.0 (2784547)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:35:04.0 (2795646)|STATEMENT_EXECUTE|[18]
17:35:04.0 (2812547)|HEAP_ALLOCATE|[18]|Bytes:4
17:35:04.0 (2864098)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0xbef81e1
17:35:04.0 (2905529)|HEAP_ALLOCATE|[19]|Bytes:5
17:35:04.0 (2949460)|HEAP_ALLOCATE|[19]|Bytes:44
17:35:04.0 (2969671)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:35:04.0 (3122715)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie00000955QaIAI","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955QaIAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCdSIAU","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCdSIAU"},"CreatedDate":"2025-05-26T10:37:47.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx8yIAC","RMD_ECC_Order_ID__c":"Akhil1859"}|0x6e0fbee7
17:35:04.0 (3134654)|STATEMENT_EXECUTE|[19]
17:35:04.0 (3137324)|STATEMENT_EXECUTE|[20]
17:35:04.0 (3221917)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:35:04.0 (3258038)|HEAP_ALLOCATE|[19]|Bytes:5
17:35:04.0 (3282898)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:35:04.0 (3293818)|STATEMENT_EXECUTE|[23]
17:35:04.0 (3298298)|HEAP_ALLOCATE|[23]|Bytes:13
17:35:04.0 (3332429)|HEAP_ALLOCATE|[23]|Bytes:1
17:35:04.0 (3347339)|HEAP_ALLOCATE|[23]|Bytes:14
