44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:52:28.0 (142507)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:52:28.0 (207800)|EXECUTION_STARTED
16:52:28.0 (227571)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:52:28.0 (742047)|HEAP_ALLOCATE|[95]|Bytes:3
16:52:28.0 (834992)|HEAP_ALLOCATE|[100]|Bytes:152
16:52:28.0 (852673)|HEAP_ALLOCATE|[417]|Bytes:408
16:52:28.0 (866933)|HEAP_ALLOCATE|[430]|Bytes:408
16:52:28.0 (892365)|HEAP_ALLOCATE|[317]|Bytes:6
16:52:28.0 (918226)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:52:28.0 (924336)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:52:28.0 (927586)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:52:28.0 (940327)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:52:28.0 (945977)|STATEMENT_EXECUTE|[1]
16:52:28.0 (950457)|STATEMENT_EXECUTE|[1]
16:52:28.0 (979109)|HEAP_ALLOCATE|[68]|Bytes:5
16:52:28.0 (1005610)|HEAP_ALLOCATE|[74]|Bytes:5
16:52:28.0 (1016811)|HEAP_ALLOCATE|[82]|Bytes:7
16:52:28.0 (1028641)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:52:28.0 (1041292)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:52:28.0 (1047432)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:28.0 (1056153)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:52:28.0 (1062723)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:52:28.0 (1065963)|STATEMENT_EXECUTE|[15]
16:52:28.0 (1071674)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:52:28.0 (1075614)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:52:28.0 (1107405)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:28.0 (1113666)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:52:28.0 (1178389)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x6849bc0"}|0x101007a7
16:52:28.0 (1183539)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:52:28.0 (1315626)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x1c1561ab
16:52:28.0 (1321096)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:52:28.0 (1512966)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-03-23T09:49:06.000Z","Account":{"Id":"0017F00001biqRrQAI","RMD_Sync_with_SAP__c":true},"Id":"801e200000NG4VUAA1","AccountId":"0017F00001biqRrQAI"}]|0x58aee605
16:52:28.0 (1532837)|HEAP_ALLOCATE|[20]|Bytes:5
16:52:28.0 (1537837)|STATEMENT_EXECUTE|[19]
16:52:28.0 (1540187)|STATEMENT_EXECUTE|[20]
16:52:28.0 (1543237)|HEAP_ALLOCATE|[20]|Bytes:18
16:52:28.0 (1598310)|HEAP_ALLOCATE|[20]|Bytes:1
16:52:28.0 (1614621)|HEAP_ALLOCATE|[20]|Bytes:19
16:52:28.0 (1638152)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:52:28.0 (1648013)|STATEMENT_EXECUTE|[21]
16:52:28.0 (1660373)|HEAP_ALLOCATE|[21]|Bytes:4
16:52:28.0 (1703195)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x101007a7
16:52:28.0 (1739937)|HEAP_ALLOCATE|[22]|Bytes:5
16:52:28.0 (1779969)|HEAP_ALLOCATE|[22]|Bytes:20
16:52:28.0 (1790160)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:52:28.0 (1890765)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-03-23T09:49:06.000Z","Account":{"Id":"0017F00001biqRrQAI","RMD_Sync_with_SAP__c":true},"Id":"801e200000NG4VUAA1","AccountId":"0017F00001biqRrQAI"}|0x4400dc46
16:52:28.0 (1898205)|STATEMENT_EXECUTE|[22]
16:52:28.0 (1900445)|STATEMENT_EXECUTE|[23]
16:52:28.0 (1925767)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:52:28.0 (1942587)|HEAP_ALLOCATE|[22]|Bytes:5
16:52:28.0 (1957468)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:52:28.0 (1962238)|STATEMENT_EXECUTE|[26]
16:52:28.0 (1965188)|HEAP_ALLOCATE|[26]|Bytes:13
16:52:28.0 (1988100)|HEAP_ALLOCATE|[26]|Bytes:1
16:52:28.0 (2000290)|HEAP_ALLOCATE|[26]|Bytes:14
16:52:28.0 (2011001)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:52:28.0 (2018681)|STATEMENT_EXECUTE|[27]
16:52:28.0 (2033012)|HEAP_ALLOCATE|[27]|Bytes:20
16:52:28.0 (2043142)|HEAP_ALLOCATE|[27]|Bytes:33
16:52:28.0 (2052543)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000NG4VUAA1}
16:52:28.0 (2070924)|STATEMENT_EXECUTE|[28]
16:52:28.0 (2073434)|STATEMENT_EXECUTE|[29]
16:52:28.0 (2083934)|HEAP_ALLOCATE|[29]|Bytes:122
16:52:28.0 (2088495)|HEAP_ALLOCATE|[29]|Bytes:24
16:52:28.0 (2091795)|HEAP_ALLOCATE|[29]|Bytes:187
16:52:28.0 (2100095)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:52:28.0 (2103935)|STATEMENT_EXECUTE|[1]
16:52:28.0 (2107136)|STATEMENT_EXECUTE|[1]
16:52:28.0 (2112316)|HEAP_ALLOCATE|[29]|Bytes:5
16:52:28.0 (2116446)|STATEMENT_EXECUTE|[998]
16:52:28.0 (2118816)|STATEMENT_EXECUTE|[1015]
16:52:28.0 (2121046)|STATEMENT_EXECUTE|[1036]
16:52:28.0 (2129037)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:52:28.0 (2136667)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:52:28.0 (2142657)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:52:28.0 (2153378)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000NG4VUAA1"]|0x483bc7be
16:52:28.0 (2161648)|HEAP_ALLOCATE|[59]|Bytes:5
16:52:28.0 (2166509)|STATEMENT_EXECUTE|[57]
16:52:28.0 (2168759)|STATEMENT_EXECUTE|[59]
16:52:28.0 (2172349)|HEAP_ALLOCATE|[59]|Bytes:27
16:52:28.0 (2201780)|HEAP_ALLOCATE|[59]|Bytes:96
16:52:28.0 (2207731)|HEAP_ALLOCATE|[59]|Bytes:69
16:52:28.0 (2263043)|HEAP_ALLOCATE|[59]|Bytes:33
16:52:28.0 (2271784)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:52:28.0 (2275454)|STATEMENT_EXECUTE|[1]
16:52:28.0 (2280944)|SYSTEM_METHOD_EXIT|[1]|Type
16:52:28.0 (2286155)|HEAP_ALLOCATE|[59]|Bytes:8
16:52:28.0 (2298125)|HEAP_ALLOCATE|[59]|Bytes:8
16:52:28.0 (2302265)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:52:28.0 (2318456)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5247b1ee
16:52:28.0 (2322706)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:52:28.0 (2371949)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x160fc26b
16:52:28.0 (3876935)|HEAP_ALLOCATE|[59]|Bytes:8
16:52:28.0 (3892665)|HEAP_ALLOCATE|[59]|Bytes:24
16:52:28.0 (3900426)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:52:28.0 (3903916)|STATEMENT_EXECUTE|[1]
16:52:28.0 (3909366)|SYSTEM_METHOD_EXIT|[1]|JSON
16:52:28.0 (3917387)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:52:28.0 (4209801)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:52:28.0 (4219322)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:52:28.0 (4246453)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x6778699
16:52:28.0 (4251914)|HEAP_ALLOCATE|[60]|Bytes:9
16:52:28.0 (4274575)|STATEMENT_EXECUTE|[60]
16:52:28.0 (4277135)|STATEMENT_EXECUTE|[67]
16:52:28.0 (4279185)|STATEMENT_EXECUTE|[67]
16:52:28.0 (4281275)|STATEMENT_EXECUTE|[68]
16:52:28.0 (4321417)|HEAP_ALLOCATE|[68]|Bytes:4
16:52:28.0 (4355449)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:52:28.0 (4368259)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x4c3fa2ea
16:52:28.0 (4372470)|STATEMENT_EXECUTE|[70]
16:52:28.0 (4382870)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:52:28.0 (4387780)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:52:28.0 (4392351)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
