60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:35:50.0 (185764)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:35:50.0 (264024)|EXECUTION_STARTED
16:35:50.0 (282126)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:35:50.0 (1075223)|HEAP_ALLOCATE|[95]|Bytes:3
16:35:50.0 (1180254)|HEAP_ALLOCATE|[100]|Bytes:152
16:35:50.0 (1201395)|HEAP_ALLOCATE|[417]|Bytes:408
16:35:50.0 (1218405)|HEAP_ALLOCATE|[430]|Bytes:408
16:35:50.0 (1252706)|HEAP_ALLOCATE|[317]|Bytes:6
16:35:50.0 (1285267)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:35:50.0 (1292056)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:35:50.0 (1296507)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:35:50.0 (1311617)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:35:50.0 (1318868)|STATEMENT_EXECUTE|[1]
16:35:50.0 (1326607)|STATEMENT_EXECUTE|[1]
16:35:50.0 (1363439)|HEAP_ALLOCATE|[68]|Bytes:5
16:35:50.0 (1394749)|HEAP_ALLOCATE|[74]|Bytes:5
16:35:50.0 (1405990)|HEAP_ALLOCATE|[82]|Bytes:7
16:35:50.0 (1418899)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:35:50.0 (1435979)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:35:50.0 (1444351)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:35:50.0 (1456460)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:35:50.0 (1465041)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:35:50.0 (1470420)|STATEMENT_EXECUTE|[15]
16:35:50.0 (1478481)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:35:50.0 (1483700)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:35:50.0 (1525752)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:35:50.0 (1533931)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:35:50.0 (1598293)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x3a270b2b"}|0x54218fdc
16:35:50.0 (1605754)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:35:50.0 (1766586)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x60a6fdb0
16:35:50.0 (1774928)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:35:50.0 (2048272)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001mQPpOQAW","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001mQPpOQAW","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006tBKNAA2","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006tBKNAA2"},"CreatedDate":"2025-10-11T10:34:27.000Z","Id":"801e2000008vhbWAAQ","RMD_ECC_Order_ID__c":"6691253732"}]|0x4d9e75e5
16:35:50.0 (2081033)|HEAP_ALLOCATE|[17]|Bytes:5
16:35:50.0 (2088553)|STATEMENT_EXECUTE|[16]
16:35:50.0 (2092004)|STATEMENT_EXECUTE|[17]
16:35:50.0 (2096574)|HEAP_ALLOCATE|[17]|Bytes:18
16:35:50.0 (2161625)|HEAP_ALLOCATE|[17]|Bytes:1
16:35:50.0 (2182355)|HEAP_ALLOCATE|[17]|Bytes:19
16:35:50.0 (2210577)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:35:50.0 (2222177)|STATEMENT_EXECUTE|[18]
16:35:50.0 (2240667)|HEAP_ALLOCATE|[18]|Bytes:4
