60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:35:43.0 (189904)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:35:43.0 (273596)|EXECUTION_STARTED
16:35:43.0 (291926)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:35:43.0 (1110774)|HEAP_ALLOCATE|[95]|Bytes:3
16:35:43.0 (1194906)|HEAP_ALLOCATE|[100]|Bytes:152
16:35:43.0 (1212416)|HEAP_ALLOCATE|[417]|Bytes:408
16:35:43.0 (1227066)|HEAP_ALLOCATE|[430]|Bytes:408
16:35:43.0 (1251237)|HEAP_ALLOCATE|[317]|Bytes:6
16:35:43.0 (1275867)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:35:43.0 (1281048)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:35:43.0 (1284298)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:35:43.0 (1295688)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:35:43.0 (1302008)|STATEMENT_EXECUTE|[1]
16:35:43.0 (1308948)|STATEMENT_EXECUTE|[1]
16:35:43.0 (1340779)|HEAP_ALLOCATE|[68]|Bytes:5
16:35:43.0 (1365529)|HEAP_ALLOCATE|[74]|Bytes:5
16:35:43.0 (1374690)|HEAP_ALLOCATE|[82]|Bytes:7
16:35:43.0 (1385950)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:35:43.0 (1408380)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:35:43.0 (1413970)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:35:43.0 (1424201)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:35:43.0 (1430101)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:35:43.0 (1433471)|STATEMENT_EXECUTE|[15]
16:35:43.0 (1440241)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:35:43.0 (1444111)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:35:43.0 (1472672)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:35:43.0 (1478862)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:35:43.0 (1541733)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2f12a578"}|0x54218fdc
16:35:43.0 (1547523)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:35:43.0 (1677306)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x60a6fdb0
16:35:43.0 (1683356)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:35:43.0 (2001913)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"0012t000009k6sDAAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000009k6sDAAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006tFnmAAE","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006tFnmAAE"},"CreatedDate":"2025-10-11T10:39:12.000Z","Id":"801e2000008vRwaAAE","RMD_ECC_Order_ID__c":"6691253790"}]|0x46eea4e7
16:35:43.0 (2021053)|HEAP_ALLOCATE|[17]|Bytes:5
16:35:43.0 (2027783)|STATEMENT_EXECUTE|[16]
16:35:43.0 (2030394)|STATEMENT_EXECUTE|[17]
16:35:43.0 (2033844)|HEAP_ALLOCATE|[17]|Bytes:18
16:35:43.0 (2086195)|HEAP_ALLOCATE|[17]|Bytes:1
16:35:43.0 (2102515)|HEAP_ALLOCATE|[17]|Bytes:19
16:35:43.0 (2125036)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:35:43.0 (2133966)|STATEMENT_EXECUTE|[18]
16:35:43.0 (2147656)|HEAP_ALLOCATE|[18]|Bytes:4
16:35:43.0 (2192287)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x54218fdc
