44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:36:17.0 (117791)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:36:17.0 (154723)|EXECUTION_STARTED
16:36:17.0 (168112)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:36:17.0 (1517917)|HEAP_ALLOCATE|[95]|Bytes:3
16:36:17.0 (1598958)|HEAP_ALLOCATE|[100]|Bytes:152
16:36:17.0 (1628619)|HEAP_ALLOCATE|[417]|Bytes:408
16:36:17.0 (1645659)|HEAP_ALLOCATE|[430]|Bytes:408
16:36:17.0 (1671409)|HEAP_ALLOCATE|[317]|Bytes:6
16:36:17.0 (1695760)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:36:17.0 (1701100)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:36:17.0 (1704390)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:36:17.0 (1714180)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:36:17.0 (1720900)|STATEMENT_EXECUTE|[1]
16:36:17.0 (1727260)|STATEMENT_EXECUTE|[1]
16:36:17.0 (1758771)|HEAP_ALLOCATE|[68]|Bytes:5
16:36:17.0 (1784441)|HEAP_ALLOCATE|[74]|Bytes:5
16:36:17.0 (1793991)|HEAP_ALLOCATE|[82]|Bytes:7
16:36:17.0 (1804512)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:17.0 (1817282)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:36:17.0 (1823632)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:17.0 (1833162)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:36:17.0 (1838882)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:36:17.0 (1841912)|STATEMENT_EXECUTE|[15]
16:36:17.0 (1848322)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:36:17.0 (1852222)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:36:17.0 (1881083)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:17.0 (1887363)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:36:17.0 (1943024)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x644be427"}|0x4ba5a860
16:36:17.0 (1948454)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:36:17.0 (2073496)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x4bd4abad
16:36:17.0 (2079626)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:36:17.0 (2272980)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T09:42:19.000Z","Account":{"Id":"001e200000PUnkuAAD","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVWZtAAP","AccountId":"001e200000PUnkuAAD"}]|0x21cbdf20
16:36:17.0 (2289270)|HEAP_ALLOCATE|[20]|Bytes:5
16:36:17.0 (2294361)|STATEMENT_EXECUTE|[19]
16:36:17.0 (2296721)|STATEMENT_EXECUTE|[20]
16:36:17.0 (2300740)|HEAP_ALLOCATE|[20]|Bytes:18
16:36:17.0 (2353901)|HEAP_ALLOCATE|[20]|Bytes:1
16:36:17.0 (2370642)|HEAP_ALLOCATE|[20]|Bytes:19
16:36:17.0 (2396172)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:36:17.0 (2405222)|STATEMENT_EXECUTE|[21]
16:36:17.0 (2415712)|HEAP_ALLOCATE|[21]|Bytes:4
16:36:17.0 (2454143)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4ba5a860
16:36:17.0 (2489334)|HEAP_ALLOCATE|[22]|Bytes:5
16:36:17.0 (2577935)|HEAP_ALLOCATE|[22]|Bytes:20
16:36:17.0 (2592166)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:36:17.0 (2660297)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T09:42:19.000Z","Account":{"Id":"001e200000PUnkuAAD","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVWZtAAP","AccountId":"001e200000PUnkuAAD"}|0x2ff13a6d
16:36:17.0 (2668437)|STATEMENT_EXECUTE|[22]
16:36:17.0 (2670768)|STATEMENT_EXECUTE|[23]
16:36:17.0 (2694597)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:36:17.0 (2709637)|HEAP_ALLOCATE|[22]|Bytes:5
16:36:17.0 (2723908)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:36:17.0 (2729068)|STATEMENT_EXECUTE|[26]
16:36:17.0 (2732849)|HEAP_ALLOCATE|[26]|Bytes:13
16:36:17.0 (2755278)|HEAP_ALLOCATE|[26]|Bytes:1
16:36:17.0 (2767178)|HEAP_ALLOCATE|[26]|Bytes:14
16:36:17.0 (2777159)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:36:17.0 (2786010)|STATEMENT_EXECUTE|[27]
16:36:17.0 (2801220)|HEAP_ALLOCATE|[27]|Bytes:20
16:36:17.0 (2813399)|HEAP_ALLOCATE|[27]|Bytes:33
16:36:17.0 (2821999)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVWZtAAP}
16:36:17.0 (2840070)|STATEMENT_EXECUTE|[28]
16:36:17.0 (2842211)|STATEMENT_EXECUTE|[29]
16:36:17.0 (2851421)|HEAP_ALLOCATE|[29]|Bytes:122
16:36:17.0 (2856360)|HEAP_ALLOCATE|[29]|Bytes:24
16:36:17.0 (2859741)|HEAP_ALLOCATE|[29]|Bytes:187
16:36:17.0 (2866141)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
