44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:36:46.0 (285635)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:36:46.0 (351686)|EXECUTION_STARTED
16:36:46.0 (368076)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:36:46.0 (1847303)|HEAP_ALLOCATE|[95]|Bytes:3
16:36:46.0 (1963385)|HEAP_ALLOCATE|[100]|Bytes:152
16:36:46.0 (2042695)|HEAP_ALLOCATE|[417]|Bytes:408
16:36:46.0 (2061546)|HEAP_ALLOCATE|[430]|Bytes:408
16:36:46.0 (2092687)|HEAP_ALLOCATE|[317]|Bytes:6
16:36:46.0 (2124008)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:36:46.0 (2129657)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:36:46.0 (2132968)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:36:46.0 (2142977)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:36:46.0 (2149558)|STATEMENT_EXECUTE|[1]
16:36:46.0 (2155017)|STATEMENT_EXECUTE|[1]
16:36:46.0 (2186639)|HEAP_ALLOCATE|[68]|Bytes:5
16:36:46.0 (2213689)|HEAP_ALLOCATE|[74]|Bytes:5
16:36:46.0 (2249050)|HEAP_ALLOCATE|[82]|Bytes:7
16:36:46.0 (2261830)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:46.0 (2275910)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:36:46.0 (2282130)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:46.0 (2293579)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:36:46.0 (2299791)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:36:46.0 (2303220)|STATEMENT_EXECUTE|[15]
16:36:46.0 (2415773)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:36:46.0 (2436582)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:36:46.0 (2507524)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:46.0 (2517534)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:36:46.0 (2590776)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x274e2bcc"}|0x4ba5a860
16:36:46.0 (2596116)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:36:46.0 (2774799)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x4bd4abad
16:36:46.0 (2781119)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:36:46.0 (3153825)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T11:01:33.000Z","Account":{"Id":"001e200000PVm5HAAT","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVp6MAAT","AccountId":"001e200000PVm5HAAT"}]|0x394dee41
16:36:46.0 (3188596)|HEAP_ALLOCATE|[20]|Bytes:5
16:36:46.0 (3195636)|STATEMENT_EXECUTE|[19]
16:36:46.0 (3198106)|STATEMENT_EXECUTE|[20]
16:36:46.0 (3203376)|HEAP_ALLOCATE|[20]|Bytes:18
16:36:46.0 (3268787)|HEAP_ALLOCATE|[20]|Bytes:1
16:36:46.0 (3287038)|HEAP_ALLOCATE|[20]|Bytes:19
16:36:46.0 (3315558)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:36:46.0 (3325518)|STATEMENT_EXECUTE|[21]
16:36:46.0 (3340729)|HEAP_ALLOCATE|[21]|Bytes:4
16:36:46.0 (3391949)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4ba5a860
16:36:46.0 (3434070)|HEAP_ALLOCATE|[22]|Bytes:5
16:36:46.0 (3477181)|HEAP_ALLOCATE|[22]|Bytes:20
16:36:46.0 (3489711)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:36:46.0 (3581003)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T11:01:33.000Z","Account":{"Id":"001e200000PVm5HAAT","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVp6MAAT","AccountId":"001e200000PVm5HAAT"}|0x287ad777
16:36:46.0 (3588613)|STATEMENT_EXECUTE|[22]
16:36:46.0 (3591053)|STATEMENT_EXECUTE|[23]
16:36:46.0 (3617693)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:36:46.0 (3636854)|HEAP_ALLOCATE|[22]|Bytes:5
16:36:46.0 (3653124)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:36:46.0 (3658854)|STATEMENT_EXECUTE|[26]
16:36:46.0 (3662004)|HEAP_ALLOCATE|[26]|Bytes:13
16:36:46.0 (3688395)|HEAP_ALLOCATE|[26]|Bytes:1
