60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:36:49.0 (204034)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:36:49.0 (280635)|EXECUTION_STARTED
16:36:49.0 (295196)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:36:49.0 (1194316)|HEAP_ALLOCATE|[95]|Bytes:3
16:36:49.0 (1276828)|HEAP_ALLOCATE|[100]|Bytes:152
16:36:49.0 (1295977)|HEAP_ALLOCATE|[417]|Bytes:408
16:36:49.0 (1309238)|HEAP_ALLOCATE|[430]|Bytes:408
16:36:49.0 (1333018)|HEAP_ALLOCATE|[317]|Bytes:6
16:36:49.0 (1356069)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:36:49.0 (1361360)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:36:49.0 (1364579)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:36:49.0 (1378070)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:36:49.0 (1384110)|STATEMENT_EXECUTE|[1]
16:36:49.0 (1390440)|STATEMENT_EXECUTE|[1]
16:36:49.0 (1419420)|HEAP_ALLOCATE|[68]|Bytes:5
16:36:49.0 (1445371)|HEAP_ALLOCATE|[74]|Bytes:5
16:36:49.0 (1454321)|HEAP_ALLOCATE|[82]|Bytes:7
16:36:49.0 (1465301)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:49.0 (1511673)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:36:49.0 (1519453)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:49.0 (1555934)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:36:49.0 (1610365)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:36:49.0 (1616555)|STATEMENT_EXECUTE|[15]
16:36:49.0 (1625195)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:36:49.0 (1629475)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:36:49.0 (1664856)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:49.0 (1674286)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:36:49.0 (1742608)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x59fe0786"}|0x54218fdc
16:36:49.0 (1748698)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
