60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:36:56.0 (171844)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:36:56.0 (238905)|EXECUTION_STARTED
16:36:56.0 (251746)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:36:56.0 (1120484)|HEAP_ALLOCATE|[95]|Bytes:3
16:36:56.0 (1212426)|HEAP_ALLOCATE|[100]|Bytes:152
16:36:56.0 (1231196)|HEAP_ALLOCATE|[417]|Bytes:408
16:36:56.0 (1245537)|HEAP_ALLOCATE|[430]|Bytes:408
16:36:56.0 (1272347)|HEAP_ALLOCATE|[317]|Bytes:6
16:36:56.0 (1299578)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:36:56.0 (1305158)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:36:56.0 (1308478)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:36:56.0 (1319938)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:36:56.0 (1326658)|STATEMENT_EXECUTE|[1]
16:36:56.0 (1332459)|STATEMENT_EXECUTE|[1]
16:36:56.0 (1365539)|HEAP_ALLOCATE|[68]|Bytes:5
16:36:56.0 (1390430)|HEAP_ALLOCATE|[74]|Bytes:5
16:36:56.0 (1398960)|HEAP_ALLOCATE|[82]|Bytes:7
16:36:56.0 (1410120)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:56.0 (1426151)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:36:56.0 (1431481)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:56.0 (1441821)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:36:56.0 (1448341)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:36:56.0 (1451651)|STATEMENT_EXECUTE|[15]
16:36:56.0 (1457781)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:36:56.0 (1461431)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:36:56.0 (1488752)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:56.0 (1496672)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:36:56.0 (1560423)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0xae0cb19"}|0x54218fdc
16:36:56.0 (1581714)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:36:56.0 (1814009)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x60a6fdb0
16:36:56.0 (1820619)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
