60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:37:11.0 (214105)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:37:11.0 (294106)|EXECUTION_STARTED
16:37:11.0 (307977)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:37:11.0 (1061323)|HEAP_ALLOCATE|[95]|Bytes:3
16:37:11.0 (1164865)|HEAP_ALLOCATE|[100]|Bytes:152
16:37:11.0 (1184375)|HEAP_ALLOCATE|[417]|Bytes:408
16:37:11.0 (1199055)|HEAP_ALLOCATE|[430]|Bytes:408
16:37:11.0 (1228456)|HEAP_ALLOCATE|[317]|Bytes:6
16:37:11.0 (1254297)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:37:11.0 (1260427)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:37:11.0 (1263607)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:37:11.0 (1275447)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:37:11.0 (1282857)|STATEMENT_EXECUTE|[1]
16:37:11.0 (1288847)|STATEMENT_EXECUTE|[1]
16:37:11.0 (1319568)|HEAP_ALLOCATE|[68]|Bytes:5
16:37:11.0 (1344809)|HEAP_ALLOCATE|[74]|Bytes:5
16:37:11.0 (1353559)|HEAP_ALLOCATE|[82]|Bytes:7
16:37:11.0 (1365929)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:37:11.0 (1379319)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:37:11.0 (1384829)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:37:11.0 (1395060)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:37:11.0 (1401550)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:37:11.0 (1405080)|STATEMENT_EXECUTE|[15]
16:37:11.0 (1411670)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:37:11.0 (1415700)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:37:11.0 (1450011)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:37:11.0 (1456161)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:37:11.0 (1524052)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0xd199ccb"}|0x54218fdc
16:37:11.0 (1529902)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:37:11.0 (1665785)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x60a6fdb0
16:37:11.0 (1672035)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:37:11.0 (2106325)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"001Ie000002NgDiIAK","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002NgDiIAK","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074hVQAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074hVQAAY"},"CreatedDate":"2025-10-14T06:26:48.000Z","Id":"801e20000097mHJAAY","RMD_ECC_Order_ID__c":"6691269387"}]|0x18cac984
16:37:11.0 (2133125)|HEAP_ALLOCATE|[17]|Bytes:5
16:37:11.0 (2139205)|STATEMENT_EXECUTE|[16]
16:37:11.0 (2141705)|STATEMENT_EXECUTE|[17]
16:37:11.0 (2145176)|HEAP_ALLOCATE|[17]|Bytes:18
16:37:11.0 (2202177)|HEAP_ALLOCATE|[17]|Bytes:1
16:37:11.0 (2218937)|HEAP_ALLOCATE|[17]|Bytes:19
16:37:11.0 (2245368)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:37:11.0 (2253538)|STATEMENT_EXECUTE|[18]
16:37:11.0 (2269248)|HEAP_ALLOCATE|[18]|Bytes:4
16:37:11.0 (2320559)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x54218fdc
16:37:11.0 (2360590)|HEAP_ALLOCATE|[19]|Bytes:5
16:37:11.0 (2395851)|HEAP_ALLOCATE|[19]|Bytes:40
16:37:11.0 (2407431)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:37:11.0 (2587285)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"001Ie000002NgDiIAK","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002NgDiIAK","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074hVQAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074hVQAAY"},"CreatedDate":"2025-10-14T06:26:48.000Z","Id":"801e20000097mHJAAY","RMD_ECC_Order_ID__c":"6691269387"}|0x329d1b6e
16:37:11.0 (2599815)|STATEMENT_EXECUTE|[19]
16:37:11.0 (2602005)|STATEMENT_EXECUTE|[20]
16:37:11.0 (2631076)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:37:11.0 (2650736)|HEAP_ALLOCATE|[19]|Bytes:5
16:37:11.0 (2664957)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:37:11.0 (2669797)|STATEMENT_EXECUTE|[23]
16:37:11.0 (2672717)|HEAP_ALLOCATE|[23]|Bytes:13
16:37:11.0 (2698237)|HEAP_ALLOCATE|[23]|Bytes:1
16:37:11.0 (2710828)|HEAP_ALLOCATE|[23]|Bytes:14
16:37:11.0 (2723208)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:37:11.0 (2731538)|STATEMENT_EXECUTE|[24]
16:37:11.0 (2745988)|HEAP_ALLOCATE|[24]|Bytes:20
16:37:11.0 (2757279)|HEAP_ALLOCATE|[24]|Bytes:33
16:37:11.0 (2765729)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000097mHJAAY}
16:37:11.0 (2783229)|STATEMENT_EXECUTE|[25]
16:37:11.0 (2785329)|STATEMENT_EXECUTE|[26]
16:37:11.0 (2799139)|HEAP_ALLOCATE|[26]|Bytes:122
16:37:11.0 (2804130)|HEAP_ALLOCATE|[26]|Bytes:24
16:37:11.0 (2807450)|HEAP_ALLOCATE|[26]|Bytes:187
16:37:11.0 (2817920)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:37:11.0 (2823320)|STATEMENT_EXECUTE|[1]
16:37:11.0 (2826870)|STATEMENT_EXECUTE|[1]
16:37:11.0 (2833090)|HEAP_ALLOCATE|[26]|Bytes:5
16:37:11.0 (2837390)|STATEMENT_EXECUTE|[998]
16:37:11.0 (2839790)|STATEMENT_EXECUTE|[1015]
16:37:11.0 (2842000)|STATEMENT_EXECUTE|[1036]
16:37:11.0 (2890181)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:37:11.0 (2900262)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:37:11.0 (2906232)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:37:11.0 (2921712)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000097mHJAAY"]|0x13fe5484
16:37:11.0 (2932092)|HEAP_ALLOCATE|[59]|Bytes:5
16:37:11.0 (2937262)|STATEMENT_EXECUTE|[57]
16:37:11.0 (2939772)|STATEMENT_EXECUTE|[59]
16:37:11.0 (2944062)|HEAP_ALLOCATE|[59]|Bytes:27
16:37:11.0 (2980123)|HEAP_ALLOCATE|[59]|Bytes:96
16:37:11.0 (2986753)|HEAP_ALLOCATE|[59]|Bytes:69
16:37:11.0 (3049065)|HEAP_ALLOCATE|[59]|Bytes:33
16:37:11.0 (3059485)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:37:11.0 (3063035)|STATEMENT_EXECUTE|[1]
16:37:11.0 (3069945)|SYSTEM_METHOD_EXIT|[1]|Type
16:37:11.0 (3076555)|HEAP_ALLOCATE|[59]|Bytes:8
16:37:11.0 (3091106)|HEAP_ALLOCATE|[59]|Bytes:8
16:37:11.0 (3095346)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:37:11.0 (3113966)|VARIABLE_ASSIGNMENT|[4]|this|{}|0xe543cf9
16:37:11.0 (3119536)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:37:11.0 (3188168)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x41b704b3
16:37:11.0 (4746231)|HEAP_ALLOCATE|[59]|Bytes:8
16:37:11.0 (4768071)|HEAP_ALLOCATE|[59]|Bytes:24
16:37:11.0 (4778432)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:37:11.0 (4784032)|STATEMENT_EXECUTE|[1]
16:37:11.0 (4789912)|SYSTEM_METHOD_EXIT|[1]|JSON
16:37:11.0 (4799422)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:37:11.0 (5169990)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:37:11.0 (5181130)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:37:11.0 (5212771)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x35f3245f
16:37:11.0 (5219191)|HEAP_ALLOCATE|[60]|Bytes:9
16:37:11.0 (5244912)|STATEMENT_EXECUTE|[60]
16:37:11.0 (5247812)|STATEMENT_EXECUTE|[67]
16:37:11.0 (5249852)|STATEMENT_EXECUTE|[67]
16:37:11.0 (5251912)|STATEMENT_EXECUTE|[68]
16:37:11.0 (5284722)|HEAP_ALLOCATE|[68]|Bytes:4
