60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:51:49.0 (206085)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:51:49.0 (290077)|EXECUTION_STARTED
16:51:49.0 (307188)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:51:49.0 (832980)|HEAP_ALLOCATE|[95]|Bytes:3
16:51:49.0 (923422)|HEAP_ALLOCATE|[100]|Bytes:152
16:51:49.0 (945313)|HEAP_ALLOCATE|[417]|Bytes:408
16:51:49.0 (960983)|HEAP_ALLOCATE|[430]|Bytes:408
16:51:49.0 (988034)|HEAP_ALLOCATE|[317]|Bytes:6
16:51:49.0 (1015674)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:51:49.0 (1022135)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:51:49.0 (1025425)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:51:49.0 (1034975)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:51:49.0 (1041595)|STATEMENT_EXECUTE|[1]
16:51:49.0 (1047685)|STATEMENT_EXECUTE|[1]
16:51:49.0 (1079216)|HEAP_ALLOCATE|[68]|Bytes:5
16:51:49.0 (1105037)|HEAP_ALLOCATE|[74]|Bytes:5
16:51:49.0 (1114507)|HEAP_ALLOCATE|[82]|Bytes:7
16:51:49.0 (1124867)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:51:49.0 (1137887)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:51:49.0 (1144287)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:49.0 (1152568)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:51:49.0 (1158858)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:51:49.0 (1162458)|STATEMENT_EXECUTE|[15]
16:51:49.0 (1168678)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:51:49.0 (1172308)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:51:49.0 (1210049)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:49.0 (1216189)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:51:49.0 (1284471)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x59cb6d97"}|0x1f4af7e0
16:51:49.0 (1289761)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:51:49.0 (1441254)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x794b66d4
16:51:49.0 (1448185)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:51:49.0 (1748972)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b9BiRQAU","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b9BiRQAU","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007ZR4bAAG","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007ZR4bAAG"},"CreatedDate":"2025-10-21T08:15:00.000Z","Id":"801e2000009edK4AAI","RMD_ECC_Order_ID__c":"6691293169"}]|0x758f96e8
16:51:49.0 (1771912)|HEAP_ALLOCATE|[17]|Bytes:5
16:51:49.0 (1777682)|STATEMENT_EXECUTE|[16]
16:51:49.0 (1780103)|STATEMENT_EXECUTE|[17]
16:51:49.0 (1783713)|HEAP_ALLOCATE|[17]|Bytes:18
16:51:49.0 (1838944)|HEAP_ALLOCATE|[17]|Bytes:1
16:51:49.0 (1856204)|HEAP_ALLOCATE|[17]|Bytes:19
16:51:49.0 (1880955)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:51:49.0 (1890595)|STATEMENT_EXECUTE|[18]
16:51:49.0 (1904935)|HEAP_ALLOCATE|[18]|Bytes:4
16:51:49.0 (1950847)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x1f4af7e0
16:51:49.0 (1988577)|HEAP_ALLOCATE|[19]|Bytes:5
