60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:36:17.0 (224176)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:36:17.0 (257046)|EXECUTION_STARTED
17:36:17.0 (268916)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:36:17.0 (1457736)|HEAP_ALLOCATE|[95]|Bytes:3
17:36:17.0 (1538557)|HEAP_ALLOCATE|[100]|Bytes:152
17:36:17.0 (1557187)|HEAP_ALLOCATE|[417]|Bytes:408
17:36:17.0 (1573518)|HEAP_ALLOCATE|[430]|Bytes:408
17:36:17.0 (1600588)|HEAP_ALLOCATE|[317]|Bytes:6
17:36:17.0 (1625239)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:36:17.0 (1630700)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:36:17.0 (1633959)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:36:17.0 (1643759)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:36:17.0 (1649131)|STATEMENT_EXECUTE|[1]
17:36:17.0 (1654590)|STATEMENT_EXECUTE|[1]
17:36:17.0 (1679880)|HEAP_ALLOCATE|[68]|Bytes:5
17:36:17.0 (1703641)|HEAP_ALLOCATE|[74]|Bytes:5
17:36:17.0 (1713191)|HEAP_ALLOCATE|[82]|Bytes:7
17:36:17.0 (1723902)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:36:17.0 (1737002)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:36:17.0 (1741802)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:36:17.0 (1748903)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:36:17.0 (1755072)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:36:17.0 (1758362)|STATEMENT_EXECUTE|[15]
17:36:17.0 (1764992)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:36:17.0 (1768543)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:36:17.0 (1801603)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:36:17.0 (1808243)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:36:17.0 (1881216)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6187d422"}|0xbef81e1
17:36:17.0 (1889765)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:36:17.0 (2047919)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x1c3f0620
17:36:17.0 (2054940)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:36:17.0 (2529621)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie00000955S6IAI","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955S6IAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCaiIAE","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCaiIAE"},"CreatedDate":"2025-05-27T04:55:04.000Z","Coupon_Type__c":"P","Id":"801Ie000001JxV5IAK","RMD_ECC_Order_ID__c":"Akhil1873"}]|0x3983aa4c
17:36:17.0 (2555472)|HEAP_ALLOCATE|[17]|Bytes:5
17:36:17.0 (2562222)|STATEMENT_EXECUTE|[16]
17:36:17.0 (2565473)|STATEMENT_EXECUTE|[17]
17:36:17.0 (2569582)|HEAP_ALLOCATE|[17]|Bytes:18
17:36:17.0 (2653944)|HEAP_ALLOCATE|[17]|Bytes:1
17:36:17.0 (2679475)|HEAP_ALLOCATE|[17]|Bytes:19
17:36:17.0 (2711735)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:36:17.0 (2726656)|STATEMENT_EXECUTE|[18]
17:36:17.0 (2744837)|HEAP_ALLOCATE|[18]|Bytes:4
17:36:17.0 (2803038)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0xbef81e1
17:36:17.0 (2847978)|HEAP_ALLOCATE|[19]|Bytes:5
17:36:17.0 (2898780)|HEAP_ALLOCATE|[19]|Bytes:44
17:36:17.0 (2916380)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:36:17.0 (3052993)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie00000955S6IAI","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955S6IAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCaiIAE","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCaiIAE"},"CreatedDate":"2025-05-27T04:55:04.000Z","Coupon_Type__c":"P","Id":"801Ie000001JxV5IAK","RMD_ECC_Order_ID__c":"Akhil1873"}|0x2c9811f5
17:36:17.0 (3064765)|STATEMENT_EXECUTE|[19]
17:36:17.0 (3066994)|STATEMENT_EXECUTE|[20]
17:36:17.0 (3095535)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:36:17.0 (3114745)|HEAP_ALLOCATE|[19]|Bytes:5
17:36:17.0 (3128696)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:36:17.0 (3134096)|STATEMENT_EXECUTE|[23]
17:36:17.0 (3137376)|HEAP_ALLOCATE|[23]|Bytes:13
17:36:17.0 (3159807)|HEAP_ALLOCATE|[23]|Bytes:1
17:36:17.0 (3171266)|HEAP_ALLOCATE|[23]|Bytes:14
17:36:17.0 (3180836)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:36:17.0 (3188208)|STATEMENT_EXECUTE|[24]
17:36:17.0 (3205637)|HEAP_ALLOCATE|[24]|Bytes:20
17:36:17.0 (3216608)|HEAP_ALLOCATE|[24]|Bytes:33
17:36:17.0 (3224878)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001JxV5IAK}
17:36:17.0 (3242859)|STATEMENT_EXECUTE|[25]
17:36:17.0 (3245169)|STATEMENT_EXECUTE|[26]
17:36:17.0 (3256078)|HEAP_ALLOCATE|[26]|Bytes:122
17:36:17.0 (3260979)|HEAP_ALLOCATE|[26]|Bytes:24
17:36:17.0 (3264289)|HEAP_ALLOCATE|[26]|Bytes:187
17:36:17.0 (3271330)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:36:17.0 (3275919)|STATEMENT_EXECUTE|[1]
17:36:17.0 (3279279)|STATEMENT_EXECUTE|[1]
17:36:17.0 (3284229)|HEAP_ALLOCATE|[26]|Bytes:5
17:36:17.0 (3288330)|STATEMENT_EXECUTE|[998]
17:36:17.0 (3290749)|STATEMENT_EXECUTE|[1015]
17:36:17.0 (3292780)|STATEMENT_EXECUTE|[1036]
17:36:17.0 (3319131)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:36:17.0 (3327760)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:36:17.0 (3333000)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:36:17.0 (3344771)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001JxV5IAK"]|0x4f765ae3
17:36:17.0 (3354071)|HEAP_ALLOCATE|[59]|Bytes:5
17:36:17.0 (3359052)|STATEMENT_EXECUTE|[57]
17:36:17.0 (3361161)|STATEMENT_EXECUTE|[59]
17:36:17.0 (3364681)|HEAP_ALLOCATE|[59]|Bytes:27
17:36:17.0 (3394143)|HEAP_ALLOCATE|[59]|Bytes:96
17:36:17.0 (3400792)|HEAP_ALLOCATE|[59]|Bytes:69
17:36:17.0 (3456904)|HEAP_ALLOCATE|[59]|Bytes:33
17:36:17.0 (3465003)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:36:17.0 (3468494)|STATEMENT_EXECUTE|[1]
17:36:17.0 (3474095)|SYSTEM_METHOD_EXIT|[1]|Type
17:36:17.0 (3480324)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:17.0 (3494015)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:17.0 (3498394)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:36:17.0 (3516816)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1e50492
17:36:17.0 (3521965)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:36:17.0 (3578627)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6bba821a
17:36:17.0 (6345404)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:17.0 (6367153)|HEAP_ALLOCATE|[59]|Bytes:24
17:36:17.0 (6375753)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:36:17.0 (6380824)|STATEMENT_EXECUTE|[1]
17:36:17.0 (6388415)|SYSTEM_METHOD_EXIT|[1]|JSON
17:36:17.0 (6401344)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:36:17.0 (6813255)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:36:17.0 (6825874)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:36:17.0 (6861595)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x35aaa0f5
17:36:17.0 (6869005)|HEAP_ALLOCATE|[60]|Bytes:9
17:36:17.0 (6898436)|STATEMENT_EXECUTE|[60]
17:36:17.0 (6901436)|STATEMENT_EXECUTE|[67]
17:36:17.0 (6904027)|STATEMENT_EXECUTE|[67]
17:36:17.0 (6906566)|STATEMENT_EXECUTE|[68]
17:36:17.0 (6955068)|HEAP_ALLOCATE|[68]|Bytes:4
17:36:17.0 (6995749)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:36:17.0 (7012839)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x1cc2f346
17:36:17.0 (7019270)|STATEMENT_EXECUTE|[70]
17:36:17.0 (7053360)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
17:36:17.0 (7060101)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
17:36:17.0 (7065600)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
17:36:17.0 (7072781)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
17:36:17.0 (7079880)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
17:36:17.0 (7087201)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
17:36:17.0 (7097841)|HEAP_ALLOCATE|[70]|Bytes:150
17:36:17.0 (7106582)|HEAP_ALLOCATE|[70]|Bytes:51
17:36:17.0 (7113771)|HEAP_ALLOCATE|[70]|Bytes:13
17:36:17.0 (7128692)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
17:36:17.0 (7136452)|HEAP_ALLOCATE|[70]|Bytes:7
17:36:17.0 (7146783)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
17:36:17.0 (7190074)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
17:36:17.0 (7196304)|STATEMENT_EXECUTE|[6]
17:36:17.0 (7200933)|STATEMENT_EXECUTE|[6]
17:36:17.0 (8576217)|SYSTEM_MODE_ENTER|false
17:36:17.0 (8597647)|HEAP_ALLOCATE|[7]|Bytes:5
17:36:17.0 (8618117)|STATEMENT_EXECUTE|[7]
17:36:17.0 (8624918)|HEAP_ALLOCATE|[7]|Bytes:12
17:36:17.0 (8670300)|HEAP_ALLOCATE|[7]|Bytes:68
17:36:17.0 (8701630)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
17:36:17.0 (8707831)|STATEMENT_EXECUTE|[9]
17:36:17.0 (8714191)|HEAP_ALLOCATE|[9]|Bytes:5
17:36:17.0 (8726391)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
17:36:17.0 (8731770)|STATEMENT_EXECUTE|[12]
17:36:17.0 (8745970)|HEAP_ALLOCATE|[12]|Bytes:53
17:36:17.0 (8758062)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
17:36:17.0 (8763401)|STATEMENT_EXECUTE|[1]
17:36:17.0 (8767822)|STATEMENT_EXECUTE|[1]
