44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:41:47.0 (172214)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:41:47.0 (237156)|EXECUTION_STARTED
16:41:47.0 (249707)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:41:47.0 (1471475)|HEAP_ALLOCATE|[95]|Bytes:3
16:41:47.0 (1562939)|HEAP_ALLOCATE|[100]|Bytes:152
16:41:47.0 (1579838)|HEAP_ALLOCATE|[417]|Bytes:408
16:41:47.0 (1595198)|HEAP_ALLOCATE|[430]|Bytes:408
16:41:47.0 (1622140)|HEAP_ALLOCATE|[317]|Bytes:6
16:41:47.0 (1647190)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:41:47.0 (1652630)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:41:47.0 (1655930)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:41:47.0 (1667440)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:41:47.0 (1672461)|STATEMENT_EXECUTE|[1]
16:41:47.0 (1677600)|STATEMENT_EXECUTE|[1]
16:41:47.0 (1705651)|HEAP_ALLOCATE|[68]|Bytes:5
16:41:47.0 (1731463)|HEAP_ALLOCATE|[74]|Bytes:5
16:41:47.0 (1742042)|HEAP_ALLOCATE|[82]|Bytes:7
16:41:47.0 (1752372)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:41:47.0 (1765042)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:41:47.0 (1770923)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:41:47.0 (1779653)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:41:47.0 (1786313)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:41:47.0 (1789753)|STATEMENT_EXECUTE|[15]
16:41:47.0 (1796413)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
