60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:42:07.0 (207496)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:42:07.0 (244127)|EXECUTION_STARTED
16:42:07.0 (255639)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:42:07.0 (1441645)|HEAP_ALLOCATE|[95]|Bytes:3
16:42:07.0 (1565858)|HEAP_ALLOCATE|[100]|Bytes:152
16:42:07.0 (1586028)|HEAP_ALLOCATE|[417]|Bytes:408
16:42:07.0 (1599219)|HEAP_ALLOCATE|[430]|Bytes:408
16:42:07.0 (1624550)|HEAP_ALLOCATE|[317]|Bytes:6
16:42:07.0 (1652321)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:42:07.0 (1657831)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:42:07.0 (1661081)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:42:07.0 (1671312)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:42:07.0 (1678612)|STATEMENT_EXECUTE|[1]
16:42:07.0 (1685042)|STATEMENT_EXECUTE|[1]
16:42:07.0 (1717293)|HEAP_ALLOCATE|[68]|Bytes:5
16:42:07.0 (1823626)|HEAP_ALLOCATE|[74]|Bytes:5
16:42:07.0 (1907559)|HEAP_ALLOCATE|[82]|Bytes:7
16:42:07.0 (1944320)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:42:07.0 (1972311)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:42:07.0 (1983111)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:07.0 (2010722)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:42:07.0 (2024782)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:42:07.0 (2030802)|STATEMENT_EXECUTE|[15]
16:42:07.0 (2042403)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:42:07.0 (2047703)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:42:07.0 (2124485)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:07.0 (2136496)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:42:07.0 (2242629)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6ad70aef"}|0x121d8d58
16:42:07.0 (2250869)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:42:07.0 (2399894)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6bccb6ac
16:42:07.0 (2406854)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:42:07.0 (2728934)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b8SR6QAM","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8SR6QAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e200000759ppAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e200000759ppAAA"},"CreatedDate":"2025-10-14T06:09:53.000Z","Id":"801e20000098Ku1AAE","RMD_ECC_Order_ID__c":"6691268259"}]|0x7cfa5026
16:42:07.0 (2759044)|HEAP_ALLOCATE|[17]|Bytes:5
16:42:07.0 (2765535)|STATEMENT_EXECUTE|[16]
16:42:07.0 (2767745)|STATEMENT_EXECUTE|[17]
16:42:07.0 (2771895)|HEAP_ALLOCATE|[17]|Bytes:18
16:42:07.0 (2836387)|HEAP_ALLOCATE|[17]|Bytes:1
16:42:07.0 (2854107)|HEAP_ALLOCATE|[17]|Bytes:19
16:42:07.0 (2880248)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:42:07.0 (2889468)|STATEMENT_EXECUTE|[18]
16:42:07.0 (2907469)|HEAP_ALLOCATE|[18]|Bytes:4
16:42:07.0 (2963491)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x121d8d58
16:42:07.0 (3002283)|HEAP_ALLOCATE|[19]|Bytes:5
16:42:07.0 (3047383)|HEAP_ALLOCATE|[19]|Bytes:40
16:42:07.0 (3060074)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:42:07.0 (3241299)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001b8SR6QAM","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8SR6QAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e200000759ppAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e200000759ppAAA"},"CreatedDate":"2025-10-14T06:09:53.000Z","Id":"801e20000098Ku1AAE","RMD_ECC_Order_ID__c":"6691268259"}|0x7cb28c88
16:42:07.0 (3252439)|STATEMENT_EXECUTE|[19]
16:42:07.0 (3254789)|STATEMENT_EXECUTE|[20]
16:42:07.0 (3282630)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:42:07.0 (3301071)|HEAP_ALLOCATE|[19]|Bytes:5
16:42:07.0 (3316182)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:42:07.0 (3321373)|STATEMENT_EXECUTE|[23]
16:42:07.0 (3325383)|HEAP_ALLOCATE|[23]|Bytes:13
16:42:07.0 (3349632)|HEAP_ALLOCATE|[23]|Bytes:1
16:42:07.0 (3362483)|HEAP_ALLOCATE|[23]|Bytes:14
16:42:07.0 (3374803)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:42:07.0 (3382864)|STATEMENT_EXECUTE|[24]
16:42:07.0 (3397674)|HEAP_ALLOCATE|[24]|Bytes:20
16:42:07.0 (3408255)|HEAP_ALLOCATE|[24]|Bytes:33
16:42:07.0 (3416794)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000098Ku1AAE}
16:42:07.0 (3435805)|STATEMENT_EXECUTE|[25]
16:42:07.0 (3438005)|STATEMENT_EXECUTE|[26]
16:42:07.0 (3450226)|HEAP_ALLOCATE|[26]|Bytes:122
16:42:07.0 (3456326)|HEAP_ALLOCATE|[26]|Bytes:24
16:42:07.0 (3459657)|HEAP_ALLOCATE|[26]|Bytes:187
16:42:07.0 (3467446)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:42:07.0 (3472246)|STATEMENT_EXECUTE|[1]
16:42:07.0 (3476457)|STATEMENT_EXECUTE|[1]
16:42:07.0 (3482436)|HEAP_ALLOCATE|[26]|Bytes:5
16:42:07.0 (3486548)|STATEMENT_EXECUTE|[998]
16:42:07.0 (3488727)|STATEMENT_EXECUTE|[1015]
16:42:07.0 (3490837)|STATEMENT_EXECUTE|[1036]
16:42:07.0 (3499778)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:42:07.0 (3508447)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:42:07.0 (3514567)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
