44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:42:15.0 (164335)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:42:15.0 (234516)|EXECUTION_STARTED
16:42:15.0 (249546)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:42:15.0 (1537848)|HEAP_ALLOCATE|[95]|Bytes:3
16:42:15.0 (1648470)|HEAP_ALLOCATE|[100]|Bytes:152
16:42:15.0 (1670781)|HEAP_ALLOCATE|[417]|Bytes:408
16:42:15.0 (1687431)|HEAP_ALLOCATE|[430]|Bytes:408
16:42:15.0 (1722533)|HEAP_ALLOCATE|[317]|Bytes:6
16:42:15.0 (1751133)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:42:15.0 (1758143)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:42:15.0 (1761843)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:42:15.0 (1774463)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:42:15.0 (1780423)|STATEMENT_EXECUTE|[1]
16:42:15.0 (1786974)|STATEMENT_EXECUTE|[1]
16:42:15.0 (1824784)|HEAP_ALLOCATE|[68]|Bytes:5
16:42:15.0 (1851555)|HEAP_ALLOCATE|[74]|Bytes:5
16:42:15.0 (1861936)|HEAP_ALLOCATE|[82]|Bytes:7
16:42:15.0 (1872915)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:42:15.0 (1886026)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:42:15.0 (1891657)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:15.0 (1900417)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
