60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:43:21.0 (172375)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:43:21.0 (208656)|EXECUTION_STARTED
16:43:21.0 (220637)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:43:21.0 (1525367)|HEAP_ALLOCATE|[95]|Bytes:3
16:43:21.0 (1616909)|HEAP_ALLOCATE|[100]|Bytes:152
16:43:21.0 (1634120)|HEAP_ALLOCATE|[417]|Bytes:408
16:43:21.0 (1648681)|HEAP_ALLOCATE|[430]|Bytes:408
16:43:21.0 (1671230)|HEAP_ALLOCATE|[317]|Bytes:6
16:43:21.0 (1694212)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:43:21.0 (1699471)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:43:21.0 (1702551)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:43:21.0 (1711503)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:43:21.0 (1717643)|STATEMENT_EXECUTE|[1]
16:43:21.0 (1723272)|STATEMENT_EXECUTE|[1]
16:43:21.0 (1752404)|HEAP_ALLOCATE|[68]|Bytes:5
16:43:21.0 (1778545)|HEAP_ALLOCATE|[74]|Bytes:5
16:43:21.0 (1787185)|HEAP_ALLOCATE|[82]|Bytes:7
16:43:21.0 (1799114)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:43:21.0 (1811246)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:43:21.0 (1817395)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:21.0 (1826586)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:43:21.0 (1833256)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:43:21.0 (1837086)|STATEMENT_EXECUTE|[15]
16:43:21.0 (1843467)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:43:21.0 (1848236)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:43:21.0 (1878557)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:21.0 (1885037)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:43:21.0 (1949100)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x558ee8b3"}|0x121d8d58
16:43:21.0 (1954550)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:43:21.0 (2093154)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x6bccb6ac
16:43:21.0 (2099534)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:43:21.0 (2360332)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b8UMIQA2","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8UMIQA2","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000075DobAAE","Opportunity":{"StageName":"Closed Lost","Id":"006e20000075DobAAE"},"CreatedDate":"2025-10-14T06:15:05.000Z","Id":"801e20000098NLfAAM","RMD_ECC_Order_ID__c":"6691268937"}]|0x2bfb2084
16:43:21.0 (2387763)|HEAP_ALLOCATE|[17]|Bytes:5
16:43:21.0 (2395153)|STATEMENT_EXECUTE|[16]
16:43:21.0 (2397733)|STATEMENT_EXECUTE|[17]
16:43:21.0 (2402163)|HEAP_ALLOCATE|[17]|Bytes:18
16:43:21.0 (2471645)|HEAP_ALLOCATE|[17]|Bytes:1
16:43:21.0 (2496096)|HEAP_ALLOCATE|[17]|Bytes:19
16:43:21.0 (2525937)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:43:21.0 (2535757)|STATEMENT_EXECUTE|[18]
16:43:21.0 (2549518)|HEAP_ALLOCATE|[18]|Bytes:4
16:43:21.0 (2599249)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x121d8d58
16:43:21.0 (2635390)|HEAP_ALLOCATE|[19]|Bytes:5
16:43:21.0 (2675582)|HEAP_ALLOCATE|[19]|Bytes:40
16:43:21.0 (2688532)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:43:21.0 (2809876)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001b8UMIQA2","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8UMIQA2","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000075DobAAE","Opportunity":{"StageName":"Closed Lost","Id":"006e20000075DobAAE"},"CreatedDate":"2025-10-14T06:15:05.000Z","Id":"801e20000098NLfAAM","RMD_ECC_Order_ID__c":"6691268937"}|0x38b0b513
16:43:21.0 (2819256)|STATEMENT_EXECUTE|[19]
16:43:21.0 (2821496)|STATEMENT_EXECUTE|[20]
16:43:21.0 (2847297)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:21.0 (2862977)|HEAP_ALLOCATE|[19]|Bytes:5
16:43:21.0 (2876278)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:43:21.0 (2881338)|STATEMENT_EXECUTE|[23]
16:43:21.0 (2884488)|HEAP_ALLOCATE|[23]|Bytes:13
16:43:21.0 (2907649)|HEAP_ALLOCATE|[23]|Bytes:1
16:43:21.0 (2919209)|HEAP_ALLOCATE|[23]|Bytes:14
16:43:21.0 (2929399)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:43:21.0 (2936980)|STATEMENT_EXECUTE|[24]
16:43:21.0 (2949960)|HEAP_ALLOCATE|[24]|Bytes:20
16:43:21.0 (2960900)|HEAP_ALLOCATE|[24]|Bytes:33
16:43:21.0 (2971371)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000098NLfAAM}
16:43:21.0 (2990131)|STATEMENT_EXECUTE|[25]
16:43:21.0 (2992321)|STATEMENT_EXECUTE|[26]
16:43:21.0 (3002652)|HEAP_ALLOCATE|[26]|Bytes:122
16:43:21.0 (3008512)|HEAP_ALLOCATE|[26]|Bytes:24
16:43:21.0 (3012022)|HEAP_ALLOCATE|[26]|Bytes:187
16:43:21.0 (3021602)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:43:21.0 (3025902)|STATEMENT_EXECUTE|[1]
16:43:21.0 (3030032)|STATEMENT_EXECUTE|[1]
16:43:21.0 (3036423)|HEAP_ALLOCATE|[26]|Bytes:5
16:43:21.0 (3040573)|STATEMENT_EXECUTE|[998]
16:43:21.0 (3042723)|STATEMENT_EXECUTE|[1015]
16:43:21.0 (3044803)|STATEMENT_EXECUTE|[1036]
16:43:21.0 (3053163)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:43:21.0 (3060963)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:43:21.0 (3066423)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:43:21.0 (3077024)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000098NLfAAM"]|0x2eaea97
16:43:21.0 (3084784)|HEAP_ALLOCATE|[59]|Bytes:5
16:43:21.0 (3090254)|STATEMENT_EXECUTE|[57]
16:43:21.0 (3092364)|STATEMENT_EXECUTE|[59]
16:43:21.0 (3095844)|HEAP_ALLOCATE|[59]|Bytes:27
16:43:21.0 (3128005)|HEAP_ALLOCATE|[59]|Bytes:96
16:43:21.0 (3134445)|HEAP_ALLOCATE|[59]|Bytes:69
16:43:21.0 (3196457)|HEAP_ALLOCATE|[59]|Bytes:33
16:43:21.0 (3205448)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:43:21.0 (3209368)|STATEMENT_EXECUTE|[1]
16:43:21.0 (3216078)|SYSTEM_METHOD_EXIT|[1]|Type
16:43:21.0 (3221988)|HEAP_ALLOCATE|[59]|Bytes:8
16:43:21.0 (3236169)|HEAP_ALLOCATE|[59]|Bytes:8
16:43:21.0 (3240829)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:43:21.0 (3259109)|VARIABLE_ASSIGNMENT|[4]|this|{}|0xd374592
16:43:21.0 (3263749)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:43:21.0 (3318461)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x4620fd78
16:43:21.0 (5364144)|HEAP_ALLOCATE|[59]|Bytes:8
16:43:21.0 (5389484)|HEAP_ALLOCATE|[59]|Bytes:24
16:43:21.0 (5398285)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:43:21.0 (5403305)|STATEMENT_EXECUTE|[1]
16:43:21.0 (5409285)|SYSTEM_METHOD_EXIT|[1]|JSON
16:43:21.0 (5418365)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
