44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:43:26.0 (145864)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:43:26.0 (234916)|EXECUTION_STARTED
16:43:26.0 (249786)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:43:26.0 (1467016)|HEAP_ALLOCATE|[95]|Bytes:3
16:43:26.0 (1560638)|HEAP_ALLOCATE|[100]|Bytes:152
16:43:26.0 (1577538)|HEAP_ALLOCATE|[417]|Bytes:408
16:43:26.0 (1590519)|HEAP_ALLOCATE|[430]|Bytes:408
16:43:26.0 (1613039)|HEAP_ALLOCATE|[317]|Bytes:6
16:43:26.0 (1636510)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:43:26.0 (1642100)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:43:26.0 (1646550)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:43:26.0 (1658310)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:43:26.0 (1663930)|STATEMENT_EXECUTE|[1]
16:43:26.0 (1669010)|STATEMENT_EXECUTE|[1]
16:43:26.0 (1698721)|HEAP_ALLOCATE|[68]|Bytes:5
16:43:26.0 (1722982)|HEAP_ALLOCATE|[74]|Bytes:5
16:43:26.0 (1732862)|HEAP_ALLOCATE|[82]|Bytes:7
16:43:26.0 (1742142)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:43:26.0 (1754813)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:43:26.0 (1759623)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:26.0 (1768683)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:43:26.0 (1774583)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:43:26.0 (1777893)|STATEMENT_EXECUTE|[15]
16:43:26.0 (1783973)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:43:26.0 (1788023)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:43:26.0 (1822164)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:26.0 (1829004)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:43:26.0 (1921367)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x24772209"}|0x4bf3bcc5
16:43:26.0 (1930247)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:43:26.0 (2148412)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x256e6c7d
16:43:26.0 (2156482)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:43:26.0 (2572882)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T09:50:43.000Z","Account":{"Id":"001e200000PVaIXAA1","RMD_Sync_with_SAP__c":true},"Id":"801e200000PV9bkAAD","AccountId":"001e200000PVaIXAA1"}]|0x39b0b1db
16:43:26.0 (2594963)|HEAP_ALLOCATE|[20]|Bytes:5
16:43:26.0 (2600623)|STATEMENT_EXECUTE|[19]
16:43:26.0 (2602893)|STATEMENT_EXECUTE|[20]
16:43:26.0 (2607093)|HEAP_ALLOCATE|[20]|Bytes:18
16:43:26.0 (2663584)|HEAP_ALLOCATE|[20]|Bytes:1
16:43:26.0 (2681065)|HEAP_ALLOCATE|[20]|Bytes:19
16:43:26.0 (2708815)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:43:26.0 (2718846)|STATEMENT_EXECUTE|[21]
16:43:26.0 (2733816)|HEAP_ALLOCATE|[21]|Bytes:4
16:43:26.0 (2779587)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4bf3bcc5
16:43:26.0 (2816568)|HEAP_ALLOCATE|[22]|Bytes:5
16:43:26.0 (2858679)|HEAP_ALLOCATE|[22]|Bytes:20
16:43:26.0 (2872429)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:43:26.0 (2943591)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T09:50:43.000Z","Account":{"Id":"001e200000PVaIXAA1","RMD_Sync_with_SAP__c":true},"Id":"801e200000PV9bkAAD","AccountId":"001e200000PVaIXAA1"}|0x5b96211b
16:43:26.0 (2951501)|STATEMENT_EXECUTE|[22]
16:43:26.0 (2953761)|STATEMENT_EXECUTE|[23]
16:43:26.0 (2978972)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:26.0 (2995012)|HEAP_ALLOCATE|[22]|Bytes:5
16:43:26.0 (3009133)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:43:26.0 (3014953)|STATEMENT_EXECUTE|[26]
16:43:26.0 (3017703)|HEAP_ALLOCATE|[26]|Bytes:13
16:43:26.0 (3041053)|HEAP_ALLOCATE|[26]|Bytes:1
16:43:26.0 (3052464)|HEAP_ALLOCATE|[26]|Bytes:14
16:43:26.0 (3063154)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:43:26.0 (3071654)|STATEMENT_EXECUTE|[27]
16:43:26.0 (3090955)|HEAP_ALLOCATE|[27]|Bytes:20
16:43:26.0 (3108635)|HEAP_ALLOCATE|[27]|Bytes:33
16:43:26.0 (3122105)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PV9bkAAD}
16:43:26.0 (3146596)|STATEMENT_EXECUTE|[28]
16:43:26.0 (3150006)|STATEMENT_EXECUTE|[29]
16:43:26.0 (3164946)|HEAP_ALLOCATE|[29]|Bytes:122
16:43:26.0 (3172416)|HEAP_ALLOCATE|[29]|Bytes:24
16:43:26.0 (3176127)|HEAP_ALLOCATE|[29]|Bytes:187
