60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:43:28.0 (348940)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:43:28.0 (422953)|EXECUTION_STARTED
16:43:28.0 (436834)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:43:28.0 (2054004)|HEAP_ALLOCATE|[95]|Bytes:3
16:43:28.0 (2210648)|HEAP_ALLOCATE|[100]|Bytes:152
16:43:28.0 (2246428)|HEAP_ALLOCATE|[417]|Bytes:408
16:43:28.0 (2280239)|HEAP_ALLOCATE|[430]|Bytes:408
16:43:28.0 (2327182)|HEAP_ALLOCATE|[317]|Bytes:6
16:43:28.0 (2375173)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:43:28.0 (2385003)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:43:28.0 (2392473)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:43:28.0 (2408534)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:43:28.0 (2418714)|STATEMENT_EXECUTE|[1]
16:43:28.0 (2426674)|STATEMENT_EXECUTE|[1]
16:43:28.0 (2466456)|HEAP_ALLOCATE|[68]|Bytes:5
16:43:28.0 (2505867)|HEAP_ALLOCATE|[74]|Bytes:5
16:43:28.0 (2520548)|HEAP_ALLOCATE|[82]|Bytes:7
16:43:28.0 (2536647)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:43:28.0 (2552109)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:43:28.0 (2560029)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:28.0 (2575558)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:43:28.0 (2588270)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:43:28.0 (2594199)|STATEMENT_EXECUTE|[15]
16:43:28.0 (2603159)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:43:28.0 (2610140)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
