60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:50:20.0 (146242)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:50:20.0 (185053)|EXECUTION_STARTED
16:50:20.0 (198273)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:50:20.0 (1317922)|HEAP_ALLOCATE|[95]|Bytes:3
16:50:20.0 (1393415)|HEAP_ALLOCATE|[100]|Bytes:152
16:50:20.0 (1409364)|HEAP_ALLOCATE|[417]|Bytes:408
16:50:20.0 (1423345)|HEAP_ALLOCATE|[430]|Bytes:408
16:50:20.0 (1448595)|HEAP_ALLOCATE|[317]|Bytes:6
16:50:20.0 (1470826)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:50:20.0 (1476085)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:50:20.0 (1479365)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:50:20.0 (1487906)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:50:20.0 (1494416)|STATEMENT_EXECUTE|[1]
16:50:20.0 (1500096)|STATEMENT_EXECUTE|[1]
16:50:20.0 (1528157)|HEAP_ALLOCATE|[68]|Bytes:5
16:50:20.0 (1551286)|HEAP_ALLOCATE|[74]|Bytes:5
16:50:20.0 (1560766)|HEAP_ALLOCATE|[82]|Bytes:7
16:50:20.0 (1571098)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:50:20.0 (1582207)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:50:20.0 (1587358)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:50:20.0 (1595318)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:50:20.0 (1601807)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:50:20.0 (1605087)|STATEMENT_EXECUTE|[15]
16:50:20.0 (1611998)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:50:20.0 (1616028)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:50:20.0 (1644319)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:50:20.0 (1650869)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:50:20.0 (1721550)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x7150aba4"}|0x69749230
16:50:20.0 (1727180)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:50:20.0 (1908993)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x67b05be
16:50:20.0 (1915554)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:50:20.0 (2173978)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t00000345pVAAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000345pVAAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007MYTeAAO","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007MYTeAAO"},"CreatedDate":"2025-10-17T09:16:38.000Z","Id":"801e2000009RJJ7AAO","RMD_ECC_Order_ID__c":"6691281821"}]|0x661ef3d6
16:50:20.0 (2193628)|HEAP_ALLOCATE|[17]|Bytes:5
16:50:20.0 (2198778)|STATEMENT_EXECUTE|[16]
16:50:20.0 (2201258)|STATEMENT_EXECUTE|[17]
16:50:20.0 (2205629)|HEAP_ALLOCATE|[17]|Bytes:18
