60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:50:59.0 (224526)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:50:59.0 (308088)|EXECUTION_STARTED
16:50:59.0 (325378)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:50:59.0 (801719)|HEAP_ALLOCATE|[95]|Bytes:3
16:50:59.0 (902172)|HEAP_ALLOCATE|[100]|Bytes:152
16:50:59.0 (928632)|HEAP_ALLOCATE|[417]|Bytes:408
16:50:59.0 (949143)|HEAP_ALLOCATE|[430]|Bytes:408
16:50:59.0 (985824)|HEAP_ALLOCATE|[317]|Bytes:6
16:50:59.0 (1014664)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:50:59.0 (1022854)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:50:59.0 (1027895)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:50:59.0 (1044655)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:50:59.0 (1053745)|STATEMENT_EXECUTE|[1]
16:50:59.0 (1060865)|STATEMENT_EXECUTE|[1]
16:50:59.0 (1097996)|HEAP_ALLOCATE|[68]|Bytes:5
16:50:59.0 (1128107)|HEAP_ALLOCATE|[74]|Bytes:5
16:50:59.0 (1138347)|HEAP_ALLOCATE|[82]|Bytes:7
16:50:59.0 (1150958)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:50:59.0 (1168528)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:50:59.0 (1176718)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:50:59.0 (1187938)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:50:59.0 (1196329)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:50:59.0 (1201329)|STATEMENT_EXECUTE|[15]
16:50:59.0 (1209039)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:50:59.0 (1213999)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:50:59.0 (1258690)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:50:59.0 (1267200)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:50:59.0 (1354152)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6d0ac7de"}|0x1f4af7e0
16:50:59.0 (1361953)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:50:59.0 (1547737)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x794b66d4
16:50:59.0 (1555937)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:50:59.0 (1868695)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjdaBQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjdaBQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007WeROAA0","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007WeROAA0"},"CreatedDate":"2025-10-20T12:02:40.000Z","Id":"801e2000009bt8RAAQ","RMD_ECC_Order_ID__c":"6691290739"}]|0x1f351d50
16:50:59.0 (1898405)|HEAP_ALLOCATE|[17]|Bytes:5
16:50:59.0 (1905585)|STATEMENT_EXECUTE|[16]
16:50:59.0 (1908745)|STATEMENT_EXECUTE|[17]
16:50:59.0 (1913116)|HEAP_ALLOCATE|[17]|Bytes:18
16:50:59.0 (1980557)|HEAP_ALLOCATE|[17]|Bytes:1
16:50:59.0 (2000888)|HEAP_ALLOCATE|[17]|Bytes:19
16:50:59.0 (2034608)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:50:59.0 (2047349)|STATEMENT_EXECUTE|[18]
16:50:59.0 (2066499)|HEAP_ALLOCATE|[18]|Bytes:4
16:50:59.0 (2136191)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x1f4af7e0
16:50:59.0 (2191952)|HEAP_ALLOCATE|[19]|Bytes:5
16:50:59.0 (2245753)|HEAP_ALLOCATE|[19]|Bytes:40
16:50:59.0 (2261034)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
