60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:51:20.0 (231296)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:51:20.0 (311357)|EXECUTION_STARTED
16:51:20.0 (327307)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:51:20.0 (835879)|HEAP_ALLOCATE|[95]|Bytes:3
16:51:20.0 (952252)|HEAP_ALLOCATE|[100]|Bytes:152
16:51:20.0 (974223)|HEAP_ALLOCATE|[417]|Bytes:408
16:51:20.0 (988173)|HEAP_ALLOCATE|[430]|Bytes:408
16:51:20.0 (1019555)|HEAP_ALLOCATE|[317]|Bytes:6
16:51:20.0 (1047944)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:51:20.0 (1053775)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:51:20.0 (1057045)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:51:20.0 (1071396)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:51:20.0 (1077855)|STATEMENT_EXECUTE|[1]
16:51:20.0 (1083516)|STATEMENT_EXECUTE|[1]
16:51:20.0 (1120416)|HEAP_ALLOCATE|[68]|Bytes:5
16:51:20.0 (1156497)|HEAP_ALLOCATE|[74]|Bytes:5
16:51:20.0 (1170438)|HEAP_ALLOCATE|[82]|Bytes:7
16:51:20.0 (1221369)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:51:20.0 (1240859)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:51:20.0 (1249169)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:20.0 (1263260)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:51:20.0 (1272980)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:51:20.0 (1277570)|STATEMENT_EXECUTE|[15]
16:51:20.0 (1285650)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:51:20.0 (1290750)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:51:20.0 (1337831)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:51:20.0 (1346542)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:51:20.0 (1420673)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x585687f4"}|0x1f4af7e0
16:51:20.0 (1429244)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:51:20.0 (1624249)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x794b66d4
16:51:20.0 (1634148)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
