60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:52:18.0 (173504)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:52:18.0 (243116)|EXECUTION_STARTED
16:52:18.0 (255976)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:52:18.0 (660506)|HEAP_ALLOCATE|[95]|Bytes:3
16:52:18.0 (744948)|HEAP_ALLOCATE|[100]|Bytes:152
16:52:18.0 (764178)|HEAP_ALLOCATE|[417]|Bytes:408
16:52:18.0 (797889)|HEAP_ALLOCATE|[430]|Bytes:408
16:52:18.0 (828870)|HEAP_ALLOCATE|[317]|Bytes:6
16:52:18.0 (861050)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:52:18.0 (869121)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:52:18.0 (874681)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:52:18.0 (886491)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:52:18.0 (893941)|STATEMENT_EXECUTE|[1]
16:52:18.0 (901821)|STATEMENT_EXECUTE|[1]
16:52:18.0 (939022)|HEAP_ALLOCATE|[68]|Bytes:5
16:52:18.0 (972473)|HEAP_ALLOCATE|[74]|Bytes:5
16:52:18.0 (982123)|HEAP_ALLOCATE|[82]|Bytes:7
16:52:18.0 (996534)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:52:18.0 (1009844)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:52:18.0 (1016544)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:18.0 (1027004)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:52:18.0 (1032584)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:52:18.0 (1036045)|STATEMENT_EXECUTE|[15]
16:52:18.0 (1042495)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:52:18.0 (1045785)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:52:18.0 (1077756)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:18.0 (1087946)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:52:18.0 (1169138)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2fcd6fd7"}|0x1f4af7e0
16:52:18.0 (1178918)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:52:18.0 (1357722)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x794b66d4
16:52:18.0 (1365062)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:52:18.0 (1642939)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001sMe7aQAC","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001sMe7aQAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007ZXI2AAO","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007ZXI2AAO"},"CreatedDate":"2025-10-21T07:54:57.000Z","Id":"801e2000009epY8AAI","RMD_ECC_Order_ID__c":"6691293251"}]|0x727e2779
16:52:18.0 (1665179)|HEAP_ALLOCATE|[17]|Bytes:5
16:52:18.0 (1670680)|STATEMENT_EXECUTE|[16]
16:52:18.0 (1673010)|STATEMENT_EXECUTE|[17]
16:52:18.0 (1677190)|HEAP_ALLOCATE|[17]|Bytes:18
16:52:18.0 (1740931)|HEAP_ALLOCATE|[17]|Bytes:1
16:52:18.0 (1812403)|HEAP_ALLOCATE|[17]|Bytes:19
16:52:18.0 (1841064)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:52:18.0 (1849454)|STATEMENT_EXECUTE|[18]
16:52:18.0 (1863544)|HEAP_ALLOCATE|[18]|Bytes:4
16:52:18.0 (1909035)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x1f4af7e0
16:52:18.0 (1948776)|HEAP_ALLOCATE|[19]|Bytes:5
16:52:18.0 (1992537)|HEAP_ALLOCATE|[19]|Bytes:40
16:52:18.0 (2005058)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:52:18.0 (2174882)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001sMe7aQAC","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001sMe7aQAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007ZXI2AAO","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007ZXI2AAO"},"CreatedDate":"2025-10-21T07:54:57.000Z","Id":"801e2000009epY8AAI","RMD_ECC_Order_ID__c":"6691293251"}|0x58211fa3
16:52:18.0 (2191062)|STATEMENT_EXECUTE|[19]
16:52:18.0 (2194432)|STATEMENT_EXECUTE|[20]
16:52:18.0 (2229983)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:52:18.0 (2253203)|HEAP_ALLOCATE|[19]|Bytes:5
16:52:18.0 (2272814)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:52:18.0 (2280264)|STATEMENT_EXECUTE|[23]
16:52:18.0 (2284304)|HEAP_ALLOCATE|[23]|Bytes:13
16:52:18.0 (2314485)|HEAP_ALLOCATE|[23]|Bytes:1
16:52:18.0 (2326775)|HEAP_ALLOCATE|[23]|Bytes:14
16:52:18.0 (2337805)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:52:18.0 (2344666)|STATEMENT_EXECUTE|[24]
16:52:18.0 (2364246)|HEAP_ALLOCATE|[24]|Bytes:20
16:52:18.0 (2382146)|HEAP_ALLOCATE|[24]|Bytes:33
16:52:18.0 (2395057)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000009epY8AAI}
16:52:18.0 (2412037)|STATEMENT_EXECUTE|[25]
16:52:18.0 (2414317)|STATEMENT_EXECUTE|[26]
16:52:18.0 (2425057)|HEAP_ALLOCATE|[26]|Bytes:122
16:52:18.0 (2430378)|HEAP_ALLOCATE|[26]|Bytes:24
16:52:18.0 (2433768)|HEAP_ALLOCATE|[26]|Bytes:187
16:52:18.0 (2442568)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:52:18.0 (2446708)|STATEMENT_EXECUTE|[1]
16:52:18.0 (2450248)|STATEMENT_EXECUTE|[1]
16:52:18.0 (2456658)|HEAP_ALLOCATE|[26]|Bytes:5
16:52:18.0 (2460768)|STATEMENT_EXECUTE|[998]
16:52:18.0 (2463118)|STATEMENT_EXECUTE|[1015]
16:52:18.0 (2465408)|STATEMENT_EXECUTE|[1036]
16:52:18.0 (2471839)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:52:18.0 (2480719)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:52:18.0 (2486149)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:52:18.0 (2498059)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000009epY8AAI"]|0x71a1b079
16:52:18.0 (2505979)|HEAP_ALLOCATE|[59]|Bytes:5
16:52:18.0 (2511209)|STATEMENT_EXECUTE|[57]
16:52:18.0 (2513380)|STATEMENT_EXECUTE|[59]
16:52:18.0 (2516710)|HEAP_ALLOCATE|[59]|Bytes:27
16:52:18.0 (2551530)|HEAP_ALLOCATE|[59]|Bytes:96
16:52:18.0 (2557791)|HEAP_ALLOCATE|[59]|Bytes:69
16:52:18.0 (2618072)|HEAP_ALLOCATE|[59]|Bytes:33
16:52:18.0 (2626342)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:52:18.0 (2629742)|STATEMENT_EXECUTE|[1]
16:52:18.0 (2635022)|SYSTEM_METHOD_EXIT|[1]|Type
16:52:18.0 (2641443)|HEAP_ALLOCATE|[59]|Bytes:8
16:52:18.0 (2655063)|HEAP_ALLOCATE|[59]|Bytes:8
16:52:18.0 (2659123)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:52:18.0 (2677243)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x7f8bf3d0
16:52:18.0 (2682354)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:52:18.0 (2741875)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x34a3c901
16:52:18.0 (4016805)|HEAP_ALLOCATE|[59]|Bytes:8
16:52:18.0 (4041486)|HEAP_ALLOCATE|[59]|Bytes:24
16:52:18.0 (4051036)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:52:18.0 (4056406)|STATEMENT_EXECUTE|[1]
16:52:18.0 (4063926)|SYSTEM_METHOD_EXIT|[1]|JSON
16:52:18.0 (4075336)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:52:18.0 (4487096)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:52:18.0 (4500936)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:52:18.0 (4539667)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x53597864
16:52:18.0 (4549468)|HEAP_ALLOCATE|[60]|Bytes:9
16:52:18.0 (4577948)|STATEMENT_EXECUTE|[60]
16:52:18.0 (4580528)|STATEMENT_EXECUTE|[67]
16:52:18.0 (4582708)|STATEMENT_EXECUTE|[67]
16:52:18.0 (4585008)|STATEMENT_EXECUTE|[68]
16:52:18.0 (4623319)|HEAP_ALLOCATE|[68]|Bytes:4
16:52:18.0 (4656510)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:52:18.0 (4671580)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x45b4b7ee
16:52:18.0 (4676271)|STATEMENT_EXECUTE|[70]
16:52:18.0 (4689151)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:52:18.0 (4694001)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:52:18.0 (4698701)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:52:18.0 (4703931)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:52:18.0 (4708661)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:52:18.0 (4716672)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:52:18.0 (4728622)|HEAP_ALLOCATE|[70]|Bytes:150
16:52:18.0 (4735182)|HEAP_ALLOCATE|[70]|Bytes:51
16:52:18.0 (4739222)|HEAP_ALLOCATE|[70]|Bytes:13
16:52:18.0 (4748962)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:52:18.0 (4753402)|HEAP_ALLOCATE|[70]|Bytes:7
16:52:18.0 (4759473)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:52:18.0 (4792583)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:52:18.0 (4797433)|STATEMENT_EXECUTE|[6]
16:52:18.0 (4801284)|STATEMENT_EXECUTE|[6]
16:52:18.0 (5513010)|SYSTEM_MODE_ENTER|false
16:52:18.0 (5547391)|HEAP_ALLOCATE|[7]|Bytes:5
16:52:18.0 (5555621)|STATEMENT_EXECUTE|[7]
16:52:18.0 (5561101)|HEAP_ALLOCATE|[7]|Bytes:12
16:52:18.0 (5603422)|HEAP_ALLOCATE|[7]|Bytes:68
16:52:18.0 (5633973)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:52:18.0 (5640583)|STATEMENT_EXECUTE|[9]
16:52:18.0 (5647633)|HEAP_ALLOCATE|[9]|Bytes:5
16:52:18.0 (5659184)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:52:18.0 (5665034)|STATEMENT_EXECUTE|[12]
16:52:18.0 (5678604)|HEAP_ALLOCATE|[12]|Bytes:53
16:52:18.0 (5688364)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:52:18.0 (5694575)|STATEMENT_EXECUTE|[1]
16:52:18.0 (5698765)|STATEMENT_EXECUTE|[1]
16:52:18.0 (5705385)|METHOD_EXIT|[1]|RMDSelectorUser
16:52:18.0 (5715095)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:52:18.0 (5723685)|STATEMENT_EXECUTE|[124]
16:52:18.0 (5726595)|STATEMENT_EXECUTE|[125]
16:52:18.0 (5730915)|HEAP_ALLOCATE|[125]|Bytes:99
16:52:18.0 (5749576)|HEAP_ALLOCATE|[125]|Bytes:4
16:52:18.0 (6303559)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:52:18.0 (12393573)|SOQL_EXECUTE_END|[125]|Rows:1
16:52:18.0 (12430054)|HEAP_ALLOCATE|[125]|Bytes:8
16:52:18.0 (12460035)|HEAP_ALLOCATE|[125]|Bytes:60
16:52:18.0 (12520546)|HEAP_ALLOCATE|[125]|Bytes:8
16:52:18.0 (12548887)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:52:18.0 (12742481)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x619d7ad0
16:52:18.0 (12761122)|SYSTEM_MODE_EXIT|false
16:52:18.0 (12786342)|METHOD_EXIT|[6]|RMDCommonHelper
16:52:18.0 (12801073)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:52:18.0 (12848724)|SYSTEM_MODE_ENTER|false
16:52:18.0 (12867654)|HEAP_ALLOCATE|[446]|Bytes:5
16:52:18.0 (12876255)|STATEMENT_EXECUTE|[445]
16:52:18.0 (12879785)|STATEMENT_EXECUTE|[446]
16:52:18.0 (12910175)|HEAP_ALLOCATE|[446]|Bytes:16
16:52:18.0 (12923086)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
16:52:18.0 (12928786)|STATEMENT_EXECUTE|[1]
16:52:18.0 (12933256)|STATEMENT_EXECUTE|[1]
16:52:18.0 (12938316)|METHOD_EXIT|[1]|RMDSelectorCommon
16:52:18.0 (12948436)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:52:18.0 (12955306)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
16:52:18.0 (12965287)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
16:52:18.0 (12969917)|STATEMENT_EXECUTE|[3]
16:52:18.0 (12972237)|STATEMENT_EXECUTE|[4]
16:52:18.0 (12996127)|HEAP_ALLOCATE|[4]|Bytes:4
16:52:18.0 (13020478)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
16:52:18.0 (13028648)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:52:18.0 (13043119)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0xa5089e2
16:52:18.0 (13047849)|STATEMENT_EXECUTE|[5]
16:52:18.0 (13051609)|HEAP_ALLOCATE|[5]|Bytes:42
16:52:18.0 (13066239)|HEAP_ALLOCATE|[5]|Bytes:4
16:52:18.0 (13340586)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
16:52:18.0 (15775383)|SOQL_EXECUTE_END|[5]|Rows:1
16:52:18.0 (15869505)|HEAP_ALLOCATE|[5]|Bytes:8
16:52:18.0 (15889716)|HEAP_ALLOCATE|[5]|Bytes:46
16:52:18.0 (15919407)|HEAP_ALLOCATE|[5]|Bytes:8
