44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:52:01.0 (195280)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:52:01.0 (277254)|EXECUTION_STARTED
16:52:01.0 (301535)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:52:01.0 (986529)|HEAP_ALLOCATE|[95]|Bytes:3
16:52:01.0 (1107036)|HEAP_ALLOCATE|[100]|Bytes:152
16:52:01.0 (1131037)|HEAP_ALLOCATE|[417]|Bytes:408
16:52:01.0 (1150608)|HEAP_ALLOCATE|[430]|Bytes:408
16:52:01.0 (1182719)|HEAP_ALLOCATE|[317]|Bytes:6
16:52:01.0 (1212571)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:52:01.0 (1219411)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:52:01.0 (1223821)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:52:01.0 (1239892)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:52:01.0 (1247593)|STATEMENT_EXECUTE|[1]
16:52:01.0 (1254193)|STATEMENT_EXECUTE|[1]
16:52:01.0 (1371119)|HEAP_ALLOCATE|[68]|Bytes:5
16:52:01.0 (1409321)|HEAP_ALLOCATE|[74]|Bytes:5
16:52:01.0 (1434532)|HEAP_ALLOCATE|[82]|Bytes:7
16:52:01.0 (1447523)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:52:01.0 (1461803)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:52:01.0 (1467734)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:01.0 (1477494)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:52:01.0 (1509446)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:52:01.0 (1514186)|STATEMENT_EXECUTE|[15]
16:52:01.0 (1521696)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:52:01.0 (1526877)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:52:01.0 (1565059)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:01.0 (1572129)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:52:01.0 (1686565)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x35b45f13"}|0x101007a7
16:52:01.0 (1692755)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:52:01.0 (1842372)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x1c1561ab
16:52:01.0 (1848703)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:52:01.0 (2372059)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:38:29.000Z","Account":{"Id":"0012t0000034HRaAAM","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVI3yAAH","AccountId":"0012t0000034HRaAAM"}]|0x5776ca20
16:52:01.0 (2399280)|HEAP_ALLOCATE|[20]|Bytes:5
16:52:01.0 (2406901)|STATEMENT_EXECUTE|[19]
16:52:01.0 (2409621)|STATEMENT_EXECUTE|[20]
16:52:01.0 (2412981)|HEAP_ALLOCATE|[20]|Bytes:18
16:52:01.0 (2485475)|HEAP_ALLOCATE|[20]|Bytes:1
16:52:01.0 (2509346)|HEAP_ALLOCATE|[20]|Bytes:19
16:52:01.0 (2538957)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:52:01.0 (2549888)|STATEMENT_EXECUTE|[21]
16:52:01.0 (2563529)|HEAP_ALLOCATE|[21]|Bytes:4
16:52:01.0 (2612451)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x101007a7
16:52:01.0 (2649933)|HEAP_ALLOCATE|[22]|Bytes:5
16:52:01.0 (2788830)|HEAP_ALLOCATE|[22]|Bytes:20
16:52:01.0 (2802661)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:52:01.0 (2941668)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T10:38:29.000Z","Account":{"Id":"0012t0000034HRaAAM","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVI3yAAH","AccountId":"0012t0000034HRaAAM"}|0x46726989
16:52:01.0 (2951118)|STATEMENT_EXECUTE|[22]
16:52:01.0 (2953388)|STATEMENT_EXECUTE|[23]
16:52:01.0 (2981820)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:52:01.0 (3000461)|HEAP_ALLOCATE|[22]|Bytes:5
16:52:01.0 (3014951)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:52:01.0 (3019942)|STATEMENT_EXECUTE|[26]
16:52:01.0 (3023042)|HEAP_ALLOCATE|[26]|Bytes:13
16:52:01.0 (3046443)|HEAP_ALLOCATE|[26]|Bytes:1
16:52:01.0 (3058383)|HEAP_ALLOCATE|[26]|Bytes:14
16:52:01.0 (3069064)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:52:01.0 (3076884)|STATEMENT_EXECUTE|[27]
16:52:01.0 (3120907)|HEAP_ALLOCATE|[27]|Bytes:20
16:52:01.0 (3134117)|HEAP_ALLOCATE|[27]|Bytes:33
16:52:01.0 (3143418)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVI3yAAH}
16:52:01.0 (3160939)|STATEMENT_EXECUTE|[28]
16:52:01.0 (3163239)|STATEMENT_EXECUTE|[29]
16:52:01.0 (3174119)|HEAP_ALLOCATE|[29]|Bytes:122
16:52:01.0 (3178820)|HEAP_ALLOCATE|[29]|Bytes:24
16:52:01.0 (3182160)|HEAP_ALLOCATE|[29]|Bytes:187
16:52:01.0 (3192280)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:52:01.0 (3196520)|STATEMENT_EXECUTE|[1]
16:52:01.0 (3200201)|STATEMENT_EXECUTE|[1]
16:52:01.0 (3225422)|HEAP_ALLOCATE|[29]|Bytes:5
16:52:01.0 (3230302)|STATEMENT_EXECUTE|[998]
16:52:01.0 (3232642)|STATEMENT_EXECUTE|[1015]
16:52:01.0 (3234812)|STATEMENT_EXECUTE|[1036]
16:52:01.0 (3243893)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:52:01.0 (3251423)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:52:01.0 (3256493)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:52:01.0 (3268104)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PVI3yAAH"]|0x7256113f
16:52:01.0 (3276204)|HEAP_ALLOCATE|[59]|Bytes:5
16:52:01.0 (3280785)|STATEMENT_EXECUTE|[57]
16:52:01.0 (3283065)|STATEMENT_EXECUTE|[59]
16:52:01.0 (3286765)|HEAP_ALLOCATE|[59]|Bytes:27
16:52:01.0 (3319197)|HEAP_ALLOCATE|[59]|Bytes:96
16:52:01.0 (3324887)|HEAP_ALLOCATE|[59]|Bytes:69
16:52:01.0 (3413371)|HEAP_ALLOCATE|[59]|Bytes:33
16:52:01.0 (3423452)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:52:01.0 (3427112)|STATEMENT_EXECUTE|[1]
16:52:01.0 (3432732)|SYSTEM_METHOD_EXIT|[1]|Type
16:52:01.0 (3438413)|HEAP_ALLOCATE|[59]|Bytes:8
16:52:01.0 (3458484)|HEAP_ALLOCATE|[59]|Bytes:8
