44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:52:11.0 (151468)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:52:11.0 (215551)|EXECUTION_STARTED
16:52:11.0 (234332)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:52:11.0 (639642)|HEAP_ALLOCATE|[95]|Bytes:3
16:52:11.0 (723777)|HEAP_ALLOCATE|[100]|Bytes:152
16:52:11.0 (740187)|HEAP_ALLOCATE|[417]|Bytes:408
16:52:11.0 (754528)|HEAP_ALLOCATE|[430]|Bytes:408
16:52:11.0 (778799)|HEAP_ALLOCATE|[317]|Bytes:6
16:52:11.0 (802171)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:52:11.0 (807561)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:52:11.0 (810771)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:52:11.0 (824002)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:52:11.0 (830092)|STATEMENT_EXECUTE|[1]
16:52:11.0 (834442)|STATEMENT_EXECUTE|[1]
16:52:11.0 (856043)|HEAP_ALLOCATE|[68]|Bytes:5
16:52:11.0 (879774)|HEAP_ALLOCATE|[74]|Bytes:5
16:52:11.0 (889625)|HEAP_ALLOCATE|[82]|Bytes:7
16:52:11.0 (900065)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:52:11.0 (912376)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:52:11.0 (917336)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:11.0 (926187)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:52:11.0 (933687)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:52:11.0 (937167)|STATEMENT_EXECUTE|[15]
16:52:11.0 (942698)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:52:11.0 (946408)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:52:11.0 (966849)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
