60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:52:33.0 (198754)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:52:33.0 (283716)|EXECUTION_STARTED
16:52:33.0 (307847)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:52:33.0 (776008)|HEAP_ALLOCATE|[95]|Bytes:3
16:52:33.0 (876590)|HEAP_ALLOCATE|[100]|Bytes:152
16:52:33.0 (904191)|HEAP_ALLOCATE|[417]|Bytes:408
16:52:33.0 (927612)|HEAP_ALLOCATE|[430]|Bytes:408
16:52:33.0 (965212)|HEAP_ALLOCATE|[317]|Bytes:6
16:52:33.0 (997233)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:52:33.0 (1005653)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:52:33.0 (1049224)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:52:33.0 (1062924)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:52:33.0 (1070865)|STATEMENT_EXECUTE|[1]
16:52:33.0 (1079145)|STATEMENT_EXECUTE|[1]
16:52:33.0 (1121226)|HEAP_ALLOCATE|[68]|Bytes:5
16:52:33.0 (1153877)|HEAP_ALLOCATE|[74]|Bytes:5
16:52:33.0 (1166587)|HEAP_ALLOCATE|[82]|Bytes:7
16:52:33.0 (1180478)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:52:33.0 (1196868)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:52:33.0 (1205847)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:33.0 (1217527)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:52:33.0 (1225869)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:52:33.0 (1231339)|STATEMENT_EXECUTE|[15]
16:52:33.0 (1240199)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:52:33.0 (1245799)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:52:33.0 (1288329)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:33.0 (1297960)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:52:33.0 (1390163)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x653f94ba"}|0x1f4af7e0
16:52:33.0 (1400503)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:52:33.0 (1592347)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x794b66d4
16:52:33.0 (1601488)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:52:33.0 (1908784)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bioVmQAI","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bioVmQAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007ZxUEAA0","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007ZxUEAA0"},"CreatedDate":"2025-10-21T08:51:30.000Z","Id":"801e2000009esB1AAI","RMD_ECC_Order_ID__c":"6691293275"}]|0x65ec21e1
16:52:33.0 (1937325)|HEAP_ALLOCATE|[17]|Bytes:5
16:52:33.0 (1945406)|STATEMENT_EXECUTE|[16]
16:52:33.0 (1948616)|STATEMENT_EXECUTE|[17]
16:52:33.0 (1953056)|HEAP_ALLOCATE|[17]|Bytes:18
16:52:33.0 (2021577)|HEAP_ALLOCATE|[17]|Bytes:1
16:52:33.0 (2046467)|HEAP_ALLOCATE|[17]|Bytes:19
16:52:33.0 (2075439)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:52:33.0 (2087579)|STATEMENT_EXECUTE|[18]
16:52:33.0 (2102999)|HEAP_ALLOCATE|[18]|Bytes:4
16:52:33.0 (2151641)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x1f4af7e0
16:52:33.0 (2199932)|HEAP_ALLOCATE|[19]|Bytes:5
16:52:33.0 (2244413)|HEAP_ALLOCATE|[19]|Bytes:40
16:52:33.0 (2259453)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:52:33.0 (2427227)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001bioVmQAI","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bioVmQAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000007ZxUEAA0","Opportunity":{"StageName":"Closed Lost","Id":"006e2000007ZxUEAA0"},"CreatedDate":"2025-10-21T08:51:30.000Z","Id":"801e2000009esB1AAI","RMD_ECC_Order_ID__c":"6691293275"}|0x30bb36ce
16:52:33.0 (2441127)|STATEMENT_EXECUTE|[19]
16:52:33.0 (2444308)|STATEMENT_EXECUTE|[20]
16:52:33.0 (2474018)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:52:33.0 (2497929)|HEAP_ALLOCATE|[19]|Bytes:5
16:52:33.0 (2516589)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:52:33.0 (2523949)|STATEMENT_EXECUTE|[23]
16:52:33.0 (2528359)|HEAP_ALLOCATE|[23]|Bytes:13
16:52:33.0 (2558079)|HEAP_ALLOCATE|[23]|Bytes:1
16:52:33.0 (2575101)|HEAP_ALLOCATE|[23]|Bytes:14
16:52:33.0 (2588871)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:52:33.0 (2600341)|STATEMENT_EXECUTE|[24]
16:52:33.0 (2621561)|HEAP_ALLOCATE|[24]|Bytes:20
16:52:33.0 (2638232)|HEAP_ALLOCATE|[24]|Bytes:33
16:52:33.0 (2650412)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000009esB1AAI}
16:52:33.0 (2673642)|STATEMENT_EXECUTE|[25]
16:52:33.0 (2677093)|STATEMENT_EXECUTE|[26]
16:52:33.0 (2690353)|HEAP_ALLOCATE|[26]|Bytes:122
16:52:33.0 (2698154)|HEAP_ALLOCATE|[26]|Bytes:24
16:52:33.0 (2704344)|HEAP_ALLOCATE|[26]|Bytes:187
16:52:33.0 (2715474)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:52:33.0 (2722334)|STATEMENT_EXECUTE|[1]
16:52:33.0 (2727203)|STATEMENT_EXECUTE|[1]
16:52:33.0 (2735744)|HEAP_ALLOCATE|[26]|Bytes:5
16:52:33.0 (2742255)|STATEMENT_EXECUTE|[998]
16:52:33.0 (2745575)|STATEMENT_EXECUTE|[1015]
16:52:33.0 (2748875)|STATEMENT_EXECUTE|[1036]
16:52:33.0 (2758695)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:52:33.0 (2770315)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:52:33.0 (2798986)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:52:33.0 (2815746)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000009esB1AAI"]|0x21fde801
16:52:33.0 (2828627)|HEAP_ALLOCATE|[59]|Bytes:5
16:52:33.0 (2835147)|STATEMENT_EXECUTE|[57]
16:52:33.0 (2838077)|STATEMENT_EXECUTE|[59]
16:52:33.0 (2842717)|HEAP_ALLOCATE|[59]|Bytes:27
16:52:33.0 (2885967)|HEAP_ALLOCATE|[59]|Bytes:96
16:52:33.0 (2895148)|HEAP_ALLOCATE|[59]|Bytes:69
16:52:33.0 (2967580)|HEAP_ALLOCATE|[59]|Bytes:33
16:52:33.0 (2981289)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:52:33.0 (2986820)|STATEMENT_EXECUTE|[1]
16:52:33.0 (2995431)|SYSTEM_METHOD_EXIT|[1]|Type
16:52:33.0 (3004850)|HEAP_ALLOCATE|[59]|Bytes:8
16:52:33.0 (3023690)|HEAP_ALLOCATE|[59]|Bytes:8
16:52:33.0 (3030370)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
