44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:52:35.0 (143826)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:52:35.0 (210050)|EXECUTION_STARTED
16:52:35.0 (229521)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:52:35.0 (755237)|HEAP_ALLOCATE|[95]|Bytes:3
16:52:35.0 (836921)|HEAP_ALLOCATE|[100]|Bytes:152
16:52:35.0 (854572)|HEAP_ALLOCATE|[417]|Bytes:408
16:52:35.0 (869603)|HEAP_ALLOCATE|[430]|Bytes:408
16:52:35.0 (897334)|HEAP_ALLOCATE|[317]|Bytes:6
16:52:35.0 (922486)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:52:35.0 (928425)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:52:35.0 (931686)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:52:35.0 (943617)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:52:35.0 (949207)|STATEMENT_EXECUTE|[1]
16:52:35.0 (953817)|STATEMENT_EXECUTE|[1]
16:52:35.0 (984249)|HEAP_ALLOCATE|[68]|Bytes:5
16:52:35.0 (1011220)|HEAP_ALLOCATE|[74]|Bytes:5
16:52:35.0 (1021590)|HEAP_ALLOCATE|[82]|Bytes:7
16:52:35.0 (1032861)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:52:35.0 (1046482)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:52:35.0 (1051322)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:35.0 (1060552)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:52:35.0 (1067523)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:52:35.0 (1070923)|STATEMENT_EXECUTE|[15]
16:52:35.0 (1076983)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:52:35.0 (1080793)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:52:35.0 (1108585)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:52:35.0 (1115585)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:52:35.0 (1179889)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x483bc7be"}|0x101007a7
16:52:35.0 (1184819)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:52:35.0 (1319536)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x1c1561ab
16:52:35.0 (1325776)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:52:35.0 (1780079)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-01-27T07:05:32.000Z","Account":{"Id":"001e200000IP4SjAAL","RMD_Sync_with_SAP__c":true},"Id":"801e200000IP7nBAAT","AccountId":"001e200000IP4SjAAL"}]|0x4a95ac87
16:52:35.0 (1799820)|HEAP_ALLOCATE|[20]|Bytes:5
16:52:35.0 (1805570)|STATEMENT_EXECUTE|[19]
16:52:35.0 (1807989)|STATEMENT_EXECUTE|[20]
16:52:35.0 (1811240)|HEAP_ALLOCATE|[20]|Bytes:18
16:52:35.0 (1865733)|HEAP_ALLOCATE|[20]|Bytes:1
16:52:35.0 (1883264)|HEAP_ALLOCATE|[20]|Bytes:19
16:52:35.0 (1909065)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:52:35.0 (1918256)|STATEMENT_EXECUTE|[21]
16:52:35.0 (1933466)|HEAP_ALLOCATE|[21]|Bytes:4
16:52:35.0 (1976118)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x101007a7
16:52:35.0 (2014799)|HEAP_ALLOCATE|[22]|Bytes:5
16:52:35.0 (2054281)|HEAP_ALLOCATE|[22]|Bytes:20
16:52:35.0 (2065682)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:52:35.0 (2144166)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-01-27T07:05:32.000Z","Account":{"Id":"001e200000IP4SjAAL","RMD_Sync_with_SAP__c":true},"Id":"801e200000IP7nBAAT","AccountId":"001e200000IP4SjAAL"}|0x4e524189
16:52:35.0 (2151677)|STATEMENT_EXECUTE|[22]
16:52:35.0 (2153867)|STATEMENT_EXECUTE|[23]
16:52:35.0 (2178859)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:52:35.0 (2195389)|HEAP_ALLOCATE|[22]|Bytes:5
16:52:35.0 (2208009)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:52:35.0 (2212950)|STATEMENT_EXECUTE|[26]
16:52:35.0 (2216061)|HEAP_ALLOCATE|[26]|Bytes:13
16:52:35.0 (2237862)|HEAP_ALLOCATE|[26]|Bytes:1
16:52:35.0 (2250062)|HEAP_ALLOCATE|[26]|Bytes:14
16:52:35.0 (2259783)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:52:35.0 (2266993)|STATEMENT_EXECUTE|[27]
16:52:35.0 (2281704)|HEAP_ALLOCATE|[27]|Bytes:20
