60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:07:26.0 (192614)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:07:26.0 (270955)|EXECUTION_STARTED
17:07:26.0 (290937)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:07:26.0 (1598287)|HEAP_ALLOCATE|[95]|Bytes:3
17:07:26.0 (1695489)|HEAP_ALLOCATE|[100]|Bytes:152
17:07:26.0 (1714739)|HEAP_ALLOCATE|[417]|Bytes:408
17:07:26.0 (1730090)|HEAP_ALLOCATE|[430]|Bytes:408
17:07:26.0 (1757500)|HEAP_ALLOCATE|[317]|Bytes:6
17:07:26.0 (1784362)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:07:26.0 (1789831)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:07:26.0 (1793141)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:07:26.0 (1806322)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:07:26.0 (1813002)|STATEMENT_EXECUTE|[1]
17:07:26.0 (1819422)|STATEMENT_EXECUTE|[1]
17:07:26.0 (1848803)|HEAP_ALLOCATE|[68]|Bytes:5
17:07:26.0 (1873353)|HEAP_ALLOCATE|[74]|Bytes:5
17:07:26.0 (1882284)|HEAP_ALLOCATE|[82]|Bytes:7
17:07:26.0 (1892873)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:07:26.0 (1906554)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:07:26.0 (1913664)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:26.0 (1923184)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:07:26.0 (1929294)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:07:26.0 (1932744)|STATEMENT_EXECUTE|[15]
17:07:26.0 (1940034)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:07:26.0 (1944134)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:07:26.0 (1980715)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:26.0 (1988335)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:07:26.0 (2095249)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x48fd2802"}|0x32006502
17:07:26.0 (2102798)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:07:26.0 (2234231)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x100bb979
17:07:26.0 (2240801)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:07:26.0 (2466036)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjWuuQAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjWuuQAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085TmMAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085TmMAAU"},"CreatedDate":"2025-10-28T09:21:02.000Z","Id":"801e200000ADHTVAA5","RMD_ECC_Order_ID__c":"6691319042"}]|0x14f537a7
17:07:26.0 (2489028)|HEAP_ALLOCATE|[17]|Bytes:5
17:07:26.0 (2495818)|STATEMENT_EXECUTE|[16]
17:07:26.0 (2498538)|STATEMENT_EXECUTE|[17]
17:07:26.0 (2502298)|HEAP_ALLOCATE|[17]|Bytes:18
17:07:26.0 (2556128)|HEAP_ALLOCATE|[17]|Bytes:1
17:07:26.0 (2573329)|HEAP_ALLOCATE|[17]|Bytes:19
17:07:26.0 (2599729)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:07:26.0 (2609421)|STATEMENT_EXECUTE|[18]
17:07:26.0 (2624641)|HEAP_ALLOCATE|[18]|Bytes:4
17:07:26.0 (2673411)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x32006502
17:07:26.0 (2716243)|HEAP_ALLOCATE|[19]|Bytes:5
17:07:26.0 (2755554)|HEAP_ALLOCATE|[19]|Bytes:40
17:07:26.0 (2769444)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
