60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:06:20.0 (211195)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:06:20.0 (300507)|EXECUTION_STARTED
17:06:20.0 (328207)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:06:20.0 (1705610)|HEAP_ALLOCATE|[95]|Bytes:3
17:06:20.0 (1808622)|HEAP_ALLOCATE|[100]|Bytes:152
17:06:20.0 (1828572)|HEAP_ALLOCATE|[417]|Bytes:408
17:06:20.0 (1845103)|HEAP_ALLOCATE|[430]|Bytes:408
17:06:20.0 (1874253)|HEAP_ALLOCATE|[317]|Bytes:6
17:06:20.0 (1904014)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:06:20.0 (1910464)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:06:20.0 (1913784)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:06:20.0 (1928074)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:06:20.0 (1934975)|STATEMENT_EXECUTE|[1]
17:06:20.0 (1940625)|STATEMENT_EXECUTE|[1]
17:06:20.0 (1973286)|HEAP_ALLOCATE|[68]|Bytes:5
17:06:20.0 (2000706)|HEAP_ALLOCATE|[74]|Bytes:5
17:06:20.0 (2011087)|HEAP_ALLOCATE|[82]|Bytes:7
17:06:20.0 (2021916)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:06:20.0 (2038087)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:06:20.0 (2044347)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:06:20.0 (2056128)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:06:20.0 (2063298)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:06:20.0 (2066868)|STATEMENT_EXECUTE|[15]
17:06:20.0 (2073437)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:06:20.0 (2077508)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:06:20.0 (2118309)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:06:20.0 (2125198)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:06:20.0 (2199731)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x27484ef6"}|0x32006502
17:06:20.0 (2206701)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:06:20.0 (2382805)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x100bb979
17:06:20.0 (2389485)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:06:20.0 (2723953)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"001Ie000007UOJOIA4","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000007UOJOIA4","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085dydAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085dydAAA"},"CreatedDate":"2025-10-28T10:12:27.000Z","Id":"801e200000ADDoAAAX","RMD_ECC_Order_ID__c":"6691319486"}]|0x3fe8b3
17:06:20.0 (2750673)|HEAP_ALLOCATE|[17]|Bytes:5
17:06:20.0 (2756483)|STATEMENT_EXECUTE|[16]
17:06:20.0 (2758923)|STATEMENT_EXECUTE|[17]
17:06:20.0 (2762994)|HEAP_ALLOCATE|[17]|Bytes:18
17:06:20.0 (2825315)|HEAP_ALLOCATE|[17]|Bytes:1
17:06:20.0 (2842885)|HEAP_ALLOCATE|[17]|Bytes:19
17:06:20.0 (2872026)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:06:20.0 (2881776)|STATEMENT_EXECUTE|[18]
17:06:20.0 (2899327)|HEAP_ALLOCATE|[18]|Bytes:4
17:06:20.0 (2971638)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x32006502
17:06:20.0 (3013999)|HEAP_ALLOCATE|[19]|Bytes:5
17:06:20.0 (3061640)|HEAP_ALLOCATE|[19]|Bytes:40
17:06:20.0 (3076271)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:06:20.0 (3245695)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"001Ie000007UOJOIA4","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000007UOJOIA4","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085dydAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085dydAAA"},"CreatedDate":"2025-10-28T10:12:27.000Z","Id":"801e200000ADDoAAAX","RMD_ECC_Order_ID__c":"6691319486"}|0x41a16fd5
17:06:20.0 (3256535)|STATEMENT_EXECUTE|[19]
17:06:20.0 (3258945)|STATEMENT_EXECUTE|[20]
17:06:20.0 (3285045)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:06:20.0 (3306656)|HEAP_ALLOCATE|[19]|Bytes:5
17:06:20.0 (3321766)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:06:20.0 (3326826)|STATEMENT_EXECUTE|[23]
17:06:20.0 (3329996)|HEAP_ALLOCATE|[23]|Bytes:13
17:06:20.0 (3355077)|HEAP_ALLOCATE|[23]|Bytes:1
17:06:20.0 (3368187)|HEAP_ALLOCATE|[23]|Bytes:14
17:06:20.0 (3383468)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:06:20.0 (3391039)|STATEMENT_EXECUTE|[24]
17:06:20.0 (3408068)|HEAP_ALLOCATE|[24]|Bytes:20
17:06:20.0 (3418688)|HEAP_ALLOCATE|[24]|Bytes:33
17:06:20.0 (3426859)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e200000ADDoAAAX}
17:06:20.0 (3443389)|STATEMENT_EXECUTE|[25]
17:06:20.0 (3445609)|STATEMENT_EXECUTE|[26]
17:06:20.0 (3459539)|HEAP_ALLOCATE|[26]|Bytes:122
17:06:20.0 (3464440)|HEAP_ALLOCATE|[26]|Bytes:24
17:06:20.0 (3467780)|HEAP_ALLOCATE|[26]|Bytes:187
17:06:20.0 (3478460)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:06:20.0 (3482690)|STATEMENT_EXECUTE|[1]
17:06:20.0 (3486710)|STATEMENT_EXECUTE|[1]
17:06:20.0 (3493361)|HEAP_ALLOCATE|[26]|Bytes:5
17:06:20.0 (3497460)|STATEMENT_EXECUTE|[998]
17:06:20.0 (3499841)|STATEMENT_EXECUTE|[1015]
17:06:20.0 (3501940)|STATEMENT_EXECUTE|[1036]
17:06:20.0 (3511661)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:06:20.0 (3519771)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:06:20.0 (3524901)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:06:20.0 (3536962)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000ADDoAAAX"]|0x51ce216b
17:06:20.0 (3546471)|HEAP_ALLOCATE|[59]|Bytes:5
17:06:20.0 (3551371)|STATEMENT_EXECUTE|[57]
17:06:20.0 (3553723)|STATEMENT_EXECUTE|[59]
17:06:20.0 (3557312)|HEAP_ALLOCATE|[59]|Bytes:27
17:06:20.0 (3590923)|HEAP_ALLOCATE|[59]|Bytes:96
17:06:20.0 (3597893)|HEAP_ALLOCATE|[59]|Bytes:69
17:06:20.0 (3663854)|HEAP_ALLOCATE|[59]|Bytes:33
17:06:20.0 (3673965)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:06:20.0 (3677294)|STATEMENT_EXECUTE|[1]
17:06:20.0 (3684744)|SYSTEM_METHOD_EXIT|[1]|Type
17:06:20.0 (3690875)|HEAP_ALLOCATE|[59]|Bytes:8
