60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:08:17.0 (193165)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:08:17.0 (261026)|EXECUTION_STARTED
17:08:17.0 (279347)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:08:17.0 (1555526)|HEAP_ALLOCATE|[95]|Bytes:3
17:08:17.0 (1657808)|HEAP_ALLOCATE|[100]|Bytes:152
17:08:17.0 (1676648)|HEAP_ALLOCATE|[417]|Bytes:408
17:08:17.0 (1692399)|HEAP_ALLOCATE|[430]|Bytes:408
17:08:17.0 (1722799)|HEAP_ALLOCATE|[317]|Bytes:6
17:08:17.0 (1751050)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:08:17.0 (1756461)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:08:17.0 (1759640)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:08:17.0 (1772491)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:08:17.0 (1778811)|STATEMENT_EXECUTE|[1]
17:08:17.0 (1785451)|STATEMENT_EXECUTE|[1]
17:08:17.0 (1815953)|HEAP_ALLOCATE|[68]|Bytes:5
17:08:17.0 (1841353)|HEAP_ALLOCATE|[74]|Bytes:5
17:08:17.0 (1849842)|HEAP_ALLOCATE|[82]|Bytes:7
17:08:17.0 (1860714)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:08:17.0 (1875914)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:08:17.0 (1881533)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:17.0 (1892504)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:08:17.0 (1899163)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:08:17.0 (1902804)|STATEMENT_EXECUTE|[15]
17:08:17.0 (1909134)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:08:17.0 (1913124)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:08:17.0 (1950095)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:17.0 (1958485)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:08:17.0 (2027616)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2eb79220"}|0x32006502
17:08:17.0 (2033517)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:08:17.0 (2170900)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x100bb979
17:08:17.0 (2177361)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:08:17.0 (2424336)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t000009yoUXAAY","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000009yoUXAAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085oKYAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085oKYAAY"},"CreatedDate":"2025-10-28T09:47:45.000Z","Id":"801e200000ADL8yAAH","RMD_ECC_Order_ID__c":"6691319670"}]|0x16d4b4db
17:08:17.0 (2446586)|HEAP_ALLOCATE|[17]|Bytes:5
17:08:17.0 (2452057)|STATEMENT_EXECUTE|[16]
17:08:17.0 (2454317)|STATEMENT_EXECUTE|[17]
17:08:17.0 (2457577)|HEAP_ALLOCATE|[17]|Bytes:18
17:08:17.0 (2510747)|HEAP_ALLOCATE|[17]|Bytes:1
17:08:17.0 (2526919)|HEAP_ALLOCATE|[17]|Bytes:19
17:08:17.0 (2551819)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:08:17.0 (2560609)|STATEMENT_EXECUTE|[18]
17:08:17.0 (2575560)|HEAP_ALLOCATE|[18]|Bytes:4
17:08:17.0 (2627281)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x32006502
17:08:17.0 (2663612)|HEAP_ALLOCATE|[19]|Bytes:5
17:08:17.0 (2703603)|HEAP_ALLOCATE|[19]|Bytes:40
