60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:07:41.0 (194424)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:07:41.0 (258715)|EXECUTION_STARTED
17:07:41.0 (277615)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:07:41.0 (1463894)|HEAP_ALLOCATE|[95]|Bytes:3
17:07:41.0 (1547586)|HEAP_ALLOCATE|[100]|Bytes:152
17:07:41.0 (1564276)|HEAP_ALLOCATE|[417]|Bytes:408
17:07:41.0 (1579306)|HEAP_ALLOCATE|[430]|Bytes:408
17:07:41.0 (1603187)|HEAP_ALLOCATE|[317]|Bytes:6
17:07:41.0 (1628997)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:07:41.0 (1634538)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:07:41.0 (1637708)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:07:41.0 (1651458)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:07:41.0 (1658078)|STATEMENT_EXECUTE|[1]
17:07:41.0 (1663358)|STATEMENT_EXECUTE|[1]
17:07:41.0 (1694299)|HEAP_ALLOCATE|[68]|Bytes:5
17:07:41.0 (1719739)|HEAP_ALLOCATE|[74]|Bytes:5
17:07:41.0 (1728050)|HEAP_ALLOCATE|[82]|Bytes:7
17:07:41.0 (1738980)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:07:41.0 (1752670)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:07:41.0 (1758740)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:41.0 (1769281)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:07:41.0 (1775571)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:07:41.0 (1779151)|STATEMENT_EXECUTE|[15]
17:07:41.0 (1784721)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:07:41.0 (1788651)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:07:41.0 (1818982)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:41.0 (1826252)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:07:41.0 (1903404)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0xa4e1530"}|0x32006502
17:07:41.0 (1910094)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:07:41.0 (2056007)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x100bb979
17:07:41.0 (2062777)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:07:41.0 (2322183)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjb5pQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjb5pQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085gI9AAI","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085gI9AAI"},"CreatedDate":"2025-10-28T09:22:42.000Z","Id":"801e200000ADICfAAP","RMD_ECC_Order_ID__c":"6691319110"}]|0x62a2f0d6
17:07:41.0 (2342414)|HEAP_ALLOCATE|[17]|Bytes:5
17:07:41.0 (2347744)|STATEMENT_EXECUTE|[16]
17:07:41.0 (2350214)|STATEMENT_EXECUTE|[17]
17:07:41.0 (2354744)|HEAP_ALLOCATE|[17]|Bytes:18
17:07:41.0 (2409795)|HEAP_ALLOCATE|[17]|Bytes:1
17:07:41.0 (2426036)|HEAP_ALLOCATE|[17]|Bytes:19
17:07:41.0 (2450116)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:07:41.0 (2458906)|STATEMENT_EXECUTE|[18]
17:07:41.0 (2471387)|HEAP_ALLOCATE|[18]|Bytes:4
17:07:41.0 (2511898)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x32006502
17:07:41.0 (2543718)|HEAP_ALLOCATE|[19]|Bytes:5
17:07:41.0 (2582020)|HEAP_ALLOCATE|[19]|Bytes:40
17:07:41.0 (2613270)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:07:41.0 (2733773)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001bjb5pQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjb5pQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085gI9AAI","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085gI9AAI"},"CreatedDate":"2025-10-28T09:22:42.000Z","Id":"801e200000ADICfAAP","RMD_ECC_Order_ID__c":"6691319110"}|0x5283f7ae
17:07:41.0 (2743184)|STATEMENT_EXECUTE|[19]
17:07:41.0 (2745513)|STATEMENT_EXECUTE|[20]
17:07:41.0 (2769724)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:07:41.0 (2784825)|HEAP_ALLOCATE|[19]|Bytes:5
17:07:41.0 (2798564)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:07:41.0 (2803534)|STATEMENT_EXECUTE|[23]
17:07:41.0 (2806364)|HEAP_ALLOCATE|[23]|Bytes:13
17:07:41.0 (2826875)|HEAP_ALLOCATE|[23]|Bytes:1
17:07:41.0 (2838485)|HEAP_ALLOCATE|[23]|Bytes:14
17:07:41.0 (2848215)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:07:41.0 (2854935)|STATEMENT_EXECUTE|[24]
17:07:41.0 (2869686)|HEAP_ALLOCATE|[24]|Bytes:20
17:07:41.0 (2881596)|HEAP_ALLOCATE|[24]|Bytes:33
17:07:41.0 (2890036)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e200000ADICfAAP}
17:07:41.0 (2906457)|STATEMENT_EXECUTE|[25]
17:07:41.0 (2908527)|STATEMENT_EXECUTE|[26]
17:07:41.0 (2919047)|HEAP_ALLOCATE|[26]|Bytes:122
17:07:41.0 (2923797)|HEAP_ALLOCATE|[26]|Bytes:24
17:07:41.0 (2927177)|HEAP_ALLOCATE|[26]|Bytes:187
17:07:41.0 (2937017)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:07:41.0 (2941108)|STATEMENT_EXECUTE|[1]
17:07:41.0 (2944698)|STATEMENT_EXECUTE|[1]
17:07:41.0 (2949438)|HEAP_ALLOCATE|[26]|Bytes:5
17:07:41.0 (2953518)|STATEMENT_EXECUTE|[998]
17:07:41.0 (2955829)|STATEMENT_EXECUTE|[1015]
17:07:41.0 (2957898)|STATEMENT_EXECUTE|[1036]
