60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:07:55.0 (191685)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:07:55.0 (252587)|EXECUTION_STARTED
17:07:55.0 (269966)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:07:55.0 (1566017)|HEAP_ALLOCATE|[95]|Bytes:3
17:07:55.0 (1684870)|HEAP_ALLOCATE|[100]|Bytes:152
17:07:55.0 (1703950)|HEAP_ALLOCATE|[417]|Bytes:408
17:07:55.0 (1721641)|HEAP_ALLOCATE|[430]|Bytes:408
17:07:55.0 (1752901)|HEAP_ALLOCATE|[317]|Bytes:6
17:07:55.0 (1781042)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:07:55.0 (1786742)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:07:55.0 (1790642)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:07:55.0 (1806293)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:07:55.0 (1813173)|STATEMENT_EXECUTE|[1]
17:07:55.0 (1819333)|STATEMENT_EXECUTE|[1]
17:07:55.0 (1850284)|HEAP_ALLOCATE|[68]|Bytes:5
17:07:55.0 (1876254)|HEAP_ALLOCATE|[74]|Bytes:5
17:07:55.0 (1887435)|HEAP_ALLOCATE|[82]|Bytes:7
17:07:55.0 (1900635)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:07:55.0 (1915985)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:07:55.0 (1922675)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:55.0 (1934906)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:07:55.0 (1942776)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:07:55.0 (1946886)|STATEMENT_EXECUTE|[15]
17:07:55.0 (1953866)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:07:55.0 (1958656)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:07:55.0 (1997547)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:07:55.0 (2007287)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:07:55.0 (2085099)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x176b54d3"}|0x32006502
17:07:55.0 (2094959)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:07:55.0 (2271203)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x100bb979
17:07:55.0 (2279004)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:07:55.0 (2568650)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjkoQQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjkoQQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085hhFAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085hhFAAQ"},"CreatedDate":"2025-10-28T09:26:26.000Z","Id":"801e200000ADJqHAAX","RMD_ECC_Order_ID__c":"6691319176"}]|0x2f8285d4
17:07:55.0 (2593541)|HEAP_ALLOCATE|[17]|Bytes:5
17:07:55.0 (2599411)|STATEMENT_EXECUTE|[16]
17:07:55.0 (2602041)|STATEMENT_EXECUTE|[17]
17:07:55.0 (2605761)|HEAP_ALLOCATE|[17]|Bytes:18
17:07:55.0 (2657602)|HEAP_ALLOCATE|[17]|Bytes:1
17:07:55.0 (2674773)|HEAP_ALLOCATE|[17]|Bytes:19
17:07:55.0 (2699243)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:07:55.0 (2730224)|STATEMENT_EXECUTE|[18]
17:07:55.0 (2744304)|HEAP_ALLOCATE|[18]|Bytes:4
17:07:55.0 (2792366)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x32006502
17:07:55.0 (2830096)|HEAP_ALLOCATE|[19]|Bytes:5
17:07:55.0 (2871627)|HEAP_ALLOCATE|[19]|Bytes:40
17:07:55.0 (2883718)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
