60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:08:40.0 (642204)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:08:40.0 (729127)|EXECUTION_STARTED
17:08:40.0 (755148)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:08:40.0 (2164390)|HEAP_ALLOCATE|[95]|Bytes:3
17:08:40.0 (2285873)|HEAP_ALLOCATE|[100]|Bytes:152
17:08:40.0 (2311973)|HEAP_ALLOCATE|[417]|Bytes:408
17:08:40.0 (2334534)|HEAP_ALLOCATE|[430]|Bytes:408
17:08:40.0 (2375135)|HEAP_ALLOCATE|[317]|Bytes:6
17:08:40.0 (2468148)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:08:40.0 (2489388)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:08:40.0 (2496029)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:08:40.0 (2515558)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:08:40.0 (2526218)|STATEMENT_EXECUTE|[1]
17:08:40.0 (2535048)|STATEMENT_EXECUTE|[1]
17:08:40.0 (2579019)|HEAP_ALLOCATE|[68]|Bytes:5
17:08:40.0 (2616071)|HEAP_ALLOCATE|[74]|Bytes:5
17:08:40.0 (2631401)|HEAP_ALLOCATE|[82]|Bytes:7
17:08:40.0 (2648691)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:08:40.0 (2669202)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:08:40.0 (2678702)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:40.0 (2694082)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:08:40.0 (2706372)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:08:40.0 (2712363)|STATEMENT_EXECUTE|[15]
17:08:40.0 (2722183)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:08:40.0 (2728874)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:08:40.0 (2781044)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:40.0 (2792344)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:08:40.0 (2918667)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x9fbda31"}|0x32006502
17:08:40.0 (2929689)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:08:40.0 (3206325)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x100bb979
17:08:40.0 (3218314)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:08:40.0 (3641595)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t00000DouamAAB","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000DouamAAB","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085IB4AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085IB4AAM"},"CreatedDate":"2025-10-28T09:52:50.000Z","Id":"801e200000ADM51AAH","RMD_ECC_Order_ID__c":"6691321640"}]|0x66c55384
17:08:40.0 (3736147)|HEAP_ALLOCATE|[17]|Bytes:5
17:08:40.0 (3747917)|STATEMENT_EXECUTE|[16]
17:08:40.0 (3751517)|STATEMENT_EXECUTE|[17]
17:08:40.0 (3757057)|HEAP_ALLOCATE|[17]|Bytes:18
17:08:40.0 (3833119)|HEAP_ALLOCATE|[17]|Bytes:1
17:08:40.0 (3858910)|HEAP_ALLOCATE|[17]|Bytes:19
17:08:40.0 (3893221)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:08:40.0 (3907751)|STATEMENT_EXECUTE|[18]
17:08:40.0 (3926901)|HEAP_ALLOCATE|[18]|Bytes:4
17:08:40.0 (3987333)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x32006502
17:08:40.0 (4037244)|HEAP_ALLOCATE|[19]|Bytes:5
17:08:40.0 (4092555)|HEAP_ALLOCATE|[19]|Bytes:40
17:08:40.0 (4109356)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:08:40.0 (4325380)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0012t00000DouamAAB","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000DouamAAB","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085IB4AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085IB4AAM"},"CreatedDate":"2025-10-28T09:52:50.000Z","Id":"801e200000ADM51AAH","RMD_ECC_Order_ID__c":"6691321640"}|0x53f1eafc
17:08:40.0 (4343761)|STATEMENT_EXECUTE|[19]
17:08:40.0 (4347381)|STATEMENT_EXECUTE|[20]
17:08:40.0 (4381122)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:08:40.0 (4408792)|HEAP_ALLOCATE|[19]|Bytes:5
17:08:40.0 (4468764)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:08:40.0 (4477514)|STATEMENT_EXECUTE|[23]
17:08:40.0 (4482684)|HEAP_ALLOCATE|[23]|Bytes:13
17:08:40.0 (4518685)|HEAP_ALLOCATE|[23]|Bytes:1
17:08:40.0 (4539265)|HEAP_ALLOCATE|[23]|Bytes:14
17:08:40.0 (4559406)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:08:40.0 (4572856)|STATEMENT_EXECUTE|[24]
17:08:40.0 (4595937)|HEAP_ALLOCATE|[24]|Bytes:20
17:08:40.0 (4614577)|HEAP_ALLOCATE|[24]|Bytes:33
17:08:40.0 (4629457)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e200000ADM51AAH}
17:08:40.0 (4657228)|STATEMENT_EXECUTE|[25]
17:08:40.0 (4661028)|STATEMENT_EXECUTE|[26]
17:08:40.0 (4676839)|HEAP_ALLOCATE|[26]|Bytes:122
17:08:40.0 (4685779)|HEAP_ALLOCATE|[26]|Bytes:24
17:08:40.0 (4692479)|HEAP_ALLOCATE|[26]|Bytes:187
17:08:40.0 (4708319)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:08:40.0 (4715659)|STATEMENT_EXECUTE|[1]
17:08:40.0 (4721320)|STATEMENT_EXECUTE|[1]
17:08:40.0 (4732340)|HEAP_ALLOCATE|[26]|Bytes:5
17:08:40.0 (4739640)|STATEMENT_EXECUTE|[998]
17:08:40.0 (4743300)|STATEMENT_EXECUTE|[1015]
17:08:40.0 (4746780)|STATEMENT_EXECUTE|[1036]
17:08:40.0 (4759460)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:08:40.0 (4771821)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:08:40.0 (4780941)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:08:40.0 (4909154)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000ADM51AAH"]|0x1ee344a2
17:08:40.0 (4928044)|HEAP_ALLOCATE|[59]|Bytes:5
17:08:40.0 (4935744)|STATEMENT_EXECUTE|[57]
17:08:40.0 (4938414)|STATEMENT_EXECUTE|[59]
17:08:40.0 (4943165)|HEAP_ALLOCATE|[59]|Bytes:27
17:08:40.0 (4999346)|HEAP_ALLOCATE|[59]|Bytes:96
17:08:40.0 (5010246)|HEAP_ALLOCATE|[59]|Bytes:69
17:08:40.0 (5092388)|HEAP_ALLOCATE|[59]|Bytes:33
17:08:40.0 (5107388)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:08:40.0 (5112338)|STATEMENT_EXECUTE|[1]
17:08:40.0 (5121930)|SYSTEM_METHOD_EXIT|[1]|Type
17:08:40.0 (5128410)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:40.0 (5148669)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:40.0 (5155749)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:08:40.0 (5189960)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x473c332
17:08:40.0 (5198660)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:08:40.0 (5286462)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x3109f73d
17:08:40.0 (9082410)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:40.0 (9116912)|HEAP_ALLOCATE|[59]|Bytes:24
17:08:40.0 (9187044)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:08:40.0 (9195614)|STATEMENT_EXECUTE|[1]
17:08:40.0 (9206394)|SYSTEM_METHOD_EXIT|[1]|JSON
17:08:40.0 (9221905)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:08:40.0 (9809108)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:08:40.0 (9824958)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:08:40.0 (9885870)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x23d4b5d5
17:08:40.0 (9897350)|HEAP_ALLOCATE|[60]|Bytes:9
17:08:40.0 (9935001)|STATEMENT_EXECUTE|[60]
17:08:40.0 (9939651)|STATEMENT_EXECUTE|[67]
17:08:40.0 (9942961)|STATEMENT_EXECUTE|[67]
17:08:40.0 (9946351)|STATEMENT_EXECUTE|[68]
17:08:40.0 (9991612)|HEAP_ALLOCATE|[68]|Bytes:4
17:08:40.0 (10038613)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:08:40.0 (10074214)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x392498ce
17:08:40.0 (10083184)|STATEMENT_EXECUTE|[70]
