60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:10:21.0 (304969)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:10:21.0 (420672)|EXECUTION_STARTED
17:10:21.0 (444813)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:10:21.0 (2025150)|HEAP_ALLOCATE|[95]|Bytes:3
17:10:21.0 (2157083)|HEAP_ALLOCATE|[100]|Bytes:152
17:10:21.0 (2183595)|HEAP_ALLOCATE|[417]|Bytes:408
17:10:21.0 (2202644)|HEAP_ALLOCATE|[430]|Bytes:408
17:10:21.0 (2244787)|HEAP_ALLOCATE|[317]|Bytes:6
17:10:21.0 (2279527)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:10:21.0 (2286727)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:10:21.0 (2291097)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:10:21.0 (2304687)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:10:21.0 (2312639)|STATEMENT_EXECUTE|[1]
17:10:21.0 (2322378)|STATEMENT_EXECUTE|[1]
17:10:21.0 (2374091)|HEAP_ALLOCATE|[68]|Bytes:5
17:10:21.0 (2414532)|HEAP_ALLOCATE|[74]|Bytes:5
17:10:21.0 (2425282)|HEAP_ALLOCATE|[82]|Bytes:7
17:10:21.0 (2440501)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:10:21.0 (2460213)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:10:21.0 (2468542)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:10:21.0 (2485354)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:10:21.0 (2494914)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:10:21.0 (2499034)|STATEMENT_EXECUTE|[15]
17:10:21.0 (2508014)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:10:21.0 (2513064)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:10:21.0 (2560665)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:10:21.0 (2570656)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:10:21.0 (2681170)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x3e4302e8"}|0x6582ac98
17:10:21.0 (2687820)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:10:21.0 (2968998)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0xa7052eb
17:10:21.0 (2977038)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:10:21.0 (3619117)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"0017F00001jLF1iQAG","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001jLF1iQAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003HYr3IAG","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003HYr3IAG"},"CreatedDate":"2025-01-27T10:11:39.000Z","Coupon_Type__c":"P","Id":"801Ie000001ICtBIAW","RMD_ECC_Order_ID__c":"Akhil1662"}]|0x244fd849
17:10:21.0 (3649988)|HEAP_ALLOCATE|[17]|Bytes:5
17:10:21.0 (3657218)|STATEMENT_EXECUTE|[16]
17:10:21.0 (3660208)|STATEMENT_EXECUTE|[17]
17:10:21.0 (3665169)|HEAP_ALLOCATE|[17]|Bytes:18
17:10:21.0 (3749911)|HEAP_ALLOCATE|[17]|Bytes:1
17:10:21.0 (3773622)|HEAP_ALLOCATE|[17]|Bytes:19
17:10:21.0 (3813963)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:10:21.0 (3827063)|STATEMENT_EXECUTE|[18]
17:10:21.0 (3845624)|HEAP_ALLOCATE|[18]|Bytes:4
17:10:21.0 (3935607)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x6582ac98
17:10:21.0 (3990319)|HEAP_ALLOCATE|[19]|Bytes:5
17:10:21.0 (4045980)|HEAP_ALLOCATE|[19]|Bytes:44
17:10:21.0 (4063190)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:10:21.0 (4196144)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"0017F00001jLF1iQAG","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001jLF1iQAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003HYr3IAG","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003HYr3IAG"},"CreatedDate":"2025-01-27T10:11:39.000Z","Coupon_Type__c":"P","Id":"801Ie000001ICtBIAW","RMD_ECC_Order_ID__c":"Akhil1662"}|0x16dba0ee
17:10:21.0 (4211225)|STATEMENT_EXECUTE|[19]
17:10:21.0 (4214025)|STATEMENT_EXECUTE|[20]
17:10:21.0 (4248076)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:10:21.0 (4268087)|HEAP_ALLOCATE|[19]|Bytes:5
17:10:21.0 (4284977)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:10:21.0 (4292257)|STATEMENT_EXECUTE|[23]
17:10:21.0 (4295697)|HEAP_ALLOCATE|[23]|Bytes:13
17:10:21.0 (4321489)|HEAP_ALLOCATE|[23]|Bytes:1
17:10:21.0 (4337258)|HEAP_ALLOCATE|[23]|Bytes:14
17:10:21.0 (4351069)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:10:21.0 (4361079)|STATEMENT_EXECUTE|[24]
17:10:21.0 (4382611)|HEAP_ALLOCATE|[24]|Bytes:20
17:10:21.0 (4397180)|HEAP_ALLOCATE|[24]|Bytes:33
17:10:21.0 (4407700)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001ICtBIAW}
17:10:21.0 (4431711)|STATEMENT_EXECUTE|[25]
17:10:21.0 (4434381)|STATEMENT_EXECUTE|[26]
17:10:21.0 (4446112)|HEAP_ALLOCATE|[26]|Bytes:122
17:10:21.0 (4452722)|HEAP_ALLOCATE|[26]|Bytes:24
17:10:21.0 (4457322)|HEAP_ALLOCATE|[26]|Bytes:187
17:10:21.0 (4467863)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:10:21.0 (4473853)|STATEMENT_EXECUTE|[1]
17:10:21.0 (4477813)|STATEMENT_EXECUTE|[1]
17:10:21.0 (4484003)|HEAP_ALLOCATE|[26]|Bytes:5
17:10:21.0 (4489624)|STATEMENT_EXECUTE|[998]
17:10:21.0 (4493014)|STATEMENT_EXECUTE|[1015]
17:10:21.0 (4495744)|STATEMENT_EXECUTE|[1036]
17:10:21.0 (4536004)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:10:21.0 (4545775)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:10:21.0 (4554725)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:10:21.0 (4568085)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001ICtBIAW"]|0x163d2a33
17:10:21.0 (4579085)|HEAP_ALLOCATE|[59]|Bytes:5
17:10:21.0 (4585116)|STATEMENT_EXECUTE|[57]
17:10:21.0 (4587867)|STATEMENT_EXECUTE|[59]
17:10:21.0 (4591766)|HEAP_ALLOCATE|[59]|Bytes:27
17:10:21.0 (4635077)|HEAP_ALLOCATE|[59]|Bytes:96
17:10:21.0 (4643727)|HEAP_ALLOCATE|[59]|Bytes:69
17:10:21.0 (4726871)|HEAP_ALLOCATE|[59]|Bytes:33
17:10:21.0 (4737901)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:10:21.0 (4742141)|STATEMENT_EXECUTE|[1]
17:10:21.0 (4748560)|SYSTEM_METHOD_EXIT|[1]|Type
17:10:21.0 (4757352)|HEAP_ALLOCATE|[59]|Bytes:8
17:10:21.0 (4778561)|HEAP_ALLOCATE|[59]|Bytes:8
17:10:21.0 (4784262)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:10:21.0 (4803783)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x28f1025e
17:10:21.0 (4810602)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:10:21.0 (4902716)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x7665cd6
17:10:21.0 (7284747)|HEAP_ALLOCATE|[59]|Bytes:8
17:10:21.0 (7343478)|HEAP_ALLOCATE|[59]|Bytes:24
17:10:21.0 (7358469)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:10:21.0 (7365248)|STATEMENT_EXECUTE|[1]
17:10:21.0 (7373169)|SYSTEM_METHOD_EXIT|[1]|JSON
17:10:21.0 (7387369)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
