44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:10:30.0 (159174)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
17:10:30.0 (207695)|EXECUTION_STARTED
17:10:30.0 (225736)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
17:10:30.0 (1016995)|HEAP_ALLOCATE|[95]|Bytes:3
17:10:30.0 (1112677)|HEAP_ALLOCATE|[100]|Bytes:152
17:10:30.0 (1132908)|HEAP_ALLOCATE|[417]|Bytes:408
17:10:30.0 (1147278)|HEAP_ALLOCATE|[430]|Bytes:408
17:10:30.0 (1174879)|HEAP_ALLOCATE|[317]|Bytes:6
17:10:30.0 (1200889)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:10:30.0 (1208139)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:10:30.0 (1211309)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:10:30.0 (1220280)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
17:10:30.0 (1227340)|STATEMENT_EXECUTE|[1]
17:10:30.0 (1234310)|STATEMENT_EXECUTE|[1]
17:10:30.0 (1266681)|HEAP_ALLOCATE|[68]|Bytes:5
17:10:30.0 (1294491)|HEAP_ALLOCATE|[74]|Bytes:5
17:10:30.0 (1305462)|HEAP_ALLOCATE|[82]|Bytes:7
17:10:30.0 (1316202)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:10:30.0 (1329322)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
17:10:30.0 (1334532)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:10:30.0 (1343073)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:10:30.0 (1349223)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:10:30.0 (1352193)|STATEMENT_EXECUTE|[15]
17:10:30.0 (1359413)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:10:30.0 (1363373)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:10:30.0 (1399764)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:10:30.0 (1406234)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
17:10:30.0 (1474196)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x3edeb219"}|0x44d0214
17:10:30.0 (1479726)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
17:10:30.0 (1621459)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x399fe980
17:10:30.0 (1627109)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
17:10:30.0 (2019789)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:18:25.000Z","Account":{"Id":"0017F00001XrSCHQA3","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVCwBAAX","AccountId":"0017F00001XrSCHQA3"}]|0x7b188731
17:10:30.0 (2043059)|HEAP_ALLOCATE|[20]|Bytes:5
17:10:30.0 (2049580)|STATEMENT_EXECUTE|[19]
17:10:30.0 (2051940)|STATEMENT_EXECUTE|[20]
17:10:30.0 (2055550)|HEAP_ALLOCATE|[20]|Bytes:18
17:10:30.0 (2112191)|HEAP_ALLOCATE|[20]|Bytes:1
17:10:30.0 (2128742)|HEAP_ALLOCATE|[20]|Bytes:19
17:10:30.0 (2153842)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
17:10:30.0 (2162452)|STATEMENT_EXECUTE|[21]
17:10:30.0 (2176303)|HEAP_ALLOCATE|[21]|Bytes:4
17:10:30.0 (2225734)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x44d0214
17:10:30.0 (2260695)|HEAP_ALLOCATE|[22]|Bytes:5
17:10:30.0 (2325776)|HEAP_ALLOCATE|[22]|Bytes:20
17:10:30.0 (2340477)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
17:10:30.0 (2448939)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T10:18:25.000Z","Account":{"Id":"0017F00001XrSCHQA3","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVCwBAAX","AccountId":"0017F00001XrSCHQA3"}|0x43fb1047
17:10:30.0 (2460529)|STATEMENT_EXECUTE|[22]
17:10:30.0 (2463440)|STATEMENT_EXECUTE|[23]
17:10:30.0 (2496430)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:10:30.0 (2517061)|HEAP_ALLOCATE|[22]|Bytes:5
17:10:30.0 (2533221)|VARIABLE_ASSIGNMENT|[22]|obj|null|
17:10:30.0 (2538651)|STATEMENT_EXECUTE|[26]
17:10:30.0 (2541681)|HEAP_ALLOCATE|[26]|Bytes:13
17:10:30.0 (2567152)|HEAP_ALLOCATE|[26]|Bytes:1
17:10:30.0 (2579482)|HEAP_ALLOCATE|[26]|Bytes:14
17:10:30.0 (2591413)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
17:10:30.0 (2598883)|STATEMENT_EXECUTE|[27]
17:10:30.0 (2615983)|HEAP_ALLOCATE|[27]|Bytes:20
17:10:30.0 (2629004)|HEAP_ALLOCATE|[27]|Bytes:33
17:10:30.0 (2640724)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVCwBAAX}
17:10:30.0 (2663674)|STATEMENT_EXECUTE|[28]
17:10:30.0 (2666434)|STATEMENT_EXECUTE|[29]
17:10:30.0 (2682735)|HEAP_ALLOCATE|[29]|Bytes:122
17:10:30.0 (2690105)|HEAP_ALLOCATE|[29]|Bytes:24
17:10:30.0 (2695545)|HEAP_ALLOCATE|[29]|Bytes:187
