66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:33:09.0 (227666)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:33:09.0 (298458)|EXECUTION_STARTED
17:33:09.0 (332259)|CODE_UNIT_STARTED|[EXTERNAL]|apex://RMDOrderVerificationProcessController/ACTION$getOrderDetails
17:33:09.0 (2788084)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THbl|RMDOrderVerificationProcessController.getOrderDetails(String)
17:33:09.0 (3374770)|HEAP_ALLOCATE|[95]|Bytes:3
17:33:09.0 (3556645)|HEAP_ALLOCATE|[100]|Bytes:152
17:33:09.0 (3586256)|HEAP_ALLOCATE|[417]|Bytes:408
17:33:09.0 (3601866)|HEAP_ALLOCATE|[430]|Bytes:408
17:33:09.0 (3630037)|HEAP_ALLOCATE|[317]|Bytes:6
17:33:09.0 (3652997)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:33:09.0 (3658957)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
17:33:09.0 (3662358)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:33:09.0 (3677528)|METHOD_ENTRY|[1]|01p2t000002THbl|RMDOrderVerificationProcessController.RMDOrderVerificationProcessController()
17:33:09.0 (3684348)|STATEMENT_EXECUTE|[1]
17:33:09.0 (3695358)|STATEMENT_EXECUTE|[1]
17:33:09.0 (3760720)|HEAP_ALLOCATE|[68]|Bytes:5
17:33:09.0 (3806721)|HEAP_ALLOCATE|[74]|Bytes:5
17:33:09.0 (3848382)|HEAP_ALLOCATE|[82]|Bytes:7
17:33:09.0 (4103069)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:33:09.0 (4120990)|STATEMENT_EXECUTE|[2]
17:33:09.0 (4136560)|METHOD_EXIT|[1]|RMDOrderVerificationProcessController
17:33:09.0 (4143660)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
17:33:09.0 (4191622)|VARIABLE_SCOPE_BEGIN|[16]|orderId|String|false|false
17:33:09.0 (4314835)|VARIABLE_ASSIGNMENT|[16]|orderId|"801e200000PVhiPAAT"
17:33:09.0 (4342426)|HEAP_ALLOCATE|[17]|Bytes:5
17:33:09.0 (4350066)|STATEMENT_EXECUTE|[16]
