60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:34:35.0 (249846)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:34:35.0 (293317)|EXECUTION_STARTED
17:34:35.0 (308357)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:34:35.0 (1568336)|HEAP_ALLOCATE|[95]|Bytes:3
17:34:35.0 (1683369)|HEAP_ALLOCATE|[100]|Bytes:152
17:34:35.0 (1708641)|HEAP_ALLOCATE|[417]|Bytes:408
17:34:35.0 (1729601)|HEAP_ALLOCATE|[430]|Bytes:408
17:34:35.0 (1763872)|HEAP_ALLOCATE|[317]|Bytes:6
17:34:35.0 (1794342)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:34:35.0 (1801182)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:34:35.0 (1806683)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:34:35.0 (1820513)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:34:35.0 (1829663)|STATEMENT_EXECUTE|[1]
17:34:35.0 (1837724)|STATEMENT_EXECUTE|[1]
17:34:35.0 (1874115)|HEAP_ALLOCATE|[68]|Bytes:5
17:34:35.0 (1909796)|HEAP_ALLOCATE|[74]|Bytes:5
17:34:35.0 (1924436)|HEAP_ALLOCATE|[82]|Bytes:7
17:34:35.0 (1939535)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:34:35.0 (1957197)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:34:35.0 (1964727)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:34:35.0 (1976117)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:34:35.0 (1985736)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:34:35.0 (1990717)|STATEMENT_EXECUTE|[15]
17:34:35.0 (2001177)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:34:35.0 (2006737)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:34:35.0 (2052258)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:34:35.0 (2061548)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:34:35.0 (2124420)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x599c90b4"}|0xbef81e1
17:34:35.0 (2132361)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:34:35.0 (2304344)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x1c3f0620
17:34:35.0 (2311834)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:34:35.0 (2899688)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie00000955BUIAY","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955BUIAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCLUIA2","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCLUIA2"},"CreatedDate":"2025-05-26T10:37:19.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx8VIAS","RMD_ECC_Order_ID__c":"Akhil1858"}]|0x1d657485
17:34:35.0 (2935529)|HEAP_ALLOCATE|[17]|Bytes:5
17:34:35.0 (2942980)|STATEMENT_EXECUTE|[16]
17:34:35.0 (2946449)|STATEMENT_EXECUTE|[17]
17:34:35.0 (2951311)|HEAP_ALLOCATE|[17]|Bytes:18
17:34:35.0 (3019611)|HEAP_ALLOCATE|[17]|Bytes:1
17:34:35.0 (3044132)|HEAP_ALLOCATE|[17]|Bytes:19
17:34:35.0 (3077784)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:34:35.0 (3092803)|STATEMENT_EXECUTE|[18]
17:34:35.0 (3112064)|HEAP_ALLOCATE|[18]|Bytes:4
17:34:35.0 (3170906)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0xbef81e1
17:34:35.0 (3212277)|HEAP_ALLOCATE|[19]|Bytes:5
17:34:35.0 (3260127)|HEAP_ALLOCATE|[19]|Bytes:44
17:34:35.0 (3277798)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:34:35.0 (3451353)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie00000955BUIAY","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955BUIAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCLUIA2","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCLUIA2"},"CreatedDate":"2025-05-26T10:37:19.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx8VIAS","RMD_ECC_Order_ID__c":"Akhil1858"}|0x4ac56bc4
17:34:35.0 (3468043)|STATEMENT_EXECUTE|[19]
17:34:35.0 (3471123)|STATEMENT_EXECUTE|[20]
17:34:35.0 (3501013)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:34:35.0 (3524063)|HEAP_ALLOCATE|[19]|Bytes:5
17:34:35.0 (3539494)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:34:35.0 (3544995)|STATEMENT_EXECUTE|[23]
17:34:35.0 (3548184)|HEAP_ALLOCATE|[23]|Bytes:13
17:34:35.0 (3571625)|HEAP_ALLOCATE|[23]|Bytes:1
17:34:35.0 (3584316)|HEAP_ALLOCATE|[23]|Bytes:14
17:34:35.0 (3594516)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:34:35.0 (3602406)|STATEMENT_EXECUTE|[24]
17:34:35.0 (3618127)|HEAP_ALLOCATE|[24]|Bytes:20
17:34:35.0 (3629197)|HEAP_ALLOCATE|[24]|Bytes:33
17:34:35.0 (3637917)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001Jx8VIAS}
17:34:35.0 (3657368)|STATEMENT_EXECUTE|[25]
17:34:35.0 (3659617)|STATEMENT_EXECUTE|[26]
17:34:35.0 (3671347)|HEAP_ALLOCATE|[26]|Bytes:122
17:34:35.0 (3676427)|HEAP_ALLOCATE|[26]|Bytes:24
17:34:35.0 (3679808)|HEAP_ALLOCATE|[26]|Bytes:187
17:34:35.0 (3688417)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:34:35.0 (3692318)|STATEMENT_EXECUTE|[1]
17:34:35.0 (3695879)|STATEMENT_EXECUTE|[1]
17:34:35.0 (3701458)|HEAP_ALLOCATE|[26]|Bytes:5
17:34:35.0 (3705399)|STATEMENT_EXECUTE|[998]
17:34:35.0 (3708489)|STATEMENT_EXECUTE|[1015]
17:34:35.0 (3710849)|STATEMENT_EXECUTE|[1036]
17:34:35.0 (3738160)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:34:35.0 (3746640)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:34:35.0 (3752680)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:34:35.0 (3764970)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001Jx8VIAS"]|0x27b84e3e
17:34:35.0 (3773589)|HEAP_ALLOCATE|[59]|Bytes:5
17:34:35.0 (3778790)|STATEMENT_EXECUTE|[57]
17:34:35.0 (3781091)|STATEMENT_EXECUTE|[59]
17:34:35.0 (3784620)|HEAP_ALLOCATE|[59]|Bytes:27
17:34:35.0 (3817660)|HEAP_ALLOCATE|[59]|Bytes:96
17:34:35.0 (3823791)|HEAP_ALLOCATE|[59]|Bytes:69
17:34:35.0 (3882182)|HEAP_ALLOCATE|[59]|Bytes:33
17:34:35.0 (3891363)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:34:35.0 (3894512)|STATEMENT_EXECUTE|[1]
17:34:35.0 (3900382)|SYSTEM_METHOD_EXIT|[1]|Type
17:34:35.0 (3906383)|HEAP_ALLOCATE|[59]|Bytes:8
17:34:35.0 (3919444)|HEAP_ALLOCATE|[59]|Bytes:8
17:34:35.0 (3924334)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:34:35.0 (3943903)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x162c9f54
17:34:35.0 (3949255)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:34:35.0 (4019896)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6bba821a
17:34:35.0 (6088936)|HEAP_ALLOCATE|[59]|Bytes:8
17:34:35.0 (6114326)|HEAP_ALLOCATE|[59]|Bytes:24
17:34:35.0 (6126436)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:34:35.0 (6132467)|STATEMENT_EXECUTE|[1]
17:34:35.0 (6140537)|SYSTEM_METHOD_EXIT|[1]|JSON
