60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:37:24.0 (192183)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:37:24.0 (229024)|EXECUTION_STARTED
17:37:24.0 (242414)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:37:24.0 (1487126)|HEAP_ALLOCATE|[95]|Bytes:3
17:37:24.0 (1569047)|HEAP_ALLOCATE|[100]|Bytes:152
17:37:24.0 (1587488)|HEAP_ALLOCATE|[417]|Bytes:408
17:37:24.0 (1603488)|HEAP_ALLOCATE|[430]|Bytes:408
17:37:24.0 (1629688)|HEAP_ALLOCATE|[317]|Bytes:6
17:37:24.0 (1653979)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:37:24.0 (1659769)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:37:24.0 (1663519)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:37:24.0 (1672699)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:37:24.0 (1678979)|STATEMENT_EXECUTE|[1]
17:37:24.0 (1684499)|STATEMENT_EXECUTE|[1]
17:37:24.0 (1714300)|HEAP_ALLOCATE|[68]|Bytes:5
17:37:24.0 (1739310)|HEAP_ALLOCATE|[74]|Bytes:5
17:37:24.0 (1748540)|HEAP_ALLOCATE|[82]|Bytes:7
17:37:24.0 (1758801)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:37:24.0 (1770501)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:37:24.0 (1776261)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:24.0 (1784861)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:37:24.0 (1790821)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:37:24.0 (1794031)|STATEMENT_EXECUTE|[15]
17:37:24.0 (1800551)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:37:24.0 (1805341)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:37:24.0 (1837952)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:24.0 (1845422)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:37:24.0 (1918183)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x634e284b"}|0x41241d6e
17:37:24.0 (1924893)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:37:24.0 (2084446)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0xd21e268
17:37:24.0 (2092236)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:37:24.0 (2665576)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie0000095BiuIAE","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie0000095BiuIAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003edqmIAA","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003edqmIAA"},"CreatedDate":"2025-06-10T08:58:22.000Z","Coupon_Type__c":"P","Id":"801Ie000001KBGlIAO","RMD_ECC_Order_ID__c":"Akhil1880"}]|0x7e49bdfa
17:37:24.0 (2703307)|HEAP_ALLOCATE|[17]|Bytes:5
17:37:24.0 (2711227)|STATEMENT_EXECUTE|[16]
17:37:24.0 (2713527)|STATEMENT_EXECUTE|[17]
17:37:24.0 (2718287)|HEAP_ALLOCATE|[17]|Bytes:18
17:37:24.0 (2784018)|HEAP_ALLOCATE|[17]|Bytes:1
17:37:24.0 (2802808)|HEAP_ALLOCATE|[17]|Bytes:19
17:37:24.0 (2875891)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:37:24.0 (2888550)|STATEMENT_EXECUTE|[18]
17:37:24.0 (2907331)|HEAP_ALLOCATE|[18]|Bytes:4
17:37:24.0 (2976461)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x41241d6e
17:37:24.0 (3028003)|HEAP_ALLOCATE|[19]|Bytes:5
17:37:24.0 (3082364)|HEAP_ALLOCATE|[19]|Bytes:44
17:37:24.0 (3099645)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:37:24.0 (3301288)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie0000095BiuIAE","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie0000095BiuIAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003edqmIAA","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003edqmIAA"},"CreatedDate":"2025-06-10T08:58:22.000Z","Coupon_Type__c":"P","Id":"801Ie000001KBGlIAO","RMD_ECC_Order_ID__c":"Akhil1880"}|0x55eb031f
17:37:24.0 (3312938)|STATEMENT_EXECUTE|[19]
