60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:37:31.0 (168113)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:37:31.0 (204694)|EXECUTION_STARTED
17:37:31.0 (217444)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:37:31.0 (1478286)|HEAP_ALLOCATE|[95]|Bytes:3
17:37:31.0 (1577237)|HEAP_ALLOCATE|[100]|Bytes:152
17:37:31.0 (1596648)|HEAP_ALLOCATE|[417]|Bytes:408
17:37:31.0 (1611818)|HEAP_ALLOCATE|[430]|Bytes:408
17:37:31.0 (1643808)|HEAP_ALLOCATE|[317]|Bytes:6
17:37:31.0 (1669839)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:37:31.0 (1676209)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:37:31.0 (1679669)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:37:31.0 (1690249)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:37:31.0 (1699129)|STATEMENT_EXECUTE|[1]
17:37:31.0 (1706869)|STATEMENT_EXECUTE|[1]
17:37:31.0 (1751470)|HEAP_ALLOCATE|[68]|Bytes:5
17:37:31.0 (1781121)|HEAP_ALLOCATE|[74]|Bytes:5
17:37:31.0 (1790981)|HEAP_ALLOCATE|[82]|Bytes:7
17:37:31.0 (1802681)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:37:31.0 (1815921)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:37:31.0 (1822382)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:31.0 (1831882)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:37:31.0 (1840442)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:37:31.0 (1845263)|STATEMENT_EXECUTE|[15]
17:37:31.0 (1853272)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:37:31.0 (1858882)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:37:31.0 (1894843)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:31.0 (1902953)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:37:31.0 (1977385)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x57711ac8"}|0x41241d6e
17:37:31.0 (1982985)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:37:31.0 (2162407)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0xd21e268
17:37:31.0 (2169377)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:37:31.0 (2922891)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie0000095BFxIAM","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie0000095BFxIAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003edqNIAQ","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003edqNIAQ"},"CreatedDate":"2025-06-10T08:59:03.000Z","Coupon_Type__c":"P","Id":"801Ie000001KBGmIAO","RMD_ECC_Order_ID__c":"Akhil1881"}]|0x41357958
17:37:31.0 (2955302)|HEAP_ALLOCATE|[17]|Bytes:5
17:37:31.0 (2962151)|STATEMENT_EXECUTE|[16]
17:37:31.0 (2964502)|STATEMENT_EXECUTE|[17]
17:37:31.0 (2968132)|HEAP_ALLOCATE|[17]|Bytes:18
17:37:31.0 (3032592)|HEAP_ALLOCATE|[17]|Bytes:1
17:37:31.0 (3058084)|HEAP_ALLOCATE|[17]|Bytes:19
17:37:31.0 (3094604)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:37:31.0 (3110705)|STATEMENT_EXECUTE|[18]
17:37:31.0 (3131975)|HEAP_ALLOCATE|[18]|Bytes:4
