55.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:04:15.0 (139684)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
12:04:15.0 (171224)|EXECUTION_STARTED
12:04:15.0 (183845)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation
12:04:15.0 (506022)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
12:04:15.0 (553623)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
12:04:15.0 (559113)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
12:04:15.0 (578983)|METHOD_ENTRY|[1]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation.RMDBatchUpdateOrderRenewalLeadCreation()
12:04:15.0 (584424)|STATEMENT_EXECUTE|[1]
12:04:15.0 (589495)|STATEMENT_EXECUTE|[1]
12:04:15.0 (614114)|HEAP_ALLOCATE|[68]|Bytes:5
12:04:15.0 (637526)|HEAP_ALLOCATE|[74]|Bytes:5
12:04:15.0 (647795)|HEAP_ALLOCATE|[82]|Bytes:7
12:04:15.0 (660305)|HEAP_ALLOCATE|[3]|Bytes:5
12:04:15.0 (664777)|STATEMENT_EXECUTE|[3]
12:04:15.0 (668076)|HEAP_ALLOCATE|[3]|Bytes:12
12:04:15.0 (708317)|HEAP_ALLOCATE|[3]|Bytes:10
12:04:15.0 (741587)|HEAP_ALLOCATE|[3]|Bytes:4
12:04:15.0 (812189)|VARIABLE_ASSIGNMENT|[3]|RMDBatchUpdateOrderRenewalLeadCreation.oEndDate|"2022-12-31T00:00:00.000Z"
12:04:15.0 (826200)|METHOD_EXIT|[1]|RMDBatchUpdateOrderRenewalLeadCreation
12:04:15.0 (831550)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:04:15.0 (842571)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
12:04:15.0 (848651)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
12:04:15.0 (851950)|STATEMENT_EXECUTE|[15]
12:04:15.0 (857981)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
12:04:15.0 (861870)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:04:15.0 (883871)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:04:15.0 (890182)|VARIABLE_SCOPE_BEGIN|[43]|this|RMDBatchUpdateOrderRenewalLeadCreation|true|false
12:04:15.0 (926863)|VARIABLE_ASSIGNMENT|[43]|this|{"k":0}|0xbf480ff
12:04:15.0 (932032)|VARIABLE_SCOPE_BEGIN|[43]|bc|Database.BatchableContext|true|false
12:04:15.0 (1089646)|VARIABLE_ASSIGNMENT|[43]|bc|{"childJobId":"707e200000p40h4AAA","jobId":"707e200000p3gsLAAQ"}|0x6ccd5909
12:04:15.0 (1099427)|VARIABLE_SCOPE_BEGIN|[43]|orderList|List<Order>|true|false
12:04:15.0 (1281171)|VARIABLE_ASSIGNMENT|[43]|orderList|[{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000002reAnAAI"},"RMD_Product__c":"01t2t000002reAnAAI","Id":"801Ie000001JOxOIAW","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":2.0,"RMD_workflow_Invocable__c":true}]|0x7c130e6d
12:04:15.0 (1302441)|HEAP_ALLOCATE|[44]|Bytes:5
12:04:15.0 (1308232)|STATEMENT_EXECUTE|[43]
12:04:15.0 (1310742)|STATEMENT_EXECUTE|[44]
12:04:15.0 (1314432)|HEAP_ALLOCATE|[44]|Bytes:13
12:04:15.0 (1407155)|HEAP_ALLOCATE|[44]|Bytes:198
12:04:15.0 (1427574)|HEAP_ALLOCATE|[44]|Bytes:211
12:04:15.0 (1444196)|USER_DEBUG|[44]|DEBUG|the scope -->(Order:{Id=801Ie000001JOxOIAW, RMD_Create_Renewal_Lead__c=false, RMD_Renewal_Lead_Created__c=false, RMD_workflow_Invocable__c=true, Days_to_Expire_Formula__c=2.0, RMD_Product__c=01t2t000002reAnAAI})
12:04:15.0 (1453445)|STATEMENT_EXECUTE|[45]
12:04:15.0 (1458386)|VARIABLE_SCOPE_BEGIN|[45]|oListToUpdate|List<Order>|true|false
12:04:15.0 (1538268)|VARIABLE_ASSIGNMENT|[45]|oListToUpdate|[{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000002reAnAAI"},"RMD_Product__c":"01t2t000002reAnAAI","Id":"801Ie000001JOxOIAW","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":2.0,"RMD_workflow_Invocable__c":true}]|0x7c130e6d
12:04:15.0 (1546687)|STATEMENT_EXECUTE|[46]
12:04:15.0 (1562959)|HEAP_ALLOCATE|[46]|Bytes:4
12:04:15.0 (1583328)|VARIABLE_SCOPE_BEGIN|[46]|setOfOrderIds|Set<Id>|true|false
12:04:15.0 (1608070)|VARIABLE_ASSIGNMENT|[46]|setOfOrderIds|[]|0x2a632757
12:04:15.0 (1641600)|HEAP_ALLOCATE|[48]|Bytes:5
12:04:15.0 (1673370)|HEAP_ALLOCATE|[48]|Bytes:32
12:04:15.0 (1684682)|VARIABLE_SCOPE_BEGIN|[48]|eachOrder|Order|true|false
12:04:15.0 (1758803)|VARIABLE_ASSIGNMENT|[48]|eachOrder|{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000002reAnAAI"},"RMD_Product__c":"01t2t000002reAnAAI","Id":"801Ie000001JOxOIAW","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":2.0,"RMD_workflow_Invocable__c":true}|0x5af0028d
12:04:15.0 (1766684)|STATEMENT_EXECUTE|[48]
12:04:15.0 (1768943)|STATEMENT_EXECUTE|[49]
12:04:15.0 (1828365)|VARIABLE_ASSIGNMENT|[49]|this.RMD_workflow_Invocable__c|false|0x5af0028d
12:04:15.0 (1842235)|HEAP_ALLOCATE|[50]|Bytes:118
12:04:15.0 (1850425)|SYSTEM_METHOD_ENTRY|[1]|Test.Test()
12:04:15.0 (1853895)|STATEMENT_EXECUTE|[1]
12:04:15.0 (1860905)|SYSTEM_METHOD_EXIT|[1]|Test
