55.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:04:17.0 (186705)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
12:04:17.0 (219266)|EXECUTION_STARTED
12:04:17.0 (231117)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation
12:04:17.0 (602835)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
12:04:17.0 (652296)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
12:04:17.0 (657676)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
12:04:17.0 (702698)|METHOD_ENTRY|[1]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation.RMDBatchUpdateOrderRenewalLeadCreation()
12:04:17.0 (708998)|STATEMENT_EXECUTE|[1]
12:04:17.0 (716538)|STATEMENT_EXECUTE|[1]
12:04:17.0 (752199)|HEAP_ALLOCATE|[68]|Bytes:5
12:04:17.0 (792840)|HEAP_ALLOCATE|[74]|Bytes:5
12:04:17.0 (803350)|HEAP_ALLOCATE|[82]|Bytes:7
12:04:17.0 (822401)|HEAP_ALLOCATE|[3]|Bytes:5
12:04:17.0 (827452)|STATEMENT_EXECUTE|[3]
12:04:17.0 (830892)|HEAP_ALLOCATE|[3]|Bytes:12
12:04:17.0 (879082)|HEAP_ALLOCATE|[3]|Bytes:10
12:04:17.0 (913513)|HEAP_ALLOCATE|[3]|Bytes:4
12:04:17.0 (985095)|VARIABLE_ASSIGNMENT|[3]|RMDBatchUpdateOrderRenewalLeadCreation.oEndDate|"2022-12-31T00:00:00.000Z"
12:04:17.0 (999835)|METHOD_EXIT|[1]|RMDBatchUpdateOrderRenewalLeadCreation
12:04:17.0 (1005845)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:04:17.0 (1017176)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
12:04:17.0 (1023536)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
12:04:17.0 (1026966)|STATEMENT_EXECUTE|[15]
12:04:17.0 (1034476)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
12:04:17.0 (1038806)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:04:17.0 (1073877)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:04:17.0 (1080887)|VARIABLE_SCOPE_BEGIN|[43]|this|RMDBatchUpdateOrderRenewalLeadCreation|true|false
12:04:17.0 (1120848)|VARIABLE_ASSIGNMENT|[43]|this|{"k":0}|0x19af59f4
12:04:17.0 (1126608)|VARIABLE_SCOPE_BEGIN|[43]|bc|Database.BatchableContext|true|false
12:04:17.0 (1251131)|VARIABLE_ASSIGNMENT|[43]|bc|{"childJobId":"707e200000p40h4AAA","jobId":"707e200000p3gsLAAQ"}|0x6ccd5909
12:04:17.0 (1258411)|VARIABLE_SCOPE_BEGIN|[43]|orderList|List<Order>|true|false
12:04:17.0 (1464596)|VARIABLE_ASSIGNMENT|[43]|orderList|[{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000002rdyXAAQ"},"RMD_Product__c":"01t2t000002rdyXAAQ","Id":"801Ie000001JPO5IAO","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":3.0,"RMD_workflow_Invocable__c":false}]|0x4542f1b0
12:04:17.0 (1485357)|HEAP_ALLOCATE|[44]|Bytes:5
