55.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:04:18.0 (170254)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
12:04:18.0 (213375)|EXECUTION_STARTED
12:04:18.0 (228905)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation
12:04:18.0 (652256)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
12:04:18.0 (700187)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
12:04:18.0 (706057)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
12:04:18.0 (735128)|METHOD_ENTRY|[1]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation.RMDBatchUpdateOrderRenewalLeadCreation()
12:04:18.0 (740868)|STATEMENT_EXECUTE|[1]
12:04:18.0 (747748)|STATEMENT_EXECUTE|[1]
12:04:18.0 (784189)|HEAP_ALLOCATE|[68]|Bytes:5
12:04:18.0 (825730)|HEAP_ALLOCATE|[74]|Bytes:5
12:04:18.0 (836970)|HEAP_ALLOCATE|[82]|Bytes:7
12:04:18.0 (854221)|HEAP_ALLOCATE|[3]|Bytes:5
12:04:18.0 (858621)|STATEMENT_EXECUTE|[3]
12:04:18.0 (862011)|HEAP_ALLOCATE|[3]|Bytes:12
12:04:18.0 (910232)|HEAP_ALLOCATE|[3]|Bytes:10
12:04:18.0 (945473)|HEAP_ALLOCATE|[3]|Bytes:4
12:04:18.0 (1013184)|VARIABLE_ASSIGNMENT|[3]|RMDBatchUpdateOrderRenewalLeadCreation.oEndDate|"2022-12-31T00:00:00.000Z"
12:04:18.0 (1026695)|METHOD_EXIT|[1]|RMDBatchUpdateOrderRenewalLeadCreation
12:04:18.0 (1032055)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:04:18.0 (1043255)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
12:04:18.0 (1049605)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
12:04:18.0 (1052805)|STATEMENT_EXECUTE|[15]
12:04:18.0 (1059216)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
12:04:18.0 (1063156)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:04:18.0 (1093166)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:04:18.0 (1101217)|VARIABLE_SCOPE_BEGIN|[43]|this|RMDBatchUpdateOrderRenewalLeadCreation|true|false
12:04:18.0 (1150378)|VARIABLE_ASSIGNMENT|[43]|this|{"k":0}|0x6ff6684
12:04:18.0 (1159358)|VARIABLE_SCOPE_BEGIN|[43]|bc|Database.BatchableContext|true|false
12:04:18.0 (1323452)|VARIABLE_ASSIGNMENT|[43]|bc|{"childJobId":"707e200000p40h4AAA","jobId":"707e200000p3gsLAAQ"}|0x6ccd5909
12:04:18.0 (1330252)|VARIABLE_SCOPE_BEGIN|[43]|orderList|List<Order>|true|false
12:04:18.0 (1552818)|VARIABLE_ASSIGNMENT|[43]|orderList|[{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000000TTPVAA4"},"RMD_Product__c":"01t2t000000TTPVAA4","Id":"801Ie000001JQHTIA4","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":14.0,"RMD_workflow_Invocable__c":false}]|0x35cef708
12:04:18.0 (1578978)|HEAP_ALLOCATE|[44]|Bytes:5
12:04:18.0 (1585788)|STATEMENT_EXECUTE|[43]
12:04:18.0 (1589169)|STATEMENT_EXECUTE|[44]
12:04:18.0 (1593619)|HEAP_ALLOCATE|[44]|Bytes:13
12:04:18.0 (1713762)|HEAP_ALLOCATE|[44]|Bytes:200
12:04:18.0 (1737552)|HEAP_ALLOCATE|[44]|Bytes:213
12:04:18.0 (1755353)|USER_DEBUG|[44]|DEBUG|the scope -->(Order:{Id=801Ie000001JQHTIA4, RMD_Create_Renewal_Lead__c=false, RMD_Renewal_Lead_Created__c=false, RMD_workflow_Invocable__c=false, Days_to_Expire_Formula__c=14.0, RMD_Product__c=01t2t000000TTPVAA4})
12:04:18.0 (1765013)|STATEMENT_EXECUTE|[45]
12:04:18.0 (1770273)|VARIABLE_SCOPE_BEGIN|[45]|oListToUpdate|List<Order>|true|false
