55.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:04:22.0 (149514)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
12:04:22.0 (181055)|EXECUTION_STARTED
12:04:22.0 (193105)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation
12:04:22.0 (500732)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
12:04:22.0 (548564)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
12:04:22.0 (554154)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
12:04:22.0 (579944)|METHOD_ENTRY|[1]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation.RMDBatchUpdateOrderRenewalLeadCreation()
12:04:22.0 (585555)|STATEMENT_EXECUTE|[1]
12:04:22.0 (592145)|STATEMENT_EXECUTE|[1]
12:04:22.0 (627076)|HEAP_ALLOCATE|[68]|Bytes:5
12:04:22.0 (666316)|HEAP_ALLOCATE|[74]|Bytes:5
12:04:22.0 (677017)|HEAP_ALLOCATE|[82]|Bytes:7
12:04:22.0 (694507)|HEAP_ALLOCATE|[3]|Bytes:5
12:04:22.0 (699197)|STATEMENT_EXECUTE|[3]
12:04:22.0 (702817)|HEAP_ALLOCATE|[3]|Bytes:12
12:04:22.0 (751469)|HEAP_ALLOCATE|[3]|Bytes:10
12:04:22.0 (786849)|HEAP_ALLOCATE|[3]|Bytes:4
12:04:22.0 (855621)|VARIABLE_ASSIGNMENT|[3]|RMDBatchUpdateOrderRenewalLeadCreation.oEndDate|"2022-12-31T00:00:00.000Z"
12:04:22.0 (870432)|METHOD_EXIT|[1]|RMDBatchUpdateOrderRenewalLeadCreation
12:04:22.0 (876062)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:04:22.0 (887502)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
12:04:22.0 (894212)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
12:04:22.0 (897632)|STATEMENT_EXECUTE|[15]
12:04:22.0 (903652)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
12:04:22.0 (908022)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:04:22.0 (941793)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:04:22.0 (949553)|VARIABLE_SCOPE_BEGIN|[43]|this|RMDBatchUpdateOrderRenewalLeadCreation|true|false
12:04:22.0 (988374)|VARIABLE_ASSIGNMENT|[43]|this|{"k":0}|0x3952a377
12:04:22.0 (993595)|VARIABLE_SCOPE_BEGIN|[43]|bc|Database.BatchableContext|true|false
12:04:22.0 (1123628)|VARIABLE_ASSIGNMENT|[43]|bc|{"childJobId":"707e200000p40h4AAA","jobId":"707e200000p3gsLAAQ"}|0x6ccd5909
12:04:22.0 (1131498)|VARIABLE_SCOPE_BEGIN|[43]|orderList|List<Order>|true|false
12:04:22.0 (1337623)|VARIABLE_ASSIGNMENT|[43]|orderList|[{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000002rdyXAAQ"},"RMD_Product__c":"01t2t000002rdyXAAQ","Id":"801Ie000001JTNrIAO","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":10.0,"RMD_workflow_Invocable__c":false}]|0x214377a3
12:04:22.0 (1420335)|HEAP_ALLOCATE|[44]|Bytes:5
12:04:22.0 (1425925)|STATEMENT_EXECUTE|[43]
12:04:22.0 (1428365)|STATEMENT_EXECUTE|[44]
12:04:22.0 (1431795)|HEAP_ALLOCATE|[44]|Bytes:13
12:04:22.0 (1534508)|HEAP_ALLOCATE|[44]|Bytes:200
12:04:22.0 (1554908)|HEAP_ALLOCATE|[44]|Bytes:213
12:04:22.0 (1574289)|USER_DEBUG|[44]|DEBUG|the scope -->(Order:{Id=801Ie000001JTNrIAO, RMD_Create_Renewal_Lead__c=false, RMD_Renewal_Lead_Created__c=false, RMD_workflow_Invocable__c=false, Days_to_Expire_Formula__c=10.0, RMD_Product__c=01t2t000002rdyXAAQ})
12:04:22.0 (1584199)|STATEMENT_EXECUTE|[45]
12:04:22.0 (1589279)|VARIABLE_SCOPE_BEGIN|[45]|oListToUpdate|List<Order>|true|false
12:04:22.0 (1706852)|VARIABLE_ASSIGNMENT|[45]|oListToUpdate|[{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000002rdyXAAQ"},"RMD_Product__c":"01t2t000002rdyXAAQ","Id":"801Ie000001JTNrIAO","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":10.0,"RMD_workflow_Invocable__c":false}]|0x214377a3
12:04:22.0 (1715552)|STATEMENT_EXECUTE|[46]
12:04:22.0 (1733963)|HEAP_ALLOCATE|[46]|Bytes:4
12:04:22.0 (1758993)|VARIABLE_SCOPE_BEGIN|[46]|setOfOrderIds|Set<Id>|true|false
12:04:22.0 (1790914)|VARIABLE_ASSIGNMENT|[46]|setOfOrderIds|[]|0x5c32b215
12:04:22.0 (1831895)|HEAP_ALLOCATE|[48]|Bytes:5
12:04:22.0 (1870266)|HEAP_ALLOCATE|[48]|Bytes:32
12:04:22.0 (1883956)|VARIABLE_SCOPE_BEGIN|[48]|eachOrder|Order|true|false
12:04:22.0 (1962768)|VARIABLE_ASSIGNMENT|[48]|eachOrder|{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000002rdyXAAQ"},"RMD_Product__c":"01t2t000002rdyXAAQ","Id":"801Ie000001JTNrIAO","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":10.0,"RMD_workflow_Invocable__c":false}|0x596d37bb
12:04:22.0 (1971229)|STATEMENT_EXECUTE|[48]
12:04:22.0 (1974259)|STATEMENT_EXECUTE|[49]
12:04:22.0 (2036140)|VARIABLE_ASSIGNMENT|[49]|this.RMD_workflow_Invocable__c|false|0x596d37bb
12:04:22.0 (2052380)|HEAP_ALLOCATE|[50]|Bytes:118
12:04:22.0 (2061581)|SYSTEM_METHOD_ENTRY|[1]|Test.Test()
12:04:22.0 (2066451)|STATEMENT_EXECUTE|[1]
12:04:22.0 (2072731)|SYSTEM_METHOD_EXIT|[1]|Test
12:04:22.0 (2079481)|METHOD_ENTRY|[50]||System.Test.isRunningTest()
12:04:22.0 (2100672)|METHOD_EXIT|[50]||System.Test.isRunningTest()
