55.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:04:53.0 (139014)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
12:04:53.0 (170943)|EXECUTION_STARTED
12:04:53.0 (183264)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation
12:04:53.0 (443040)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
12:04:53.0 (489471)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
12:04:53.0 (494812)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
12:04:53.0 (525583)|METHOD_ENTRY|[1]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation.RMDBatchUpdateOrderRenewalLeadCreation()
12:04:53.0 (530712)|STATEMENT_EXECUTE|[1]
12:04:53.0 (536352)|STATEMENT_EXECUTE|[1]
12:04:53.0 (565454)|HEAP_ALLOCATE|[68]|Bytes:5
12:04:53.0 (603564)|HEAP_ALLOCATE|[74]|Bytes:5
12:04:53.0 (614164)|HEAP_ALLOCATE|[82]|Bytes:7
12:04:53.0 (634386)|HEAP_ALLOCATE|[3]|Bytes:5
12:04:53.0 (638915)|STATEMENT_EXECUTE|[3]
12:04:53.0 (643005)|HEAP_ALLOCATE|[3]|Bytes:12
12:04:53.0 (686446)|HEAP_ALLOCATE|[3]|Bytes:10
12:04:53.0 (720218)|HEAP_ALLOCATE|[3]|Bytes:4
12:04:53.0 (784928)|VARIABLE_ASSIGNMENT|[3]|RMDBatchUpdateOrderRenewalLeadCreation.oEndDate|"2022-12-31T00:00:00.000Z"
12:04:53.0 (796660)|METHOD_EXIT|[1]|RMDBatchUpdateOrderRenewalLeadCreation
12:04:53.0 (801710)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:04:53.0 (812580)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
12:04:53.0 (819159)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
12:04:53.0 (822519)|STATEMENT_EXECUTE|[15]
12:04:53.0 (828729)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
12:04:53.0 (832861)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:04:53.0 (864530)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:04:53.0 (871952)|VARIABLE_SCOPE_BEGIN|[43]|this|RMDBatchUpdateOrderRenewalLeadCreation|true|false
12:04:53.0 (908571)|VARIABLE_ASSIGNMENT|[43]|this|{"k":0}|0x687e8add
12:04:53.0 (914452)|VARIABLE_SCOPE_BEGIN|[43]|bc|Database.BatchableContext|true|false
12:04:53.0 (1025475)|VARIABLE_ASSIGNMENT|[43]|bc|{"childJobId":"707e200000p40h4AAA","jobId":"707e200000p3gsLAAQ"}|0x6ccd5909
12:04:53.0 (1033044)|VARIABLE_SCOPE_BEGIN|[43]|orderList|List<Order>|true|false
