55.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:05:52.0 (144844)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
12:05:52.0 (179485)|EXECUTION_STARTED
12:05:52.0 (188916)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation
12:05:52.0 (637296)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
12:05:52.0 (709849)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
12:05:52.0 (719389)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
12:05:52.0 (794721)|METHOD_ENTRY|[1]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation.RMDBatchUpdateOrderRenewalLeadCreation()
12:05:52.0 (802871)|STATEMENT_EXECUTE|[1]
12:05:52.0 (811121)|STATEMENT_EXECUTE|[1]
12:05:52.0 (857412)|HEAP_ALLOCATE|[68]|Bytes:5
12:05:52.0 (910893)|HEAP_ALLOCATE|[74]|Bytes:5
12:05:52.0 (928334)|HEAP_ALLOCATE|[82]|Bytes:7
12:05:52.0 (953384)|HEAP_ALLOCATE|[3]|Bytes:5
12:05:52.0 (959304)|STATEMENT_EXECUTE|[3]
12:05:52.0 (962944)|HEAP_ALLOCATE|[3]|Bytes:12
12:05:52.0 (1014465)|HEAP_ALLOCATE|[3]|Bytes:10
12:05:52.0 (1052477)|HEAP_ALLOCATE|[3]|Bytes:4
12:05:52.0 (1126988)|VARIABLE_ASSIGNMENT|[3]|RMDBatchUpdateOrderRenewalLeadCreation.oEndDate|"2022-12-31T00:00:00.000Z"
12:05:52.0 (1140508)|METHOD_EXIT|[1]|RMDBatchUpdateOrderRenewalLeadCreation
12:05:52.0 (1148009)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:05:52.0 (1161170)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
12:05:52.0 (1167660)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
12:05:52.0 (1171090)|STATEMENT_EXECUTE|[15]
12:05:52.0 (1178020)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
12:05:52.0 (1182090)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:05:52.0 (1219361)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:05:52.0 (1227771)|VARIABLE_SCOPE_BEGIN|[43]|this|RMDBatchUpdateOrderRenewalLeadCreation|true|false
12:05:52.0 (1270332)|VARIABLE_ASSIGNMENT|[43]|this|{"k":0}|0x4e29f653
12:05:52.0 (1275991)|VARIABLE_SCOPE_BEGIN|[43]|bc|Database.BatchableContext|true|false
12:05:52.0 (1428795)|VARIABLE_ASSIGNMENT|[43]|bc|{"childJobId":"707e200000p40h4AAA","jobId":"707e200000p3gsLAAQ"}|0x6ccd5909
12:05:52.0 (1435195)|VARIABLE_SCOPE_BEGIN|[43]|orderList|List<Order>|true|false
12:05:52.0 (1607199)|VARIABLE_ASSIGNMENT|[43]|orderList|[{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000002reAnAAI"},"RMD_Product__c":"01t2t000002reAnAAI","Id":"801Ie000001KNNGIA4","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":62.0,"RMD_workflow_Invocable__c":true}]|0x1ac72060
12:05:52.0 (1628901)|HEAP_ALLOCATE|[44]|Bytes:5
12:05:52.0 (1634691)|STATEMENT_EXECUTE|[43]
12:05:52.0 (1637271)|STATEMENT_EXECUTE|[44]
12:05:52.0 (1640520)|HEAP_ALLOCATE|[44]|Bytes:13
12:05:52.0 (1744323)|HEAP_ALLOCATE|[44]|Bytes:199
12:05:52.0 (1764883)|HEAP_ALLOCATE|[44]|Bytes:212
12:05:52.0 (1784145)|USER_DEBUG|[44]|DEBUG|the scope -->(Order:{Id=801Ie000001KNNGIA4, RMD_Create_Renewal_Lead__c=false, RMD_Renewal_Lead_Created__c=false, RMD_workflow_Invocable__c=true, Days_to_Expire_Formula__c=62.0, RMD_Product__c=01t2t000002reAnAAI})
12:05:52.0 (1794255)|STATEMENT_EXECUTE|[45]
12:05:52.0 (1800025)|VARIABLE_SCOPE_BEGIN|[45]|oListToUpdate|List<Order>|true|false
12:05:52.0 (1882587)|VARIABLE_ASSIGNMENT|[45]|oListToUpdate|[{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000002reAnAAI"},"RMD_Product__c":"01t2t000002reAnAAI","Id":"801Ie000001KNNGIA4","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":62.0,"RMD_workflow_Invocable__c":true}]|0x1ac72060
12:05:52.0 (1892077)|STATEMENT_EXECUTE|[46]
12:05:52.0 (1909308)|HEAP_ALLOCATE|[46]|Bytes:4
12:05:52.0 (1930758)|VARIABLE_SCOPE_BEGIN|[46]|setOfOrderIds|Set<Id>|true|false
12:05:52.0 (1958648)|VARIABLE_ASSIGNMENT|[46]|setOfOrderIds|[]|0x50fdbe16
12:05:52.0 (1997310)|HEAP_ALLOCATE|[48]|Bytes:5
12:05:52.0 (2029850)|HEAP_ALLOCATE|[48]|Bytes:32
12:05:52.0 (2041711)|VARIABLE_SCOPE_BEGIN|[48]|eachOrder|Order|true|false
12:05:52.0 (2121123)|VARIABLE_ASSIGNMENT|[48]|eachOrder|{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000002reAnAAI"},"RMD_Product__c":"01t2t000002reAnAAI","Id":"801Ie000001KNNGIA4","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":62.0,"RMD_workflow_Invocable__c":true}|0x41084811
12:05:52.0 (2131683)|STATEMENT_EXECUTE|[48]
12:05:52.0 (2134052)|STATEMENT_EXECUTE|[49]
12:05:52.0 (2197094)|VARIABLE_ASSIGNMENT|[49]|this.RMD_workflow_Invocable__c|false|0x41084811
12:05:52.0 (2213085)|HEAP_ALLOCATE|[50]|Bytes:118
12:05:52.0 (2222466)|SYSTEM_METHOD_ENTRY|[1]|Test.Test()
12:05:52.0 (2226295)|STATEMENT_EXECUTE|[1]
